CTV3Codes,Description
7G2A4,Hormone implant - oestrogen
ff21.,Oestradiol 25mg implant 36 week
ff22.,Oestradiol 50mg implant 44 week
ff23.,Oestradiol 100mg implant 57 week
ff24.,Benztrone 1mg/1mL injection
ff25.,Benztrone 5mg/1mL injection
ff2t.,Estradiol 25mg implant
ff2u.,Estradiol 50mg implant
ff2v.,Estradiol 100mg implant
ff2w.,Oestradiol 1mg/1mL injection
ff2x.,Oestradiol benzoate 5mg/1mL injection
hb22.,Honvan 276mg/5mL injection
hb23.,Honvan 300mg/5mL injection
hb2x.,Fosfestrol tetrasodium 300mg/5mL injection
hb2z.,Fosfestrol tetrasodium 276mg/5mL injection
hb31.,Estradurin 40mg injection (pdr for recon)+diluent
hb32.,Estradurin 80mg injection (pdr for recon)+diluent
hb3y.,Polyestradiol phosphate 40mg injection (pdr for recon)+diluent
hb3z.,Polyestradiol phosphate 80mg injection (pdr for recon)+diluent
x01M4,Estradiol implant
