SNOMEDCTCodes,Description
33671311000001101,Premarin 25mg powder for solution for injection vials - Imported (Canada)
33671411000001108,Premarin 25mg powder for solution for injection vials 1 vial - Imported (Canada)
10506011000001105,Premarin 25mg powder and solvent for solution for injection vials - Imported (Switzerland)
10506311000001108,Premarin 25mg powder and solvent for solution for injection vials 1 vial - Imported (Switzerland)
10504011000001100,Conjugated oestrogens 25mg powder and solvent for solution for injection vials
10504611000001107,Conjugated oestrogens 25mg powder and solvent for solution for injection vials 1 vial
33671111000001103,Conjugated oestrogens 25mg powder for solution for injection vials
33671211000001109,Conjugated oestrogens 25mg powder for solution for injection vials 1 vial
3775111000001106,Estradiol 100mg implant - Alliance Healthcare (Distribution) Ltd
3775211000001100,Estradiol 100mg implant 1 device - Alliance Healthcare (Distribution) Ltd
39087711000001107,Estradiol 10microgram pessaries - A A H Pharmaceuticals Ltd
39087811000001104,Estradiol 10microgram pessaries 24 pessary - A A H Pharmaceuticals Ltd
3774411000001102,Estradiol 50mg implant - Alliance Healthcare (Distribution) Ltd
3774511000001103,Estradiol 50mg implant 1 device - Alliance Healthcare (Distribution) Ltd
3878711000001102,Estradiol 25mg implant - Organon Pharma (UK) Ltd
39854511000001101,Estradiol 10microgram pessaries - Medihealth (Northern) Ltd
39854611000001102,Estradiol 10microgram pessaries 24 pessary - Medihealth (Northern) Ltd
3878511000001107,Estradiol 25mg implant - A A H Pharmaceuticals Ltd
3878611000001106,Estradiol 25mg implant 1 device - A A H Pharmaceuticals Ltd
3773711000001106,Estradiol 50mg implant - Organon Pharma (UK) Ltd
3774011000001106,Estradiol 50mg implant 1 device - Organon Pharma (UK) Ltd
3774711000001108,Estradiol 100mg implant - A A H Pharmaceuticals Ltd
3774811000001100,Estradiol 100mg implant 1 device - A A H Pharmaceuticals Ltd
38952411000001101,Estradiol 10microgram pessaries - Advanz Pharma
38952511000001102,Estradiol 10microgram pessaries 24 pessary - Advanz Pharma
39220711000001108,Estradiol 10microgram pessaries - Alliance Healthcare (Distribution) Ltd
39220811000001100,Estradiol 10microgram pessaries 24 pessary - Alliance Healthcare (Distribution) Ltd
3773511000001101,Estradiol 50mg implant - A A H Pharmaceuticals Ltd
3773611000001102,Estradiol 50mg implant 1 device - A A H Pharmaceuticals Ltd
27322111000001108,Estradiol 50mg implant - Special Order
27322211000001102,Estradiol 50mg implant 1 device - Special Order
3774911000001105,Estradiol 100mg implant - Organon Laboratories Ltd
3775011000001105,Estradiol 100mg implant 1 device - Organon Laboratories Ltd
3878911000001100,Estradiol 25mg implant - Alliance Healthcare (Distribution) Ltd
3879011000001109,Estradiol 25mg implant 1 device - Alliance Healthcare (Distribution) Ltd
325542001,Estradiol 100mg implant
3774611000001104,Estradiol 100mg implant 1 device
325541008,Estradiol 50mg implant
3773011000001109,Estradiol 50mg implant 1 device
325540009,Estradiol 25mg implant
3878311000001101,Estradiol 25mg implant 1 device
771767004,Product containing estradiol in cutaneous dose form (medicinal product form)
779180007,Product containing only estradiol in cutaneous dose form (medicinal product form)
