CTV3Codes,Description
ff11.,Ethinylestradiol 10micrograms tablet
ff12.,Ethinylestradiol 50micrograms tablet
ff13.,Ethinylestradiol 1mg tablet
ff14.,Ethinylestradiol 20micrograms tablet
ff26.,Hormonin tablet
ff27.,Progynova 1mg tablet
ff28.,Progynova 2mg tablet
ff2f.,Climaval 1mg tablet
ff2g.,Climaval 2mg tablet
ff2h.,Zumenon 2mg tablet
ff2L.,Elleste-Solo 2mg tablet
ff2M.,Estradiol valerate 1mg tablet
ff2m.,Estradiol valerate 2mg tablet
ff2N.,Elleste-Solo 1mg tablet
ff2T.,Zumenon 1mg tablet
ff2y.,Estradiol 1mg tablet
ff2z.,Estradiol 2mg tablet
ff31.,Ovestin 250micrograms tablet
ff32.,Ovestin 1mg tablet
ff33.,Estriol 1mg tablet
ff3z.,Oestriol 250micrograms tablet
ff41.,Premarin 625micrograms tablet
ff42.,Premarin 1.25mg tablet
ff43.,Premarin 2.5mg tablet
ff44.,PREMARIN 300micrograms tablets
ff4w.,CONJUGATED OESTROGENS 300micrograms tablets
ff4x.,Conjugated oestrogens 625micrograms tablet
ff4y.,Conjugated oestrogens 1.25mg tablet
ff4z.,Conjugated oestrogens 2.5mg tablet
ff51.,Harmogen 1.5mg tablet
ff5z.,Piperazine estrone sulphate 1.5mg tablet
ff61.,Pentovis 250micrograms tablet
ff6y.,Quinestradol 250micrograms tablet
ff71.,Estrovis 4mg tablet
ff7z.,Quinestrol 4mg tablet
ff98.,Adgyn Estro 2mg tablet
ff9E.,FemTab 1mg tablet
ff9F.,FemTab 2mg tablet
ff9L.,Bedol 2mg tablet
fh13.,Syntex Menophase tablet
hb21.,Honvan 100mg tablet
hb24.,Honvan 120mg tablet
hb2w.,Fosfestrol tetrasodium 120mg tablet
hb2y.,Fosfestrol tetrasodium 100mg tablet
hb41.,Diethylstilbestrol 1mg tablet
hb42.,Diethylstilbestrol 5mg tablet
hb43.,Apstil 1mg tablet
hb44.,Apstil 5mg tablet
x01M3,Oral estradiol
