SNOMEDCTCodes,Description
3876411000001107,Ovestin 1mg tablets - Organon Laboratories Ltd
3876511000001106,Ovestin 1mg tablets 30 tablet - Organon Laboratories Ltd
325550005,Estriol 1mg tablets
3876311000001100,Estriol 1mg tablets 30 tablet
7142211000001109,Conjugated oestrogens 1.25mg tablets - Pfizer Ltd
7142311000001101,Conjugated oestrogens 1.25mg tablets 84 tablet - Pfizer Ltd
14750111000001102,Conjugated oestrogens 625microgram tablets - Sigma Pharmaceuticals Plc
14750211000001108,Conjugated oestrogens 625microgram tablets 84 tablet - Sigma Pharmaceuticals Plc
11033011000001100,Conjugated oestrogens 1.25mg tablets - Waymade Healthcare Plc
11033111000001104,Conjugated oestrogens 1.25mg tablets 84 tablet - Waymade Healthcare Plc
3456411000001101,Conjugated oestrogens 625microgram tablets - Pfizer Ltd
3456511000001102,Conjugated oestrogens 625microgram tablets 42 tablet - Pfizer Ltd
7142111000001103,Conjugated oestrogens 625microgram tablets 84 tablet - Pfizer Ltd
5404211000001106,Conjugated oestrogens 625microgram tablets - Waymade Healthcare Plc
5404411000001105,Conjugated oestrogens 625microgram tablets 84 tablet - Waymade Healthcare Plc
5402511000001104,Premarin 1.25mg tablets - Waymade Healthcare Plc
5402611000001100,Premarin 1.25mg tablets 84 tablet - Waymade Healthcare Plc
14725311000001106,Premarin 0.625mg tablets - Sigma Pharmaceuticals Plc
14725711000001105,Premarin 0.625mg tablets 84 tablet - Sigma Pharmaceuticals Plc
18296411000001108,Premarin 0.625mg tablets - Mawdsley-Brooks & Company Ltd
18296511000001107,Premarin 0.625mg tablets 84 tablet - Mawdsley-Brooks & Company Ltd
14727411000001105,Premarin 1.25mg tablets - Sigma Pharmaceuticals Plc
14727511000001109,Premarin 1.25mg tablets 84 tablet - Sigma Pharmaceuticals Plc
4548011000001100,Premarin 2.5mg tablets - Wyeth Pharmaceuticals
4548111000001104,Premarin 2.5mg tablets 84 tablet - Wyeth Pharmaceuticals
5574811000001109,Premarin 0.625mg tablets - Dowelhurst Ltd
5574911000001104,Premarin 0.625mg tablets 84 tablet - Dowelhurst Ltd
32927411000001106,Duavive 0.45mg/20mg modified-release tablets - Pfizer Ltd
32927511000001105,Duavive 0.45mg/20mg modified-release tablets 28 tablet - Pfizer Ltd
546511000001102,Premarin 1.25mg tablets - Pfizer Ltd
2688111000001107,Premarin 1.25mg tablets 84 tablet - Pfizer Ltd
17623511000001100,Premarin 0.625mg tablets - Necessity Supplies Ltd
17623611000001101,Premarin 0.625mg tablets 84 tablet - Necessity Supplies Ltd
34911000001102,Premarin 0.625mg tablets - Pfizer Ltd
2687311000001108,Premarin 0.625mg tablets 84 tablet - Pfizer Ltd
5402111000001108,Premarin 0.625mg tablets - Waymade Healthcare Plc
5402311000001105,Premarin 0.625mg tablets 84 tablet - Waymade Healthcare Plc
5576411000001104,Premarin 1.25mg tablets - Dowelhurst Ltd
5576611000001101,Premarin 1.25mg tablets 84 tablet - Dowelhurst Ltd
11476811000001109,Premarin 0.3mg tablets - Pfizer Ltd
11476911000001104,Premarin 0.3mg tablets 84 tablet - Pfizer Ltd
325557008,Conjugated oestrogens 1.25mg tablets
1247811000001107,Conjugated oestrogens 1.25mg tablets 84 tablet
325556004,Conjugated oestrogens 625microgram tablets
3456311000001108,Conjugated oestrogens 625microgram tablets 42 tablet
1323411000001106,Conjugated oestrogens 625microgram tablets 84 tablet
428005004,Conjugated oestrogens 2.5mg tablets
4559811000001102,Conjugated oestrogens 2.5mg tablets
4547811000001107,Conjugated oestrogens 2.5mg tablets 84 tablet
32936711000001100,Conjugated oestrogens 450microgram / Bazedoxifene 20mg modified-release tablets
32927311000001104,Conjugated oestrogens 450microgram / Bazedoxifene 20mg modified-release tablets 28 tablet
409118006,Conjugated oestrogens 300microgram tablets
11476711000001101,Conjugated oestrogens 300microgram tablets 84 tablet
3448611000001100,Estradiol 1mg tablets - Novo Nordisk Ltd
3449011000001102,Estradiol 1mg tablets 18 tablet - Novo Nordisk Ltd
4498511000001109,Estradiol 1mg tablets 48 tablet - Novo Nordisk Ltd
3348711000001103,Estradiol 2mg tablets - Abbott Healthcare Products Ltd
3348911000001101,Estradiol 2mg tablets 42 tablet - Abbott Healthcare Products Ltd
7123511000001102,Estradiol 1mg tablets - Waymade Healthcare Plc
7123911000001109,Estradiol 1mg tablets 18 tablet - Waymade Healthcare Plc
3447411000001102,Estradiol 2mg tablets - Novo Nordisk Ltd
3447611000001104,Estradiol 2mg tablets 36 tablet - Novo Nordisk Ltd
10792511000001104,Estradiol valerate 1mg tablets - Dowelhurst Ltd
10792611000001100,Estradiol valerate 1mg tablets 48 tablet - Dowelhurst Ltd
7102511000001102,Estradiol valerate 1mg tablets - Waymade Healthcare Plc
