ProdCodeId,Description
1000641000033116,oestriol tablets 1 mg
1000841000033115,oestriol tablets 250 micrograms
1021841000033117,ovestin 1mg tablets (organon laboratories ltd)
1021941000033113,ovestin tablets 250 micrograms
1132341000033110,premarin 1.25mg tablets (pfizer ltd)
1132441000033116,premarin 0.625mg tablets (pfizer ltd)
1134041000033118,progynova 1mg tablets (bayer plc)
1134141000033119,progynova 2mg tablets (bayer plc)
1140041000033113,premarin 2.5mg tablets (wyeth pharmaceuticals)
12291041000033111,conjugated oestrogens 450microgram / bazedoxifene 20mg modified-release tablets
12291141000033110,duavive 0.45mg/20mg modified-release tablets (pfizer ltd)
1563841000033112,zumenon 2mg tablets (mylan)
1563941000033116,zumenon 1mg tablets (mylan)
1594241000033112,conjugated oestrogens 2.5mg tablets
2173841000033114,adgyn estro 2mg tablets (kyowa kirin ltd)
2174041000033116,adgyn medro 5mg tablets (kyowa kirin ltd)
2484341000033114,*oestriol tablets
2484441000033115,*oestriol granules
2484541000033119,*oestriol liquid
2484741000033110,*oestriol pills (sucrose)
287741000033116,climaval 1mg tablets (novartis pharmaceuticals uk ltd)
287841000033114,climaval 2mg tablets (novartis pharmaceuticals uk ltd)
2950941000033111,femtab 1mg tablets (merck serono ltd)
2951041000033118,femtab 2mg tablets (merck serono ltd)
2951141000033119,femtab sequi tablets (merck serono ltd)
2951241000033114,femtab continuous tablets (merck serono ltd)
3090041000033118,ethinylestradiol 10microgram tablets
3090241000033114,ethinylestradiol 1mg tablets
3098041000033115,estradiol 1mg tablets
3098141000033116,estradiol 2mg tablets
3099941000033112,estradiol valerate 1mg tablets
3100041000033111,estradiol valerate 2mg tablets
3100441000033119,estriol 1mg tablets
3101741000033116,*estriol granules
3101841000033114,*estriol liquid
3102041000033112,*estriol pills (sucrose)
3102241000033116,*estriol tablets
374341000033111,conjugated oestrogens 1.25mg tablets
374441000033117,conjugated oestrogens 625microgram tablets
3908341000033113,bedol 2mg tablets (resource medical uk ltd)
4118041000033114,conjugated oestrogens 300microgram tablets
4118141000033113,premarin 0.3mg tablets (pfizer ltd)
508041000033110,elleste solo 1mg tablets (mylan)
508141000033114,elleste solo 2mg tablets (mylan)
709541000033113,hormonin tablets (advanz pharma)
