CTV3Codes,Description
ff29.,Estraderm TTS 25micrograms patch
ff2a.,Estraderm TTS 50micrograms patch
ff2A.,Fematrix 80 patch
ff2B.,Estradiol 80micrograms patch
ff2b.,Estraderm TTS 100micrograms patch
ff2C.,Oestrogel 1.25g gel
ff2D.,Oestradiol 1.25g/dose gel
ff2E.,Menorest 37.5micrograms patch
ff2F.,Menorest 50micrograms patch
ff2G.,Menorest 75micrograms patch
ff2H.,Estradiol 37.5micrograms patch
ff2I.,Estradiol 40micrograms patch
ff2i.,Elleste-Solo MX 40 patch
ff2J.,Fematrix 40 patch
ff2j.,Evorel 50 patch
ff2K.,FemSeven 50 patch
ff2l.,Evorel 25 patch
ff2n.,Evorel 75 patch
ff2O.,Progynova TS 50 50micrograms patch
ff2o.,Evorel 100 patch
ff2p.,Estradiol 75micrograms patch
ff2P.,Progynova TS 100 100micrograms patch
ff2q.,Estradiol 25micrograms patch
ff2Q.,Estraderm MX 25 patch
ff2r.,Estradiol 50micrograms patches
ff2R.,Estraderm MX 50 patch
ff2s.,Estradiol 100micrograms patch
ff2S.,Estraderm MX 100 patch
ff2U.,Dermestril 25 patch
ff2V.,Dermestril 50 patch
ff2W.,Dermestril 100 patch
ff2X.,Estradiol 0.5mg/dose gel
ff2Y.,Estradiol 1mg/dose gel
ff2Z.,Sandrena 0.5mg gel
ff91.,Sandrena 1mg gel
ff92.,Elleste-Solo MX 80 patch
ff93.,FemSeven 75 patch
ff94.,FemSeven 100 patch
ff95.,Estradiol 0.06% gel
ff96.,Oestrogel 0.06% gel
ff97.,Estraderm MX 75 patch
ff99.,Dermestril-Septem 25micrograms patch
ff9A.,Dermestril-Septem 50micrograms patch
ff9B.,Dermestril-Septem 75micrograms patch
ff9C.,Aerodiol 150micrograms nasal spray
ff9G.,Estradot 25micrograms patch
ff9H.,Estradot 37.5micrograms patch
ff9I.,Estradot 50micrograms patch
ff9J.,Estradot 75micrograms patch
ff9K.,Estradot 100micrograms patch
ff9z.,Estradiol hemihydrate 150micrograms nasal spray
x01M5,Topical estradiol
