SNOMEDCTCodes,Description
16240411000001107,Sandrena 1mg gel sachets - Lexon (UK) Ltd
16240511000001106,Sandrena 1mg gel sachets 28 sachet - Lexon (UK) Ltd
3658611000001104,Sandrena 1mg gel sachets - Orion Pharma (UK) Ltd
3658811000001100,Sandrena 1mg gel sachets 28 sachet - Orion Pharma (UK) Ltd
3659011000001101,Sandrena 1mg gel sachets 91 sachet - Orion Pharma (UK) Ltd
16572611000001104,Estraderm MX 100 patches - Mawdsley-Brooks & Company Ltd
16572711000001108,Estraderm MX 100 patches 8 patch - Mawdsley-Brooks & Company Ltd
5291011000001102,Estraderm TTS 100 patches - Dowelhurst Ltd
5291211000001107,Estraderm TTS 100 patches 8 patch - Dowelhurst Ltd
18257711000001107,Estraderm TTS 100 patches - Necessity Supplies Ltd
18257811000001104,Estraderm TTS 100 patches 8 patch - Necessity Supplies Ltd
5263411000001107,Estraderm TTS 100 patches - Waymade Healthcare Plc
5263511000001106,Estraderm TTS 100 patches 8 patch - Waymade Healthcare Plc
16572411000001102,Estraderm MX 25 patches - Mawdsley-Brooks & Company Ltd
16572511000001103,Estraderm MX 25 patches 8 patch - Mawdsley-Brooks & Company Ltd
2889611000001104,Estraderm MX 25 patches - Norgine Pharmaceuticals Ltd
2889711000001108,Estraderm MX 25 patches 8 patch - Norgine Pharmaceuticals Ltd
2889811000001100,Estraderm MX 25 patches 24 patch - Norgine Pharmaceuticals Ltd
2889311000001109,Estraderm TTS 25 patches - Novartis Pharmaceuticals UK Ltd
2889411000001102,Estraderm TTS 25 patches 8 patch - Novartis Pharmaceuticals UK Ltd
2889511000001103,Estraderm TTS 25 patches 24 patch - Novartis Pharmaceuticals UK Ltd
2889111000001107,Evorel 25 patches - Theramex HQ UK Ltd
2889211000001101,Evorel 25 patches 8 patch - Theramex HQ UK Ltd
14228311000001109,Estradot 37.5micrograms/24hours patches - Sigma Pharmaceuticals Plc
14228411000001102,Estradot 37.5micrograms/24hours patches 8 patch - Sigma Pharmaceuticals Plc
2895211000001103,Menorest 37.5 patches - Novartis Pharmaceuticals UK Ltd
2895511000001100,Menorest 37.5 patches 8 patch - Novartis Pharmaceuticals UK Ltd
2890211000001107,Elleste Solo MX 40 transdermal patches - Mylan
2890311000001104,Elleste Solo MX 40 transdermal patches 8 patch - Mylan
2945011000001105,Estraderm MX 50 patches - Norgine Pharmaceuticals Ltd
2945311000001108,Estraderm MX 50 patches 8 patch - Norgine Pharmaceuticals Ltd
2947311000001100,Estraderm MX 50 patches 20 patch - Norgine Pharmaceuticals Ltd
2945511000001102,Estraderm MX 50 patches 24 patch - Norgine Pharmaceuticals Ltd
2942311000001102,Evorel 50 patches - Theramex HQ UK Ltd
3216211000001105,Evorel 50 patches 4 patch - Theramex HQ UK Ltd
2942611000001107,Evorel 50 patches 8 patch - Theramex HQ UK Ltd
2942711000001103,Evorel 50 patches 24 patch - Theramex HQ UK Ltd
18056611000001106,Estradot 75micrograms/24hours patches - Lexon (UK) Ltd
18056711000001102,Estradot 75micrograms/24hours patches 8 patch - Lexon (UK) Ltd
2910911000001109,Menorest 75 patches - Novartis Pharmaceuticals UK Ltd
2911011000001101,Menorest 75 patches 8 patch - Novartis Pharmaceuticals UK Ltd
17438911000001101,Sandrena 1mg gel sachets - Mawdsley-Brooks & Company Ltd
17439011000001105,Sandrena 1mg gel sachets 28 sachet - Mawdsley-Brooks & Company Ltd
15420011000001101,Sandrena 1mg gel sachets - Waymade Healthcare Plc
15420111000001100,Sandrena 1mg gel sachets 28 sachet - Waymade Healthcare Plc
17614011000001100,Oestrogel Pump-Pack 0.06% gel - Necessity Supplies Ltd
17614111000001104,Oestrogel Pump-Pack 0.06% gel 64 gram - Necessity Supplies Ltd
14666911000001100,Oestrogel Pump-Pack 0.06% gel - Sigma Pharmaceuticals Plc
14667011000001101,Oestrogel Pump-Pack 0.06% gel 80 gram - Sigma Pharmaceuticals Plc
3657811000001104,Sandrena 500microgram gel sachets - Orion Pharma (UK) Ltd
3658011000001106,Sandrena 500microgram gel sachets 28 sachet - Orion Pharma (UK) Ltd
