CTV3Codes,Description
x01ME,Parenteral progesterone
ga25.,Levonorgestrel 38mg subdermal implant
ga24.,Norplant 38mg subdermal implant
ga6z.,Norethisterone oenanthate 200mg/1mL oily injection
ga61.,Noristerat 200mg/1mL oily injection
61B..,Depot contraception
61B1.,Depot contraceptive given
61B2.,Depot contraceptive repeated
61B3.,Depot contraceptive-no problem
61BZ.,Depot contraceptive NOS
61KA.,Insertion of subcutaneous contraceptive
XaX5O,Reinsertion of subcutaneous contraceptive
Xa85f,Insertion of subcutaneous contraceptive in arm
XM1Kt,Insertion of Norplant
ga7..,Etonogestrel
ga72.,Implanon 68mg subdermal implant
ga73.,NEXPLANON 68mg subdermal implant
x01MC,Parenteral medroxyprogesterone
ga3z.,Medroxyprogesterone 50mg/1mL injection
fg41.,Depo-Provera 50mg/1mL injection
ga34.,Medroxyprogesterone acetate 150mg/1mL injection
ga32.,Depo-Provera 150mg/1mL injection
fg4x.,Medroxyprogesterone acetate 150mg/3mL injection
fg49.,Depo-Provera 150mg/3mL injection
fg42.,Depo-Provera 150mg injection
fg4w.,Medroxyprogesterone 50mg/mL injection
fg4y.,Medroxyprogesterone acetate 250mg/5mL injection
fg43.,Depo-Provera 250mg/5mL injection
hc2s.,Medroxyprogesterone acetate 450mg/3mL injection
hc21.,Depo-Provera 450mg/3mL injection
hc2v.,Medroxyprogesterone acetate 500mg/2.5mL injection
hc25.,Farlutal 500mg/2.5mL injection
hc2d.,Medroxyprogesterone acetate 495mg/3.3mL injection
hc2c.,Depo-Provera Oncology 495mg/3.3mL injection
hc2w.,Medroxyprogesterone acetate 1g/5mL injection
hc26.,Farlutal 1g/5mL injection
ga35.,Medroxyprogesterone acetate 150mg/1mL prefilled syringe
ga36.,Depo-Provera 150mg/1mL prefilled syringe
fg6w.,Progesterone 10mg/1mL injection
fg63.,Gestone 10mg/1mL injection
fg6x.,Progesterone 25mg/1mL injection
fg64.,Gestone 25mg/1mL injection
fg6y.,Progesterone 50mg/1mL injection
fg65.,Gestone 50mg/1mL injection
fg67.,Progesterone 100mg/2mL injection
fg66.,Gestone 100mg/2mL injection
ga37.,SAYANA 104mg/0.65mL susp for injection prefilled syringe
ga38.,MEDROXYPROGESTERONE ACET 104mg/0.65mL susp for injection pfs
XE1S7,Depot contraceptive
XE1S8,Depot contraceptive given
Xa9wt,Depo-provera injection given
fi51.,Primoteston Depot 250mg/1mL oily injection
hc2a.,Provera 80mg/mL suspension
x01MB,Provera 100mg/mL suspension
hc2b.,Provera 100mg/mL suspension 100mL
ga3..,Medroxyprogest acetate [progestogen oral contraceptive]
