V2Codes,Description
61B..,Depot contraception
61B1.,Depot contraceptive given
61B2.,Depot contraceptive repeated
61BZ.,Depot contraceptive NOS
ga37.,SAYANA PRESS 104mg/0.65mL susp for injection prefill device
ga31.,DEPO-PROVERA 50mg/1mL injection
ga32.,DEPO-PROVERA 150mg/1mL injection
ga33.,DEPO-PROVERA 250mg/5mL injection
ga34.,MEDROXYPROGESTERONE 150mg/1mL injection
ga35.,MEDROXYPROGESTERONE 150mg/1mL prefilled syringe
ga36.,DEPO-PROVERA 150mg/1mL prefilled syringe
ga38.,MEDROXYPROGESTERONE ACET 104mg/0.65mL susp for inj device
ga3z.,MEDROXYPROGESTERONE 50mg/1mL injection
ga6..,NORETHISTERONE OENANTHATE
ga61.,NORISTERAT 200mg/1mL injection
ga6z.,NORETHISTERONE 200mg/1mL injection
ga7..,ETONOGESTREL
ga71.,ETONOGESTREL 68mg subdermal implant
ga72.,IMPLANON 68mg subdermal implant
ga73.,NEXPLANON 68mg subdermal implant
ga24.,NORPLANT 38mg subdermal implant
ga25.,LEVONORGESTREL 38mg subdermal implant
ga3..,MEDROXYPROGESTERONE ACETATE [PROGESTOGEN ORAL CONTRACEPTIVE]
fg6y.,PROGESTERONE 50mg/1mL injection
fg67.,PROGESTERONE 100mg/2mL injection
fg6q.,PROGESTERONE 25mg/1.119mL solution for injection
