ProdCodeId,Description
1849341000033113,etonogestrel 68mg implant
1849441000033119,implanon 68mg implant (organon laboratories ltd)
2189241000033119,"depo-provera oncology injection 150 mg/ml, 3.3 ml vial"
2846341000033115,depo-provera 150mg/1ml suspension for injection vials (pfizer ltd)
2924241000033111,medroxyprogesterone 500mg/2.5ml suspension for injection vials
2924341000033118,farlutal 500 suspension for injection 2.5ml vials (pfizer ltd)
3107341000033112,norethisterone 200mg/1ml solution for injection ampoules
420841000033116,"depo-provera injection 150 mg/ml, 3.3 ml vial"
420941000033112,"depo-provera injection 50 mg/ml, 3 ml vial"
421041000033119,"depo-provera injection 50 mg/ml, 5 ml vial"
421741000033116,depo-provera injection 150 mg/1 ml
421841000033114,depo-provera injection 50 mg/1 ml
427341000033112,depo-provera 150mg/1ml suspension for injection pre-filled syringes (pfizer ltd)
5984041000033112,nexplanon 68mg implant (merck sharp & dohme ltd)
8493641000033110,medroxyprogesterone 104mg/0.65ml suspension for injection pre-filled disposable devices
8493741000033118,sayana press 104mg/0.65 ml suspension for injection pre-filled disposable devices (pfizer ltd)
877841000033113,medroxyprogesterone acetate injection 200 mg/ml
881941000033117,medroxyprogesterone acetate injection 150 mg/1 ml
882041000033111,"medroxyprogesterone acetate injection 150 mg/ml, 3.3 ml vial"
882141000033110,"medroxyprogesterone acetate injection 50 mg/ml, 3 ml vial"
882241000033115,"medroxyprogesterone acetate injection 50 mg/ml, 5 ml vial"
885341000033118,medroxyprogesterone acetate injection 50 mg/ml
890041000033114,medroxyprogesterone 150mg/1ml suspension for injection pre-filled syringes
982341000033116,noristerat 200mg/1ml solution for injection ampoules (bayer plc)
982641000033112,"norethisterone enanthate injection 200mg/ml, 1 ml ampoule"
985941000033110,norplant subdermal implant 228 mg
