CTV3Codes,Description
x02MF,Levonorgestrel
ga23.,Levonorgestrel 30micrograms tablet
ga21.,Microval tablet
ga22.,Norgeston tablet
ga42.,Levonorgestrel 37.5micrograms tablet
ga41.,Neogest tablet
ga28.,Levonorgestrel 750micrograms tablet
ga2A.,Levonelle 750micrograms tablet
ga29.,Levonelle-2 tablet
ga2B.,Levonorgestrel 1.5mg tablet
ga2D.,Levonelle 1500micrograms tablet
ga2C.,Levonelle One Step 1.5mg tablet
ga2..,Levonorgestrel [progestogen contraceptive]
ga2E.,UPOSTELLE 1500micrograms tablets
ga2H.,ISTERANDA 1.5mg tablets
ga2J.,EMERRES 1.5mg tablets
ga2K.,EMERRES UNA 1.5mg tablets
x02MA,Norethisterone
ga5z.,Norethisterone 350mcg tablet
ga51.,Micronor tablet
x0260,Noriday tablet
ga52.,Noriday tablet 28CP
ga53.,Noriday tablet 84CP
fg57.,Norethisterone 1mg tablet
fg56.,Micronor.HRT 1mg tablet
fg51.,Norethisterone 5mg tablet
fg52.,Primolut-N 5mg tablet
fg53.,Utovlan 5mg tablet
x00ZD,Menzol 8-day 5mg Planapack tablets
fg54.,Menzol 8-day 5mg tablets x72
x00ZC,Menzol 20-day 5mg Planapack tablets
fg55.,Menzol 20-day 5mg tablets x180
hc5z.,Norethisterone 10mg tablet
hc51.,SH-420 10mg tablet
ga5..,Norethisterone [progestogen oral contraceptive]
ga6..,Norethisterone enanthate
g81..,Desogestrel
g815.,GEDAREL 30micrograms/150micrograms tablets
g816.,GEDAREL 20micrograms/150micrograms tablets
g817.,CIMIZT 30micrograms/150micrograms tablets
g818.,LESTRAMYL 20micrograms/150micrograms tablets
g819.,LESTRAMYL 30micrograms/150micrograms tablets
g81A.,ALENVONA 30micrograms/150micrograms tablets
g81B.,ALENINI 20micrograms/150micrograms tablets
g81C.,BIMIZZA 20micrograms/150micrograms tablets
ga8..,Desogestrel product
ga8A.,Desogestrel 75micrograms tablet
ga8B.,Cerazette 75micrograms tablet
ga81.,DESOREX 75micrograms tablets
ga82.,NACREZ 75micrograms tablets
ga8C.,CERELLE 75micrograms tablets
ga8D.,AIZEA 75micrograms tablets
ga8E.,DESOMONO 75micrograms tablets
ga8F.,ZELLETA 75micrograms tablets
ga8G.,FEANOLLA 75micrograms tablets
ga3..,Medroxyprogest acetate [progestogen oral contraceptive]
hc2a.,Provera 80mg/mL suspension
x01MB,Provera 100mg/mL suspension
hc2b.,Provera 100mg/mL suspension 100mL
x02MG,Medroxyprogesterone
x01M8,Oral medroxyprogesterone
fg48.,Medroxyprogesterone 2.5mg tablet
fg47.,Provera 2.5mg tablet
fg4z.,Medroxyprogesterone acetate 5mg tablet
fg4A.,Adgyn Medro 5mg tablet
fg4B.,Climanor 5mg tablet
fg44.,Provera 5mg tablet
fg46.,Medroxyprogesterone acetate 10mg tablet
fg45.,Provera 10mg tablet
hc2x.,Medroxyprogesterone acetate 100mg tablet
hc22.,Farlutal 100mg tablet
hc27.,Provera 100mg tablet
hc2y.,Medroxyprogesterone acetate 200mg tablet
hc28.,Provera 200mg tablet
hc2t.,Medroxyprogesterone acetate 250mg tablet
hc23.,Farlutal 250mg tablet
hc2z.,Medroxyprogesterone acetate 400mg tablet
hc29.,Provera 400mg tablet
hc2u.,Medroxyprogesterone acetate 500mg tablet
hc24.,Farlutal 500mg tablet
x01M9,Medroxyprogesterone 80mg/1mL suspension
hc2r.,Medroxyprogest 80mg/mL suspension 100mL
fg6t.,PROGESTERONE MICRONISED 100mg capsules
fg6C.,UTROGESTAN 100mg capsules
ga4..,Norgestrel [progestogen oral contraceptive]
ga...,Progesterone - only contraceptives
fg6s.,PROGESTERONE MICRONISED 200mg capsules
fg6D.,UTROGESTAN 200mg capsules
fg5..,Norethisterone [endocrine]
6148.,Progestogen only oral contraceptive
