SNOMEDCTCodes,Description
41722711000001108,Levonorgestrel 1.5mg tablets (Crescent Pharma Ltd)
41723011000001102,Levonorgestrel 1.5mg tablets (Crescent Pharma Ltd) 1 tablet
28490311000001104,Levonorgestrel 1.5mg tablets (A A H Pharmaceuticals Ltd)
28490411000001106,Levonorgestrel 1.5mg tablets (A A H Pharmaceuticals Ltd) 1 tablet
27925611000001100,Levonorgestrel 1.5mg tablets (Alliance Healthcare (Distribution) Ltd)
27925811000001101,Levonorgestrel 1.5mg tablets (Alliance Healthcare (Distribution) Ltd) 1 tablet
23411311000001109,Levonorgestrel 1.5mg tablets (Consilient Health Ltd)
23411411000001102,Levonorgestrel 1.5mg tablets (Consilient Health Ltd) 1 tablet
42650611000001106,Levonorgestrel 1.5mg tablets (Clydesdale Pharma Ltd)
42650711000001102,Levonorgestrel 1.5mg tablets (Clydesdale Pharma Ltd) 1 tablet
30220411000001101,Levonorgestrel 1.5mg tablets (Mawdsley-Brooks & Company Ltd)
30220511000001102,Levonorgestrel 1.5mg tablets (Mawdsley-Brooks & Company Ltd) 1 tablet
30061011000001102,Levonorgestrel 1.5mg tablets (DE Pharmaceuticals)
30061111000001101,Levonorgestrel 1.5mg tablets (DE Pharmaceuticals) 1 tablet
32416111000001109,Levonorgestrel 1.5mg tablets (Kent Pharma (UK) Ltd)
32416211000001103,Levonorgestrel 1.5mg tablets (Kent Pharma (UK) Ltd) 1 tablet
33018011000001106,Levonorgestrel 1.5mg tablets (Lupin Healthcare (UK) Ltd)
33018211000001101,Levonorgestrel 1.5mg tablets (Lupin Healthcare (UK) Ltd) 1 tablet
33593711000001104,Levonorgestrel 1.5mg tablets (Viatris UK Healthcare Ltd)
33593911000001102,Levonorgestrel 1.5mg tablets (Viatris UK Healthcare Ltd) 1 tablet
39454411000001108,Levonorgestrel 30microgram tablets (Imported)
39454511000001107,Levonorgestrel 30microgram tablets (Imported) 84 tablet
9568511000001102,Levonelle 1500microgram tablets (Bayer Plc)
9568611000001103,Levonelle 1500microgram tablets (Bayer Plc) 1 tablet
18588811000001102,Levonelle One Step 1.5mg tablets (DE Pharmaceuticals)
18588911000001107,Levonelle One Step 1.5mg tablets (DE Pharmaceuticals) 1 tablet
14296111000001102,Levonelle One Step 1.5mg tablets (Sigma Pharmaceuticals Plc)
14296311000001100,Levonelle One Step 1.5mg tablets (Sigma Pharmaceuticals Plc) 1 tablet
39016111000001105,Levonorgestrel 1.5mg tablets (Medihealth (Northern) Ltd)
39016211000001104,Levonorgestrel 1.5mg tablets (Medihealth (Northern) Ltd) 1 tablet
29890411000001101,Levonorgestrel 1.5mg tablets (Sigma Pharmaceuticals Plc)
29890511000001102,Levonorgestrel 1.5mg tablets (Sigma Pharmaceuticals Plc) 1 tablet
40830311000001103,Postinor 1500microgram tablets (Gedeon Richter (UK) Ltd)
40830511000001109,Postinor 1500microgram tablets (Gedeon Richter (UK) Ltd) 1 tablet
52011000001108,Levonelle 750microgram tablets (Schering Health Care Ltd)
1930111000001101,Levonelle 750microgram tablets (Schering Health Care Ltd) 2 tablet
30777811000001107,Emerres Una 1.5mg tablets (Morningside Healthcare Ltd)
30777911000001102,Emerres Una 1.5mg tablets (Morningside Healthcare Ltd) 1 tablet
8160111000001102,Levonelle One Step 1.5mg tablets (Bayer Plc)
8160211000001108,Levonelle One Step 1.5mg tablets (Bayer Plc) 1 tablet
27990811000001103,Levonelle One Step 1.5mg tablets (Waymade Healthcare Plc)
27990911000001108,Levonelle One Step 1.5mg tablets (Waymade Healthcare Plc) 1 tablet
333911000001101,Levonelle-2 750microgram tablets (Schering Health Care Ltd)
1930211000001107,Levonelle-2 750microgram tablets (Schering Health Care Ltd) 2 tablet
29912011000001103,Emerres 1.5mg tablets (Morningside Healthcare Ltd)
29912111000001102,Emerres 1.5mg tablets (Morningside Healthcare Ltd) 1 tablet
36014711000001107,Melkine 1.5mg tablets (Crescent Pharma Ltd)
36014811000001104,Melkine 1.5mg tablets (Crescent Pharma Ltd) 1 tablet
221011000001108,Norgeston 30microgram tablets (Bayer Plc)
1930011000001102,Norgeston 30microgram tablets (Bayer Plc) 35 tablet
28006811000001103,Isteranda 1.5mg tablets (Sandoz Ltd)
28006911000001108,Isteranda 1.5mg tablets (Sandoz Ltd) 1 tablet
16500111000001104,Levonelle 1500microgram tablets (Mawdsley-Brooks & Company Ltd)
