V2Codes,Description
ga2B.,LEVONORGESTREL 1.5mg tablets
ga23.,LEVONORGESTREL 30micrograms tablets
ga5..,NORETHISTERONE [PROGESTOGEN ORAL CONTRACEPTIVE]
ga51.,MICRONOR tablets
ga52.,NORIDAY tablets 28CP
ga53.,NORIDAY tablets 84CP
ga8..,DESOGESTREL [PROGESTOGEN ONLY CONTRACEPTIVE]
ga81.,DESOREX 75micrograms tablets
ga82.,NACREZ 75micrograms tablets
ga8A.,DESOGESTREL 75micrograms tablets
ga8B.,CERAZETTE 75micrograms tablets
ga8C.,CERELLE 75micrograms tablets
ga8D.,AIZEA 75micrograms tablets
ga8E.,DESOMONO 75micrograms tablets
ga8F.,ZELLETA 75micrograms tablets
ga8G.,FEANOLLA 75micrograms tablets
ga2..,LEVONORGESTREL [PROGESTOGEN CONTRACEPTIVE]
ga21.,*MICROVAL tablets
ga22.,NORGESTON tablets
ga28.,LEVONORGESTREL 750micrograms tablets
ga29.,*LEVONELLE-2 tablets
ga2A.,LEVONELLE 750micrograms tablets
ga2C.,LEVONELLE ONE STEP 1.5mg tablet
ga2D.,LEVONELLE 1500micrograms tablets
ga2E.,UPOSTELLE 1500micrograms tablets
ga2H.,ISTERANDA 1.5mg tablets
ga2J.,EMERRES 1.5mg tablets
ga2K.,EMERRES UNA 1.5mg tablets
ga...,PROGESTOGEN ONLY CONTRACEPTIVE
ga3..,MEDROXYPROGESTERONE ACETATE [PROGESTOGEN ORAL CONTRACEPTIVE]
fg5..,NORETHISTERONE [ENDOCRINE]
fg51.,NORETHISTERONE 5mg tablets
fg52.,PRIMOLUT N 5mg tablets
fg53.,UTOVLAN 5mg tablets
fg54.,*MENZOL-8 DAY 5mg tablets x72
fg55.,MENZOL-20 DAY 5mg tablets x180
fg56.,*MICRONOR.HRT 1mg tablets
fg57.,*NORETHISTERONE 1mg tablets
ga1..,ETYNODIOL DIACETATE [PROGESTOGEN ORAL CONTRACEPTIVE]
ga11.,*FEMULEN tablets
ga12.,ETYNODIOL DIACETATE 500micrograms tablets
ga4..,NORGESTREL [PROGESTOGEN ORAL CONTRACEPTIVE]
ga41.,*NEOGEST tablets
ga42.,LEVONORGESTREL 37.5micrograms tablets
ga7..,ETONOGESTREL
