ProdCodeId,Description
10541441000033112,emerres 1.5mg tablets (morningside healthcare ltd)
10644141000033112,emerres una 1.5mg tablets (morningside healthcare ltd)
1133241000033112,primolut n 5mg tablets (bayer plc)
11781241000033110,ezinelle 1.5mg tablets (mylan)
12885241000033111,moonia 75microgram tablets (stragen uk ltd)
1496241000033112,utovlan 5mg tablets (pfizer ltd)
1954641000033114,levonorgestrel 750microgram tablets
1954841000033110,levonelle-2 750microgram tablets (schering health care ltd)
2263141000033112,levonelle 750microgram tablets (schering health care ltd)
2801241000033111,desogestrel 75microgram tablets
2801341000033118,cerazette 75microgram tablets (merck sharp & dohme ltd)
3199441000033113,levonorgestrel 1.5mg tablets
3199541000033114,levonelle one step 1.5mg tablets (bayer plc)
3835341000033115,levonelle 1500microgram tablets (bayer plc)
8233441000033115,cerelle 75microgram tablets (consilient health ltd)
8233541000033119,nacrez 75microgram tablets (teva uk ltd)
8243641000033117,aizea 75microgram tablets (besins healthcare (uk) ltd)
8244141000033113,desorex 75microgram tablets (somex pharma)
826441000033111,levonorgestrel 30microgram tablets
8491541000033113,desomono 75microgram tablets (medrx licences ltd)
8619541000033113,zelleta 75microgram tablets (morningside healthcare ltd)
8840241000033116,upostelle 1500microgram tablets (gedeon richter (uk) ltd)
919241000033118,micronor hrt 1mg tablets (janssen-cilag ltd)
919941000033110,micronor 350microgram tablets (janssen-cilag ltd)
920041000033113,microval 30microgram tablets (wyeth pharmaceuticals)
9307241000033111,feanolla 75microgram tablets (lupin healthcare (uk) ltd)
9838141000033111,isteranda 1.5mg tablets (sandoz ltd)
986941000033116,norethisterone 5mg tablets
987041000033115,norethisterone acetate tablets 10 mg
987241000033111,noriday 350microgram tablets (pfizer ltd)
988041000033116,norethisterone 1mg tablets
988441000033113,norethisterone 350microgram tablets
988941000033115,norgeston 30microgram tablets (bayer plc)
2174041000033116,adgyn medro 5mg tablets (kyowa kirin ltd)
