SNOMEDCTCodes,Description
21280611000001102,Estradiol 2mg / Dydrogesterone 10mg tablets - Waymade Healthcare Plc
14233211000001107,Estradiol 2mg / Dydrogesterone 10mg tablets - Sigma Pharmaceuticals Plc
18648911000001106,Estradiol 2mg / Dydrogesterone 10mg tablets - DE Pharmaceuticals
7096011000001100,Estradiol 2mg / Dydrogesterone 10mg tablets - Dowelhurst Ltd
21280911000001108,Estradiol 2mg / Dydrogesterone 10mg tablets 42 tablet - Waymade Healthcare Plc
14233311000001104,Estradiol 2mg / Dydrogesterone 10mg tablets 42 tablet - Sigma Pharmaceuticals Plc
18649011000001102,Estradiol 2mg / Dydrogesterone 10mg tablets 42 tablet - DE Pharmaceuticals
7096311000001102,Estradiol 2mg / Dydrogesterone 10mg tablets 42 tablet - Dowelhurst Ltd
3349311000001108,Estradiol 2mg / Dydrogesterone 10mg tablets - Abbott Healthcare Products Ltd
16176211000001109,Estradiol 2mg / Dydrogesterone 10mg tablets - Lexon (UK) Ltd
16577911000001107,Estradiol 2mg / Dydrogesterone 10mg tablets - Mawdsley-Brooks & Company Ltd
3349411000001101,Estradiol 2mg / Dydrogesterone 10mg tablets 42 tablet - Abbott Healthcare Products Ltd
16176311000001101,Estradiol 2mg / Dydrogesterone 10mg tablets 42 tablet - Lexon (UK) Ltd
16578011000001109,Estradiol 2mg / Dydrogesterone 10mg tablets 42 tablet - Mawdsley-Brooks & Company Ltd
3347311000001103,Estradiol 1mg / Dydrogesterone 10mg tablets - Abbott Healthcare Products Ltd
3345311000001106,Estradiol 2mg / Dydrogesterone 20mg tablets - Abbott Healthcare Products Ltd
16577211000001103,Femoston-conti 1mg/5mg tablets - Mawdsley-Brooks & Company Ltd
519311000001107,Femoston-conti 1mg/5mg tablets - Mylan
3347411000001105,Estradiol 1mg / Dydrogesterone 10mg tablets 42 tablet - Abbott Healthcare Products Ltd
3345411000001104,Estradiol 2mg / Dydrogesterone 20mg tablets 42 tablet - Abbott Healthcare Products Ltd
16577311000001106,Femoston-conti 1mg/5mg tablets 84 tablet - Mawdsley-Brooks & Company Ltd
2587211000001108,Femoston-conti 1mg/5mg tablets 84 tablet - Mylan
39837311000001104,Femoston-conti 1mg/5mg tablets - CST Pharma Ltd
39837411000001106,Femoston-conti 1mg/5mg tablets 84 tablet - CST Pharma Ltd
39648311000001106,Femoston-conti 1mg/5mg tablets - Pharmaram Ltd
11030011000001105,Femoston-conti 1mg/5mg tablets - Waymade Healthcare Plc
18578711000001104,Femoston-conti 1mg/5mg tablets - DE Pharmaceuticals
18578811000001107,Femoston-conti 1mg/5mg tablets 84 tablet - DE Pharmaceuticals
39648411000001104,Femoston-conti 1mg/5mg tablets 84 tablet - Pharmaram Ltd
11030111000001106,Femoston-conti 1mg/5mg tablets 84 tablet - Waymade Healthcare Plc
3369111000001100,Estradiol 2mg / Dydrogesterone 10mg tablets
3349211000001100,Estradiol 2mg / Dydrogesterone 10mg tablets 42 tablet
3369011000001101,Estradiol 1mg / Dydrogesterone 10mg tablets
3347111000001100,Estradiol 1mg / Dydrogesterone 10mg tablets 42 tablet
3369211000001106,Estradiol 2mg / Dydrogesterone 20mg tablets
3345111000001109,Estradiol 2mg / Dydrogesterone 20mg tablets 42 tablet
3369311000001103,Estradiol 1mg / Dydrogesterone 5mg tablets
1063411000001104,Estradiol 1mg / Dydrogesterone 5mg tablets 84 tablet
21366211000001107,Estradiol 500micrograms / Dydrogesterone 2.5mg tablets
