V2Codes,Description
ff2..,Estradiol product
x01M3,Oral estradiol
ff2y.,Estradiol 1mg tablet
ff2N.,Elleste-Solo 1mg tablet
ff2T.,Zumenon 1mg tablet
ff2z.,Estradiol 2mg tablet
ff98.,Adgyn Estro 2mg tablet
ff9L.,Bedol 2mg tablet
ff2L.,Elleste-Solo 2mg tablet
ff2h.,Zumenon 2mg tablet
ff2M.,Estradiol valerate 1mg tablet
ff2f.,Climaval 1mg tablet
ff9E.,FemTab 1mg tablet
ff27.,Progynova 1mg tablet
ff2m.,Estradiol valerate 2mg tablet
ff2g.,Climaval 2mg tablet
ff9F.,FemTab 2mg tablet
ff28.,Progynova 2mg tablet
ff26.,Hormonin tablet
x01M4,Estradiol implant
ff2t.,Estradiol 25mg implant
ff21.,Oestradiol 25mg implant 36 week
ff2u.,Estradiol 50mg implant
ff22.,Oestradiol 50mg implant 44 week
ff2v.,Estradiol 100mg implant
ff23.,Oestradiol 100mg implant 57 week
x01M5,Topical estradiol
ff2e.,Estradiol 25micrograms pessary
ff2d.,Vagifem 25mcg pessary
g352.,Estradiol 2mg(7.5micrograms/24hours) vaginal ring
g351.,Estring 2mg(7.5micrograms/24hours) vaginal ring
ff9y.,Estradiol 50micrograms/24hours vaginal ring
ff9D.,Menoring 50micrograms/24hours vaginal ring
ff2q.,Estradiol 25micrograms patch
ff2U.,Dermestril 25 patch
ff99.,Dermestril-Septem 25micrograms patch
ff2Q.,Estraderm MX 25 patch
ff29.,Estraderm TTS 25micrograms patch
ff9G.,Estradot 25micrograms patch
ff2l.,Evorel 25 patch
ff2H.,Estradiol 37.5micrograms patch
ff9H.,Estradot 37.5micrograms patch
ff2E.,Menorest 37.5micrograms patch
ff2I.,Estradiol 40micrograms patch
ff2i.,Elleste-Solo MX 40 patch
ff2J.,Fematrix 40 patch
ff2r.,Estradiol 50micrograms patches
ff2V.,Dermestril 50 patch
ff9A.,Dermestril-Septem 50micrograms patch
ff2R.,Estraderm MX 50 patch
ff2a.,Estraderm TTS 50micrograms patch
ff9I.,Estradot 50micrograms patch
ff2j.,Evorel 50 patch
