ProdCodeId,Description
1000341000033112,oestradiol tablets 2 mg
1000441000033118,oestradiol benzoate tablets 1 mg
1000541000033117,oestradiol benzoate tablets 2 mg
1000641000033116,oestriol tablets 1 mg
1000741000033113,oestradiol tablets 1 mg
1000841000033115,oestriol tablets 250 micrograms
1000941000033111,oestradiol valerate tablets 1 mg
1001041000033118,oestradiol valerate tablets 2 mg
1001141000033119,oestradiol transdermal patches 100 micrograms/24 hrs
1001241000033114,oestradiol transdermal patches 25 micrograms/24 hrs
1001341000033116,oestradiol transdermal patches 50 micrograms/24 hrs
1001441000033110,oestradiol transdermal patches 75 micrograms/24 hrs
1001541000033111,oestradiol transdermal patches 80 micrograms/24 hrs
1001641000033112,oestradiol transdermal patches 37.5 micrograms/24 hrs
1001741000033115,oestradiol transdermal patches 40 micrograms/24 hrs
1001841000033113,oestradiol transdermal patches (7 days) 100 micrograms/24 hrs
1001941000033117,oestradiol transdermal patches (7 days) 50 micrograms/24 hrs
1002041000033111,oestradiol transdermal patches (7 days) 75 micrograms/24 hrs
1002141000033110,oestradiol hemihydrate vaginal ring 7.5 micrograms/24 hrs (2 mg ring)
1002241000033115,oestradiol vaginal tablets 25 micrograms
1015241000033113,ortho-gynest 500microgram pessaries (janssen-cilag ltd)
1021441000033115,ovestin 1mg cream (aspen pharma trading ltd)
1021541000033119,ovran tablets (wyeth pharmaceuticals)
1021641000033118,ovranette 150microgram/30microgram tablets (pfizer ltd)
1021741000033110,ovysmen 500microgram/35microgram tablets (janssen-cilag ltd)
1021841000033117,ovestin 1mg tablets (organon laboratories ltd)
10541541000033113,teragezza 2000microgram/35microgram tablets (morningside healthcare ltd)
10541641000033114,bimizza 150microgram/20microgram tablets (morningside healthcare ltd)
10541741000033117,yacella 0.03mg/3mg tablets (morningside healthcare ltd)
10599741000033112,ethinylestradiol 20microgram / drospirenone 3mg tablets
10599841000033119,eloine 0.02mg/3mg tablets (bayer plc)
10611641000033111,daylette 0.02mg/3mg tablets (consilient health ltd)
10645141000033113,juliperla 75microgram/20microgram tablets (actavis uk ltd)
10645341000033111,sofiperla 75microgram/30microgram tablets (actavis uk ltd)
10982041000033113,cilique 250microgram/35microgram tablets (consilient health ltd)
1104041000033114,polyestradiol phosphate injection 40 mg vial
1104341000033111,polyestradiol phosphate injection 80 mg vial
1112641000033111,premarin 0.625mg/g vaginal cream (pfizer ltd)
1132341000033110,premarin 1.25mg tablets (pfizer ltd)
1132441000033116,premarin 0.625mg tablets (pfizer ltd)
1132541000033115,prempak-c 0.625mg/0.15mg tablets (pfizer ltd)
1132641000033119,prempak-c 1.25mg/0.15mg tablets (pfizer ltd)
1134041000033118,progynova 1mg tablets (bayer plc)
1134141000033119,progynova 2mg tablets (bayer plc)
1136041000033114,premique 0.625mg/5mg tablets (pfizer ltd)
1140041000033113,premarin 2.5mg tablets (wyeth pharmaceuticals)
11736341000033116,yiznell 0.03mg/3mg tablets (lupin healthcare (uk) ltd)
11882141000033114,estriol vaginal applicator type 1
12185141000033110,leandra 30microgram/150microgram tablets (genesis pharmaceuticals ltd)
12194041000033111,ellanite 0.03mg/3mg tablets (stragen uk ltd)
12291041000033111,conjugated oestrogens 450microgram / bazedoxifene 20mg modified-release tablets
12291141000033110,duavive 0.45mg/20mg modified-release tablets (pfizer ltd)
1239041000033116,sandrena 1mg gel sachets (orion pharma (uk) ltd)
1239141000033117,sandrena 500microgram gel sachets (orion pharma (uk) ltd)
12420841000033116,ethinylestradiol 2.7mg / etonogestrel 11.7mg vaginal delivery system
1267141000033118,schering pc4 tablets (schering health care ltd)
12902341000033115,syreniring 0.12mg/0.015mg per day vaginal delivery system (crescent pharma ltd)
13010741000033115,estriol 50micrograms/g vaginal gel with applicator
13010841000033113,blissel 50micrograms/g vaginal gel with applicator (flynn pharma ltd)
13130441000033110,estriol 30microgram pessaries
13130541000033111,imvaggis 0.03mg pessaries (besins healthcare (uk) ltd)
13449541000033116,akizza 75microgram/20microgram tablets (morningside healthcare ltd)
13449641000033115,akizza 75microgram/30microgram tablets (morningside healthcare ltd)
13451141000033114,estradiol 1.53mg/dose transdermal spray
13451441000033118,lenzetto 1.53mg/dose transdermal spray (gedeon richter (uk) ltd)
13713341000033113,ambelina 150microgram/30microgram tablets (crescent pharma ltd)
13722641000033119,vagirux 10microgram vaginal tablets (gedeon richter (uk) ltd)
1444741000033117,tibolone 2.5mg tablets
1505641000033111,vagifem 25microgram vaginal tablets (novo nordisk ltd)
1563841000033112,zumenon 2mg tablets (mylan)
1563941000033116,zumenon 1mg tablets (mylan)
1594241000033112,conjugated oestrogens 2.5mg tablets
162041000033118,brevinor 500microgram/35microgram tablets (pfizer ltd)
1625541000033112,kliovance tablets (novo nordisk ltd)
1798141000033113,estraderm mx 75 patches (norgine pharmaceuticals ltd)
1798241000033118,nuvelle continuous tablets (bayer plc)
1890341000033111,femodette tablets (bayer plc)
1922141000033113,femoston-conti 1mg/5mg tablets (mylan)
2173841000033114,adgyn estro 2mg tablets (kyowa kirin ltd)
2215241000033115,indivina 1mg/2.5mg tablets (orion pharma (uk) ltd)
2215341000033113,indivina 1mg/5mg tablets (orion pharma (uk) ltd)
2215441000033119,indivina 2mg/5mg tablets (orion pharma (uk) ltd)
2216941000033118,oestradiol transdermal patches (7 days) 25 micrograms/24 hrs
2217041000033117,dermestril - septem 50 patches (kyowa kirin ltd)
