SNOMEDCTCodes,Description
24155411000001107,Hydroxychloroquine 200mg tablets (DE Pharmaceuticals)
24155511000001106,Hydroxychloroquine 200mg tablets (DE Pharmaceuticals) 60 tablet
16054711000001104,Hydroxychloroquine 200mg tablets (Bristol Laboratories Ltd)
16054811000001107,Hydroxychloroquine 200mg tablets (Bristol Laboratories Ltd) 60 tablet 6 x 10 tablets
38375911000001109,Hydroxychloroquine 200mg tablets (Ipca Laboratories UK Ltd)
38376011000001101,Hydroxychloroquine 200mg tablets (Ipca Laboratories UK Ltd) 60 tablet 6 x 10 tablets
20476911000001105,Hydroxychloroquine 200mg tablets (Teva UK Ltd)
20477011000001109,Hydroxychloroquine 200mg tablets (Teva UK Ltd) 60 tablet 6 x 10 tablets
22045011000001103,Hydroxychloroquine 200mg tablets (Waymade Healthcare Plc)
22045111000001102,Hydroxychloroquine 200mg tablets (Waymade Healthcare Plc) 60 tablet
8536611000001106,Hydroxychloroquine 100mg/5ml oral suspension (Special Order)
8536711000001102,Hydroxychloroquine 100mg/5ml oral suspension (Special Order) 1 ml
29719411000001105,Hydroxychloroquine 200mg tablets (Zentiva Pharma UK Ltd)
29719511000001109,Hydroxychloroquine 200mg tablets (Zentiva Pharma UK Ltd) 60 tablet 6 x 10 tablets
8537211000001106,Hydroxychloroquine 150mg/5ml oral suspension (Special Order)
8537311000001103,Hydroxychloroquine 150mg/5ml oral suspension (Special Order) 1 ml
8535811000001102,Hydroxychloroquine 120mg/5ml oral suspension (Special Order)
8535911000001107,Hydroxychloroquine 120mg/5ml oral suspension (Special Order) 1 ml
8538411000001109,Hydroxychloroquine 200mg/5ml oral solution (Special Order)
8538711000001103,Hydroxychloroquine 200mg/5ml oral solution (Special Order) 1 ml
12570411000001102,Hydroxychloroquine 400mg/5ml oral solution (Special Order)
12570511000001103,Hydroxychloroquine 400mg/5ml oral solution (Special Order) 1 ml
8537511000001109,Hydroxychloroquine 50mg/5ml oral solution (Special Order)
8537711000001104,Hydroxychloroquine 50mg/5ml oral solution (Special Order) 1 ml
12568011000001103,Hydroxychloroquine 20mg/5ml oral solution (Special Order)
12568111000001102,Hydroxychloroquine 20mg/5ml oral solution (Special Order) 1 ml
8538311000001102,Hydroxychloroquine 50mg/5ml oral suspension (Special Order)
8538811000001106,Hydroxychloroquine 50mg/5ml oral suspension (Special Order) 1 ml
30622211000001102,Hydroxychloroquine 50mg/5ml oral suspension (Special Order) 300 ml
30622311000001105,Hydroxychloroquine 50mg/5ml oral suspension (Special Order) 500 ml
12569211000001103,Hydroxychloroquine 25mg/5ml oral solution (Special Order)
12569311000001106,Hydroxychloroquine 25mg/5ml oral solution (Special Order) 1 ml
12573711000001104,Hydroxychloroquine 85mg/5ml oral solution (Special Order)
12573811000001107,Hydroxychloroquine 85mg/5ml oral solution (Special Order) 1 ml
12570111000001107,Hydroxychloroquine 36mg/5ml oral solution (Special Order)
12570211000001101,Hydroxychloroquine 36mg/5ml oral solution (Special Order) 1 ml
12572511000001102,Hydroxychloroquine 65mg/5ml oral solution (Special Order)
12572711000001107,Hydroxychloroquine 65mg/5ml oral solution (Special Order) 1 ml
20507211000001102,Hydroxychloroquine 200mg tablets (Alliance Healthcare (Distribution) Ltd)
20507311000001105,Hydroxychloroquine 200mg tablets (Alliance Healthcare (Distribution) Ltd) 60 tablet
32407811000001102,Hydroxychloroquine 200mg tablets (Kent Pharma (UK) Ltd)
32407911000001107,Hydroxychloroquine 200mg tablets (Kent Pharma (UK) Ltd) 60 tablet
18109211000001104,Hydroxychloroquine 200mg tablets (Phoenix Healthcare Distribution Ltd)
18109311000001107,Hydroxychloroquine 200mg tablets (Phoenix Healthcare Distribution Ltd) 60 tablet
12567111000001103,Hydroxychloroquine 108mg/5ml oral solution (Special Order)
12567211000001109,Hydroxychloroquine 108mg/5ml oral solution (Special Order) 1 ml
8536911000001100,Hydroxychloroquine 150mg/5ml oral solution (Special Order)
8537011000001101,Hydroxychloroquine 150mg/5ml oral solution (Special Order) 1 ml
12567411000001108,Hydroxychloroquine 15mg/5ml oral solution (Special Order)
12567511000001107,Hydroxychloroquine 15mg/5ml oral solution (Special Order) 1 ml
12567711000001102,Hydroxychloroquine 160mg/5ml oral solution (Special Order)
12567811000001105,Hydroxychloroquine 160mg/5ml oral solution (Special Order) 1 ml
12568711000001101,Hydroxychloroquine 250mg/5ml oral solution (Special Order)
12568811000001109,Hydroxychloroquine 250mg/5ml oral solution (Special Order) 1 ml
8537811000001107,Hydroxychloroquine 35mg/5ml oral solution (Special Order)
8537911000001102,Hydroxychloroquine 35mg/5ml oral solution (Special Order) 1 ml
12570811000001100,Hydroxychloroquine 40mg/5ml oral solution (Special Order)
