SNOMEDCTCodes,Description
20839511000001103,Leflunomide 10mg tablets (Aspire Pharma Ltd)
20839711000001108,Leflunomide 10mg tablets (Aspire Pharma Ltd) 30 tablet
24116711000001101,Leflunomide 10mg tablets (Morningside Healthcare Ltd)
24116811000001109,Leflunomide 10mg tablets (Morningside Healthcare Ltd) 30 tablet
20914411000001104,Leflunomide 10mg tablets (Zentiva Pharma UK Ltd)
20914511000001100,Leflunomide 10mg tablets (Zentiva Pharma UK Ltd) 30 tablet
24376811000001107,Leflunomide 15mg tablets (medac UK)
24376911000001102,Leflunomide 15mg tablets (medac UK) 30 tablet
18757211000001108,Leflunomide 20mg tablets (A A H Pharmaceuticals Ltd)
18757311000001100,Leflunomide 20mg tablets (A A H Pharmaceuticals Ltd) 30 tablet
20839811000001100,Leflunomide 20mg tablets (Aspire Pharma Ltd)
20840011000001104,Leflunomide 20mg tablets (Aspire Pharma Ltd) 30 tablet
42287711000001106,Leflunomide 10mg tablets (Rivopharm (UK) Ltd)
42287811000001103,Leflunomide 10mg tablets (Rivopharm (UK) Ltd) 30 tablet 3 x 10 tablets
20290211000001108,Leflunomide 10mg tablets (Sandoz Ltd)
20290311000001100,Leflunomide 10mg tablets (Sandoz Ltd) 30 tablet
19783111000001102,Leflunomide 10mg tablets (Actavis UK Ltd)
19783311000001100,Leflunomide 10mg tablets (Actavis UK Ltd) 30 tablet
39012111000001106,Leflunomide 10mg tablets (Medihealth (Northern) Ltd)
39012211000001100,Leflunomide 10mg tablets (Medihealth (Northern) Ltd) 30 tablet
39508111000001109,Leflunomide 10mg tablets (Tillomed Laboratories Ltd)
39508211000001103,Leflunomide 10mg tablets (Tillomed Laboratories Ltd) 30 tablet
22063011000001107,Leflunomide 10mg tablets (Waymade Healthcare Plc)
22063111000001108,Leflunomide 10mg tablets (Waymade Healthcare Plc) 30 tablet
18172711000001109,Leflunomide 10mg tablets (medac UK)
18172811000001101,Leflunomide 10mg tablets (medac UK) 30 tablet
24775211000001101,Leflunomide 15mg tablets (Alliance Healthcare (Distribution) Ltd)
24775411000001102,Leflunomide 15mg tablets (Alliance Healthcare (Distribution) Ltd) 30 tablet
19783511000001106,Leflunomide 20mg tablets (Actavis UK Ltd)
19783611000001105,Leflunomide 20mg tablets (Actavis UK Ltd) 30 tablet
20290411000001107,Leflunomide 20mg tablets (Sandoz Ltd)
20290511000001106,Leflunomide 20mg tablets (Sandoz Ltd) 30 tablet
37574511000001107,Leflunomide 20mg tablets (Relonchem Ltd)
37574611000001106,Leflunomide 20mg tablets (Relonchem Ltd) 30 tablet
33592811000001104,Leflunomide 20mg tablets (Viatris UK Healthcare Ltd)
33592911000001109,Leflunomide 20mg tablets (Viatris UK Healthcare Ltd) 30 tablet
18812611000001101,Leflunomide 20mg tablets (Teva UK Ltd)
18812711000001105,Leflunomide 20mg tablets (Teva UK Ltd) 30 tablet
20914611000001101,Leflunomide 20mg tablets (Zentiva Pharma UK Ltd)
20914711000001105,Leflunomide 20mg tablets (Zentiva Pharma UK Ltd) 30 tablet
18342011000001101,Leflunomide 10mg tablets (Alliance Healthcare (Distribution) Ltd)
18342111000001100,Leflunomide 10mg tablets (Alliance Healthcare (Distribution) Ltd) 30 tablet
30219011000001109,Leflunomide 10mg tablets (Mawdsley-Brooks & Company Ltd)
30219111000001105,Leflunomide 10mg tablets (Mawdsley-Brooks & Company Ltd) 30 tablet
37574311000001101,Leflunomide 10mg tablets (Relonchem Ltd)
37574411000001108,Leflunomide 10mg tablets (Relonchem Ltd) 30 tablet
18810411000001100,Leflunomide 10mg tablets (Teva UK Ltd)
18812511000001100,Leflunomide 10mg tablets (Teva UK Ltd) 30 tablet
33592411000001101,Leflunomide 10mg tablets (Viatris UK Healthcare Ltd)
33592711000001107,Leflunomide 10mg tablets (Viatris UK Healthcare Ltd) 30 tablet
29884611000001109,Leflunomide 20mg tablets (Sigma Pharmaceuticals Plc)
29884711000001100,Leflunomide 20mg tablets (Sigma Pharmaceuticals Plc) 30 tablet
22063211000001102,Leflunomide 20mg tablets (Waymade Healthcare Plc)
22063411000001103,Leflunomide 20mg tablets (Waymade Healthcare Plc) 30 tablet
18172911000001106,Leflunomide 20mg tablets (medac UK)
18173011000001103,Leflunomide 20mg tablets (medac UK) 30 tablet
18756811000001107,Leflunomide 10mg tablets (A A H Pharmaceuticals Ltd)
18757111000001102,Leflunomide 10mg tablets (A A H Pharmaceuticals Ltd) 30 tablet
39508511000001100,Leflunomide 20mg tablets (Tillomed Laboratories Ltd)
39508611000001101,Leflunomide 20mg tablets (Tillomed Laboratories Ltd) 30 tablet
24363111000001104,Leflunomide 10mg tablets (DE Pharmaceuticals)
24363211000001105,Leflunomide 10mg tablets (DE Pharmaceuticals) 30 tablet
29884411000001106,Leflunomide 10mg tablets (Sigma Pharmaceuticals Plc)
29884511000001105,Leflunomide 10mg tablets (Sigma Pharmaceuticals Plc) 30 tablet
18342211000001106,Leflunomide 20mg tablets (Alliance Healthcare (Distribution) Ltd)
18342311000001103,Leflunomide 20mg tablets (Alliance Healthcare (Distribution) Ltd) 30 tablet
24363311000001102,Leflunomide 20mg tablets (DE Pharmaceuticals)
24363511000001108,Leflunomide 20mg tablets (DE Pharmaceuticals) 30 tablet
39012311000001108,Leflunomide 20mg tablets (Medihealth (Northern) Ltd)
39012411000001101,Leflunomide 20mg tablets (Medihealth (Northern) Ltd) 30 tablet
