SNOMEDCTCodes,Description
321908006,Isocarboxazid 10mg tablets
3752311000001104,Isocarboxazid 10mg tablets - A A H Pharmaceuticals Ltd
3752911000001103,Isocarboxazid 10mg tablets - Alliance Healthcare (Distribution) Ltd
3752711000001100,Isocarboxazid 10mg tablets - Alliance Pharmaceuticals Ltd
26376511000001103,Isocarboxazid 10mg tablets - Ennogen Healthcare Ltd
3752111000001101,Isocarboxazid 10mg tablets 56 tablet
3752411000001106,Isocarboxazid 10mg tablets 56 tablet - A A H Pharmaceuticals Ltd
3753011000001106,Isocarboxazid 10mg tablets 56 tablet - Alliance Healthcare (Distribution) Ltd
3752811000001108,Isocarboxazid 10mg tablets 56 tablet - Alliance Pharmaceuticals Ltd
26376611000001104,Isocarboxazid 10mg tablets 56 tablet - Ennogen Healthcare Ltd
12639611000001104,Isocarboxazid 20mg/5ml oral suspension
12610111000001106,Isocarboxazid 20mg/5ml oral suspension - Special Order
12610011000001105,Isocarboxazid 20mg/5ml oral suspension 1 ml
12610211000001100,Isocarboxazid 20mg/5ml oral suspension 1 ml - Special Order
37383611000001103,Manerix 150mg tablets - CST Pharma Ltd
5556211000001101,Manerix 150mg tablets - Dowelhurst Ltd
538111000001106,Manerix 150mg tablets - Mylan
17607311000001108,Manerix 150mg tablets - Necessity Supplies Ltd
14479911000001104,Manerix 150mg tablets - Sigma Pharmaceuticals Plc
5386611000001108,Manerix 150mg tablets - Waymade Healthcare Plc
5556711000001108,Manerix 150mg tablets 100 tablet - Dowelhurst Ltd
37383711000001107,Manerix 150mg tablets 30 tablet - CST Pharma Ltd
5556311000001109,Manerix 150mg tablets 30 tablet - Dowelhurst Ltd
2633811000001103,Manerix 150mg tablets 30 tablet - Mylan
17607411000001101,Manerix 150mg tablets 30 tablet - Necessity Supplies Ltd
14481111000001108,Manerix 150mg tablets 30 tablet - Sigma Pharmaceuticals Plc
5386711000001104,Manerix 150mg tablets 30 tablet - Waymade Healthcare Plc
37395711000001107,Manerix 300mg tablets - CST Pharma Ltd
5558211000001100,Manerix 300mg tablets - Dowelhurst Ltd
48311000001107,Manerix 300mg tablets - Mylan
17607511000001102,Manerix 300mg tablets - Necessity Supplies Ltd
5386911000001102,Manerix 300mg tablets - Waymade Healthcare Plc
37395811000001104,Manerix 300mg tablets 30 tablet - CST Pharma Ltd
5558411000001101,Manerix 300mg tablets 30 tablet - Dowelhurst Ltd
2635811000001104,Manerix 300mg tablets 30 tablet - Mylan
17607611000001103,Manerix 300mg tablets 30 tablet - Necessity Supplies Ltd
5387011000001103,Manerix 300mg tablets 30 tablet - Waymade Healthcare Plc
5558811000001104,Manerix 300mg tablets 60 tablet - Dowelhurst Ltd
321913005,Moclobemide 150mg tablets
409811000001107,Moclobemide 150mg tablets - A A H Pharmaceuticals Ltd
906511000001101,Moclobemide 150mg tablets - Alliance Healthcare (Distribution) Ltd
37687911000001108,Moclobemide 150mg tablets - CST Pharma Ltd
24401111000001108,Moclobemide 150mg tablets - DE Pharmaceuticals
5495411000001108,Moclobemide 150mg tablets - Dowelhurst Ltd
735511000001106,Moclobemide 150mg tablets - Kent Pharmaceuticals Ltd
30832211000001108,Moclobemide 150mg tablets - Mawdsley-Brooks & Company Ltd
4621911000001100,Moclobemide 150mg tablets - Mylan
129211000001100,Moclobemide 150mg tablets - Sandoz Ltd
15232911000001101,Moclobemide 150mg tablets - Sigma Pharmaceuticals Plc
823011000001104,Moclobemide 150mg tablets - Teva UK Ltd
13758911000001104,Moclobemide 150mg tablets - Tillomed Laboratories Ltd
10541811000001102,Moclobemide 150mg tablets - Waymade Healthcare Plc
21805611000001100,Moclobemide 150mg tablets - Waymade Healthcare Plc
5495311000001101,Moclobemide 150mg tablets 100 tablet
5495711000001102,Moclobemide 150mg tablets 100 tablet - Dowelhurst Ltd
1132611000001107,Moclobemide 150mg tablets 30 tablet
2631911000001107,Moclobemide 150mg tablets 30 tablet - A A H Pharmaceuticals Ltd
2634411000001102,Moclobemide 150mg tablets 30 tablet - Alliance Healthcare (Distribution) Ltd
37688111000001106,Moclobemide 150mg tablets 30 tablet - CST Pharma Ltd
24401211000001102,Moclobemide 150mg tablets 30 tablet - DE Pharmaceuticals
5495611000001106,Moclobemide 150mg tablets 30 tablet - Dowelhurst Ltd
2633211000001104,Moclobemide 150mg tablets 30 tablet - Kent Pharmaceuticals Ltd
30832311000001100,Moclobemide 150mg tablets 30 tablet - Mawdsley-Brooks & Company Ltd
4622211000001102,Moclobemide 150mg tablets 30 tablet - Mylan
2633411000001100,Moclobemide 150mg tablets 30 tablet - Sandoz Ltd
15233011000001109,Moclobemide 150mg tablets 30 tablet - Sigma Pharmaceuticals Plc
2632511000001108,Moclobemide 150mg tablets 30 tablet - Teva UK Ltd
13759111000001109,Moclobemide 150mg tablets 30 tablet - Tillomed Laboratories Ltd
10541911000001107,Moclobemide 150mg tablets 30 tablet - Waymade Healthcare Plc
21806011000001103,Moclobemide 150mg tablets 30 tablet - Waymade Healthcare Plc
13000111000001109,Moclobemide 150mg/5ml oral suspension
12981511000001106,Moclobemide 150mg/5ml oral suspension - Special Order
12981611000001105,Moclobemide 150mg/5ml oral suspension 1 ml - Special Order
321915003,Moclobemide 300mg tablets
898011000001104,Moclobemide 300mg tablets - A A H Pharmaceuticals Ltd
668311000001106,Moclobemide 300mg tablets - Alliance Healthcare (Distribution) Ltd
37707611000001106,Moclobemide 300mg tablets - CST Pharma Ltd
24401311000001105,Moclobemide 300mg tablets - DE Pharmaceuticals
5495911000001100,Moclobemide 300mg tablets - Dowelhurst Ltd
38961911000001105,Moclobemide 300mg tablets - Imported
502511000001108,Moclobemide 300mg tablets - Kent Pharmaceuticals Ltd
4936811000001104,Moclobemide 300mg tablets - Mylan
934511000001101,Moclobemide 300mg tablets - Sandoz Ltd
