SNOMEDCTCodes,Description
24381411000001107,Methotrexate 10mg tablets - DE Pharmaceuticals
24381511000001106,Methotrexate 10mg tablets 100 tablet - DE Pharmaceuticals
191111000001100,Methotrexate 10mg tablets - Pfizer Ltd
1945911000001108,Methotrexate 10mg tablets 100 tablet - Pfizer Ltd
22222111000001103,Methotrexate 10mg tablets - Teva UK Ltd
22222211000001109,Methotrexate 10mg tablets 100 tablet - Teva UK Ltd
11026611000001103,Methotrexate 10mg tablets - Wockhardt UK Ltd
11026711000001107,Methotrexate 10mg tablets 100 tablet - Wockhardt UK Ltd
383711000001107,Methotrexate 2.5mg tablets - Pfizer Ltd
1939811000001104,Methotrexate 2.5mg tablets 100 tablet - Pfizer Ltd
20310611000001100,Methotrexate 2.5mg tablets - Sandoz Ltd
34175211000001109,Methotrexate 2.5mg tablets 24 tablet - Sandoz Ltd
21014711000001106,Methotrexate 2.5mg tablets 28 tablet - Sandoz Ltd
20310711000001109,Methotrexate 2.5mg tablets 100 tablet - Sandoz Ltd
706911000001103,Methotrexate 2.5mg tablets - Alliance Healthcare (Distribution) Ltd
12058311000001107,Methotrexate 2.5mg tablets 24 tablet - Alliance Healthcare (Distribution) Ltd
2805311000001108,Methotrexate 2.5mg tablets 28 tablet - Alliance Healthcare (Distribution) Ltd
1940611000001105,Methotrexate 2.5mg tablets 100 tablet - Alliance Healthcare (Distribution) Ltd
34956611000001101,Methotrexate 2.5mg tablets - Almus Pharmaceuticals Ltd
34956711000001105,Methotrexate 2.5mg tablets 24 tablet - Almus Pharmaceuticals Ltd
14709211000001105,Methotrexate 2.5mg tablets - Sigma Pharmaceuticals Plc
14709511000001108,Methotrexate 2.5mg tablets 100 tablet - Sigma Pharmaceuticals Plc
11026411000001101,Methotrexate 2.5mg tablets - Wockhardt UK Ltd
11177111000001103,Methotrexate 2.5mg tablets 28 tablet - Wockhardt UK Ltd
11026511000001102,Methotrexate 2.5mg tablets 100 tablet - Wockhardt UK Ltd
12804011000001105,Methotrexate 750micrograms/5ml oral suspension - Special Order
12804111000001106,Methotrexate 750micrograms/5ml oral suspension 1 ml - Special Order
39876411000001106,Methotrexate 10mg tablets - Medihealth (Northern) Ltd
39876611000001109,Methotrexate 10mg tablets 100 tablet - Medihealth (Northern) Ltd
20310811000001101,Methotrexate 10mg tablets - Sandoz Ltd
20310911000001106,Methotrexate 10mg tablets 100 tablet - Sandoz Ltd
39041011000001109,Methotrexate 2.5mg tablets - Medihealth (Northern) Ltd
39041211000001104,Methotrexate 2.5mg tablets 24 tablet - Medihealth (Northern) Ltd
39041311000001107,Methotrexate 2.5mg tablets 28 tablet - Medihealth (Northern) Ltd
39041111000001105,Methotrexate 2.5mg tablets 100 tablet - Medihealth (Northern) Ltd
14962511000001107,Methotrexate 2.5mg tablets - Orion Pharma (UK) Ltd
29738611000001107,Methotrexate 2.5mg tablets 24 tablet - Orion Pharma (UK) Ltd
14962611000001106,Methotrexate 2.5mg tablets 24 tablet - Orion Pharma (UK) Ltd
14962811000001105,Methotrexate 2.5mg tablets 28 tablet - Orion Pharma (UK) Ltd
14963011000001108,Methotrexate 2.5mg tablets 100 tablet - Orion Pharma (UK) Ltd
8618111000001102,Methotrexate 10mg/5ml oral solution - Special Order
8618311000001100,Methotrexate 10mg/5ml oral solution 1 ml - Special Order
22249311000001107,Methotrexate 10mg/5ml oral solution 35 ml - Special Order
8619911000001107,Methotrexate 15mg/5ml oral solution - Special Order
8620011000001109,Methotrexate 15mg/5ml oral solution 1 ml - Special Order
12794611000001103,Methotrexate 17.5mg/5ml oral solution - Special Order
12794711000001107,Methotrexate 17.5mg/5ml oral solution 1 ml - Special Order
12798611000001108,Methotrexate 20mg/5ml oral solution - Special Order
12798711000001104,Methotrexate 20mg/5ml oral solution 1 ml - Special Order
12800911000001104,Methotrexate 25mg/5ml oral solution - Special Order
12801011000001107,Methotrexate 25mg/5ml oral solution 1 ml - Special Order
12800611000001105,Methotrexate 25mg/5ml oral suspension - Special Order
12800711000001101,Methotrexate 25mg/5ml oral suspension 1 ml - Special Order
12802611000001106,Methotrexate 50mg/5ml oral suspension - Special Order
12802811000001105,Methotrexate 50mg/5ml oral suspension 1 ml - Special Order
12803611000001101,Methotrexate 6mg/5ml oral solution - Special Order
12803711000001105,Methotrexate 6mg/5ml oral solution 1 ml - Special Order
3614611000001101,Methotrexate 5mg/2ml solution for injection vials - Pfizer Ltd
3614711000001105,Methotrexate 5mg/2ml solution for injection vials 5 vial - Pfizer Ltd
3613311000001109,Methotrexate 50mg/2ml solution for injection vials - Alliance Healthcare (Distribution) Ltd
3613711000001108,Methotrexate 50mg/2ml solution for injection vials 1 vial - Alliance Healthcare (Distribution) Ltd
3615111000001108,Methotrexate 50mg/2ml solution for injection vials 5 vial - Alliance Healthcare (Distribution) Ltd
3623211000001105,Methotrexate 500mg/20ml solution for injection vials - Alliance Healthcare (Distribution) Ltd
3623311000001102,Methotrexate 500mg/20ml solution for injection vials 1 vial - Alliance Healthcare (Distribution) Ltd
30985211000001103,Methotrexate 2mg/ml oral solution sugar free - Alliance Healthcare (Distribution) Ltd
30985311000001106,Methotrexate 2mg/ml oral solution sugar free 35 ml - Alliance Healthcare (Distribution) Ltd
30985411000001104,Methotrexate 2mg/ml oral solution sugar free 65 ml - Alliance Healthcare (Distribution) Ltd
3619211000001104,Methotrexate 1g/10ml solution for injection vials - Pfizer Ltd
3619411000001100,Methotrexate 1g/10ml solution for injection vials 1 vial - Pfizer Ltd
24136011000001106,Methotrexate 2.5mg tablets - Morningside Healthcare Ltd
24136311000001109,Methotrexate 2.5mg tablets 24 tablet - Morningside Healthcare Ltd
24136111000001107,Methotrexate 2.5mg tablets 100 tablet - Morningside Healthcare Ltd
37273211000001103,Methotrexate 2.5mg tablets - Mawdsley-Brooks & Company Ltd
37273311000001106,Methotrexate 2.5mg tablets 24 tablet - Mawdsley-Brooks & Company Ltd
167911000001107,Methotrexate 2.5mg tablets - Kent Pharma (UK) Ltd
1940011000001103,Methotrexate 2.5mg tablets 28 tablet - Kent Pharma (UK) Ltd
24381611000001105,Methotrexate 2.5mg tablets - DE Pharmaceuticals
24381711000001101,Methotrexate 2.5mg tablets 24 tablet - DE Pharmaceuticals
24381811000001109,Methotrexate 2.5mg tablets 28 tablet - DE Pharmaceuticals
24381911000001104,Methotrexate 2.5mg tablets 100 tablet - DE Pharmaceuticals
683611000001105,Methotrexate 2.5mg tablets - Advanz Pharma
12241311000001109,Methotrexate 2.5mg tablets 24 tablet - Advanz Pharma
1941011000001107,Methotrexate 2.5mg tablets 28 tablet - Advanz Pharma
201811000001107,Methotrexate 2.5mg tablets - A A H Pharmaceuticals Ltd
11925911000001109,Methotrexate 2.5mg tablets 24 tablet - A A H Pharmaceuticals Ltd
1939411000001101,Methotrexate 2.5mg tablets 28 tablet - A A H Pharmaceuticals Ltd
1939611000001103,Methotrexate 2.5mg tablets 100 tablet - A A H Pharmaceuticals Ltd
38743711000001106,Methotrexate 2.5mg tablets 100 tablet - A A H Pharmaceuticals Ltd
21796511000001106,Methotrexate 10mg tablets - Waymade Healthcare Plc
21796611000001105,Methotrexate 10mg tablets 100 tablet - Waymade Healthcare Plc
15109411000001107,Methotrexate 10mg tablets - Sigma Pharmaceuticals Plc
15109811000001109,Methotrexate 10mg tablets 100 tablet - Sigma Pharmaceuticals Plc
24135711000001100,Methotrexate 10mg tablets - Morningside Healthcare Ltd
24135811000001108,Methotrexate 10mg tablets 100 tablet - Morningside Healthcare Ltd
928011000001103,Methotrexate 10mg tablets - A A H Pharmaceuticals Ltd
21678911000001102,Methotrexate 10mg tablets 30 tablet - A A H Pharmaceuticals Ltd
1945611000001102,Methotrexate 10mg tablets 100 tablet - A A H Pharmaceuticals Ltd
37923211000001100,Methotrexate 80mg/3.2ml solution for injection pre-filled syringes - Special Order
37923311000001108,Methotrexate 80mg/3.2ml solution for injection pre-filled syringes 1 pre-filled disposable injection - Special Order
3612511000001105,Methotrexate 5mg/2ml solution for injection vials - A A H Pharmaceuticals Ltd
3613811000001100,Methotrexate 5mg/2ml solution for injection vials 5 vial - A A H Pharmaceuticals Ltd
9456611000001100,Methotrexate 7.5mg/0.3ml solution for injection pre-filled syringes - Special Order
9456711000001109,Methotrexate 7.5mg/0.3ml solution for injection pre-filled syringes 1 pre-filled disposable injection - Special Order
21298411000001103,Methotrexate 7.5mg/0.3ml solution for injection pre-filled syringes 10 pre-filled disposable injection - Special Order
12806611000001107,Methotrexate 8mg/5ml oral solution - Special Order
12806711000001103,Methotrexate 8mg/5ml oral solution 1 ml - Special Order
12806311000001102,Methotrexate 8mg/5ml oral suspension - Special Order
12806411000001109,Methotrexate 8mg/5ml oral suspension 1 ml - Special Order
136411000001105,Methotrexate 10mg tablets - Alliance Healthcare (Distribution) Ltd
1946411000001109,Methotrexate 10mg tablets 100 tablet - Alliance Healthcare (Distribution) Ltd
14963911000001107,Methotrexate 10mg tablets - Orion Pharma (UK) Ltd
14964011000001105,Methotrexate 10mg tablets 100 tablet - Orion Pharma (UK) Ltd
29918911000001101,Methotrexate 2.5mg tablets - Sigma Pharmaceuticals Plc
29919011000001105,Methotrexate 2.5mg tablets 28 tablet - Sigma Pharmaceuticals Plc
22222311000001101,Methotrexate 2.5mg tablets - Teva UK Ltd
22222411000001108,Methotrexate 2.5mg tablets 24 tablet - Teva UK Ltd
21796211000001108,Methotrexate 2.5mg tablets - Waymade Healthcare Plc
21796311000001100,Methotrexate 2.5mg tablets 28 tablet - Waymade Healthcare Plc
21796411000001107,Methotrexate 2.5mg tablets 100 tablet - Waymade Healthcare Plc
14946711000001105,Methotrexate 2.5mg tablets - Waymade Healthcare Plc
14946811000001102,Methotrexate 2.5mg tablets 100 tablet - Waymade Healthcare Plc
27951711000001108,Methotrexate 1g/40ml solution for injection vials - Accord Healthcare Ltd
27951911000001105,Methotrexate 1g/40ml solution for injection vials 1 vial - Accord Healthcare Ltd
3625011000001104,Methotrexate 1g/40ml solution for injection vials - Advanz Pharma
3625111000001103,Methotrexate 1g/40ml solution for injection vials 1 vial - Advanz Pharma
30595111000001100,Methotrexate 2mg/ml oral solution sugar free - Rosemont Pharmaceuticals Ltd
30596711000001107,Methotrexate 2mg/ml oral solution sugar free 35 ml - Rosemont Pharmaceuticals Ltd
30596411000001101,Methotrexate 2mg/ml oral solution sugar free 65 ml - Rosemont Pharmaceuticals Ltd
3612811000001108,Methotrexate 50mg/2ml solution for injection vials - Pfizer Ltd
3613211000001101,Methotrexate 50mg/2ml solution for injection vials 5 vial - Pfizer Ltd
3620611000001103,Methotrexate 5g/200ml solution for infusion vials - A A H Pharmaceuticals Ltd
3620711000001107,Methotrexate 5g/200ml solution for infusion vials 1 vial - A A H Pharmaceuticals Ltd
3620811000001104,Methotrexate 5g/200ml solution for infusion vials - Alliance Healthcare (Distribution) Ltd
3620911000001109,Methotrexate 5g/200ml solution for infusion vials 1 vial - Alliance Healthcare (Distribution) Ltd
3615811000001101,Methotrexate 5g/50ml solution for infusion vials - A A H Pharmaceuticals Ltd
3616111000001102,Methotrexate 5g/50ml solution for infusion vials 1 vial - A A H Pharmaceuticals Ltd
3616911000001104,Methotrexate 5g/50ml solution for infusion vials - Alliance Healthcare (Distribution) Ltd
3617311000001102,Methotrexate 5g/50ml solution for infusion vials 1 vial - Alliance Healthcare (Distribution) Ltd
8618811000001109,Methotrexate 10mg/5ml oral suspension - Special Order
8619011000001108,Methotrexate 10mg/5ml oral suspension 1 ml - Special Order
22249511000001101,Methotrexate 10mg/5ml oral suspension 20 ml - Special Order
21300611000001106,Methotrexate 10mg/5ml oral suspension 30 ml - Special Order
8619311000001106,Methotrexate 12.5mg/5ml oral solution - Special Order
8619411000001104,Methotrexate 12.5mg/5ml oral solution 1 ml - Special Order
12793711000001105,Methotrexate 12mg/5ml oral suspension - Special Order
12793811000001102,Methotrexate 12mg/5ml oral suspension 1 ml - Special Order
11091011000001108,Methotrexate 1g/40ml solution for injection vials - Teva UK Ltd
11091111000001109,Methotrexate 1g/40ml solution for injection vials 1 vial - Teva UK Ltd
12796111000001104,Methotrexate 18mg/5ml oral solution - Special Order
12796211000001105,Methotrexate 18mg/5ml oral solution 1 ml - Special Order
8622711000001105,Methotrexate 2.5mg/5ml oral solution - Special Order
