ProdCodeId,Description
10645841000033119,methotrexate 2mg/ml oral solution sugar free
11032541000033114,methotrexate 7.5mg/0.3ml solution for injection pre-filled syringes
11032641000033110,methotrexate 10mg/0.4ml solution for injection pre-filled syringes
11032741000033118,methotrexate 22.5mg/0.9ml solution for injection pre-filled syringes
11032841000033111,zlatal 7.5mg/0.3ml solution for injection pre-filled syringes (nordic pharma ltd)
11032941000033115,zlatal 10mg/0.4ml solution for injection pre-filled syringes (nordic pharma ltd)
11033041000033113,zlatal 12.5mg/0.5ml solution for injection pre-filled syringes (nordic pharma ltd)
11033141000033112,zlatal 15mg/0.6ml solution for injection pre-filled syringes (nordic pharma ltd)
11033241000033117,zlatal 17.5mg/0.7ml solution for injection pre-filled syringes (nordic pharma ltd)
11033341000033110,zlatal 20mg/0.8ml solution for injection pre-filled syringes (nordic pharma ltd)
11033441000033116,zlatal 22.5mg/0.9ml solution for injection pre-filled syringes (nordic pharma ltd)
11033541000033115,zlatal 25mg/1ml solution for injection pre-filled syringes (nordic pharma ltd)
12189841000033119,methotrexate 10mg/0.4ml solution for injection pre-filled disposable devices
12189941000033110,methotrexate 12.5mg/0.5ml solution for injection pre-filled disposable devices
12190141000033118,methotrexate 15mg/0.6ml solution for injection pre-filled disposable devices
12190241000033113,methotrexate 17.5mg/0.7ml solution for injection pre-filled disposable devices
12190341000033115,methotrexate 20mg/0.8ml solution for injection pre-filled disposable devices
12190441000033114,methotrexate 22.5mg/0.9ml solution for injection pre-filled disposable devices
12190541000033110,methotrexate 25mg/1ml solution for injection pre-filled disposable devices
12190641000033111,methotrexate 7.5mg/0.3ml solution for injection pre-filled disposable devices
12190741000033119,nordimet 10mg/0.4ml solution for injection pre-filled pens (nordic pharma ltd)
12190841000033112,nordimet 12.5mg/0.5ml solution for injection pre-filled pens (nordic pharma ltd)
12190941000033116,nordimet 15mg/0.6ml solution for injection pre-filled pens (nordic pharma ltd)
12191041000033114,nordimet 17.5mg/0.7ml solution for injection pre-filled pens (nordic pharma ltd)
12191141000033113,nordimet 20mg/0.8ml solution for injection pre-filled pens (nordic pharma ltd)
12191241000033118,nordimet 22.5mg/0.9ml solution for injection pre-filled pens (nordic pharma ltd)
12191341000033111,nordimet 25mg/1ml solution for injection pre-filled pens (nordic pharma ltd)
12191441000033117,nordimet 7.5mg/0.3ml solution for injection pre-filled pens (nordic pharma ltd)
12396841000033119,methofill 10mg/0.2ml solution for injection pre-filled injector (accord healthcare ltd)
12396941000033110,methofill 12.5mg/0.25ml solution for injection pre-filled injector (accord healthcare ltd)
12397041000033111,methofill 15mg/0.3ml solution for injection pre-filled injector (accord healthcare ltd)
12397141000033110,methofill 17.5mg/0.35ml solution for injection pre-filled injector (accord healthcare ltd)
12397241000033115,methofill 20mg/0.4ml solution for injection pre-filled injector (accord healthcare ltd)
12397341000033113,methofill 22.5mg/0.45ml solution for injection pre-filled injector (accord healthcare ltd)
12397441000033119,methofill 25mg/0.5ml solution for injection pre-filled injector (accord healthcare ltd)
12397541000033118,methofill 27.5mg/0.55ml solution for injection pre-filled injector (accord healthcare ltd)
12397641000033117,methofill 30mg/0.6ml solution for injection pre-filled injector (accord healthcare ltd)
12397741000033114,methofill 7.5mg/0.15ml solution for injection pre-filled injector (accord healthcare ltd)
12422441000033115,jylamvo 2mg/ml oral solution (intrapharm laboratories ltd)
13150141000033115,methofill 7.5mg/0.15ml solution for injection pre-filled syringes (accord healthcare ltd)
13150241000033110,methofill 10mg/0.2ml solution for injection pre-filled syringes (accord healthcare ltd)
13150341000033117,methofill 12.5mg/0.25ml solution for injection pre-filled syringes (accord healthcare ltd)
13150441000033111,methofill 15mg/0.3ml solution for injection pre-filled syringes (accord healthcare ltd)
13150541000033112,methofill 17.5mg/0.35ml solution for injection pre-filled syringes (accord healthcare ltd)
13150641000033113,methofill 20mg/0.4ml solution for injection pre-filled syringes (accord healthcare ltd)
13150741000033116,methofill 22.5mg/0.45ml solution for injection pre-filled syringes (accord healthcare ltd)
13150841000033114,methofill 25mg/0.5ml solution for injection pre-filled syringes (accord healthcare ltd)
13150941000033118,methofill 27.5mg/0.55ml solution for injection pre-filled syringes (accord healthcare ltd)
13151041000033111,methofill 30mg/0.6ml solution for injection pre-filled syringes (accord healthcare ltd)
2056141000033119,methotrexate 1g/10ml solution for injection vials
2056241000033114,methotrexate 5g/50ml solution for infusion vials
2668441000033113,methotrexate 2.5mg/5ml oral suspension
2873641000033115,methotrexate 15mg/5ml oral solution
2924041000033115,methotrexate 10mg/5ml oral solution
3835441000033114,methotrexate 25mg/1ml solution for injection pre-filled syringes
3836441000033117,methotrexate 10mg/5ml oral suspension
3836541000033116,methotrexate 15mg/5ml oral suspension
3868841000033111,methotrexate 7.5mg/5ml oral suspension
3869641000033118,methotrexate 7.5mg/0.75ml solution for injection pre-filled syringes
3869741000033110,methotrexate 10mg/1ml solution for injection pre-filled syringes
3869841000033117,methotrexate 15mg/1.5ml solution for injection pre-filled syringes
3869941000033113,methotrexate 20mg/2ml solution for injection pre-filled syringes
3870041000033114,methotrexate 25mg/2.5ml solution for injection pre-filled syringes
3870141000033113,metoject 7.5mg/0.75ml solution for injection pre-filled syringes (medac uk)
3870241000033118,metoject 10mg/1ml solution for injection pre-filled syringes (medac uk)
3870341000033111,metoject 15mg/1.5ml solution for injection pre-filled syringes (medac uk)
