CTV3Codes,Description
XE1S1,Combined oral contraceptive - use
x002N,COC - Combined oral contraceptives
g84..,Lynoestrenol
g8A2.,Ethinylestradiol+drospirenone 30micrograms/3mg tablet
g8A1.,Yasmin tablet
x004G,Ethinylestradiol 20mcg+progestogen
g88z.,Ethinylestradiol+gestodene 20micrograms/75micrograms tablet
g888.,Femodette tablet
g88A.,SUNYA 20/75 tablets
g813.,Ethinylestradiol+desogestrel 20micrograms/150micrograms tablet
g812.,Mercilon tablet
g877.,Ethinylestradiol+norethisterone acetate 20micrograms/1mg tablet
g873.,Loestrin 20 tablet
x004H,Ethinylestradiol 30mcg+progestogen
g811.,Marvelon tablet
g822.,Ethinyloestradiol+ethynodiol diacetate 30micrograms/2mg tablet
g821.,Conova 30 tablet
g886.,Ethinylestradiol+gestodene 30micrograms/75micrograms tablet
g882.,Femodene tablet
g889.,KATYA 30/75 tablets
g881.,Minulet tablet
g887.,Ethinylestradiol+gestodene+placebo 30micrograms/75micrograms tablet
g883.,Femodene ED tablet
g83A.,Ethinylestradiol+levonorgestrel 30micrograms/150micrograms tablet
g834.,Microgynon 30 tablet
g83D.,Microgynon 30 ED tablet
g837.,Ovranette tablet
g83B.,Ethinylestradiol+levonorgestrel 30micrograms/250micrograms tablet
g831.,Eugynon 30 tablet
g836.,Ovran 30 tablet
g878.,Ethinylestradiol+norethisterone acetate 30micrograms/1.5mg tablet
g874.,Loestrin 30 tablet
x004I,Ethinylestradiol 35mcg+progestogen
g869.,Ethinylestradiol+norethisterone 35micrograms/500micrograms tablet
g862.,Brevinor tablet
g865.,Ovysmen tablet
g86A.,Ethinylestradiol+norethisterone 35micrograms/1mg tablet
g863.,Neocon 1/35 tablet
g864.,Norimin tablet
g892.,Ethinylestradiol+norgestimate 35micrograms/250micrograms tablet
g891.,Cilest tablet
x004J,Ethinylestradiol 50mcg+progestogen
g83C.,Ethinyloestradiol+levonorgestrel 50micrograms/250micrograms tablet
g851.,Eugynon-50 tablet
g835.,Ovran tablet
g838.,Schering PC4 tablet
g871.,Anovlar-21 tablet
g872.,Gynovalr-21 tablet
g841.,Minilyn tablet
g876.,Minovlar-ED tablet
g875.,Minovlar tablet
g913.,Mestranol+norethisterone 50micrograms/1mg tablet
g911.,Norinyl-1 tablet
g912.,Ortho-Novin 1/50 tablet
x01MH,Phased oral contraceptive
x009K,Phased cocs -ethinylestradiol+gestodene
g885.,Triadene tablet
g884.,Tri-Minulet tablet
x009M,Phased cocs- ethinylestradiol+levonorgestrel
g832.,Logynon tablet
g833.,Logynon ED tablet
g839.,Trinordiol tablet
x009L,Phased cocs -ethinylestradiol+norethisterone-(biphasic)
g861.,Binovum tablet
g866.,Synphase tablet
g867.,Trinovum tablet
g868.,Trinovum ED tablet
g8...,Combined oral contraceptive - ethinyloestradiol
g815.,GEDAREL 30micrograms/150micrograms tablets
g816.,GEDAREL 20micrograms/150micrograms tablets
g817.,CIMIZT 30micrograms/150micrograms tablets
g818.,LESTRAMYL 20micrograms/150micrograms tablets
g819.,LESTRAMYL 30micrograms/150micrograms tablets
g81A.,ALENVONA 30micrograms/150micrograms tablets
g81B.,ALENINI 20micrograms/150micrograms tablets
g81C.,BIMIZZA 20micrograms/150micrograms tablets
g82..,Etynodiol diacetate [combined oral contraceptive]
g83E.,LEVEST tablets
g83F.,TRIREGOL tablets
g83G.,RIGEVIDON tablets
g83H.,ELEVIN tablets
g83I.,MAEXENI tablets
g83J.,ERLIBELLE tablets
g88B.,MILLINETTE 20micrograms/75micrograms tablets
g88C.,MILLINETTE 30micrograms/75micrograms tablets
g88D.,JULIPERLA 20micrograms/75micrograms tablets
g88E.,SOFIPERLA 30micrograms/75micrograms tablets
g893.,LIZINNA tablets
g8A3.,YAZ tablets
g8A4.,ETHINYLESTRADIOL+DROSPIRENONE 20micrograms/3mg tablets
g8A5.,LUCETTE tablets
g8A6.,ACONDRO 30micrograms/3mg tablets
g8A7.,CLEOSENSA 30micrograms/3mg tablets
g8A8.,ELOINE tablets
g8A9.,YACELLA 0.03mg/3mg tablets
gl...,COMBINED ORAL CONTRACEPTIVE - ESTRADIOL
gl11.,ZOELY 2.5mg/1.5mg tablets
gl12.,NOMEGESTROL ACETATE+ESTRADIOL 2.5mg/1.5mg tablets
g9...,Mestranol [combined oral contraceptive]
gk11.,QLAIRA tablets
gj1..,COMBINED CONTRACEPTIVE IMPLANT
gj11.,NUVARING 120mcg/15mcg/24 hours vaginal delivery system
gk...,COMBINED ORAL CONTRACEPTIVE - ESTRADIOL VALERATE
