SNOMEDCTCodes,Description
24677911000001107,"Munalea 150microgram/30microgram tablets - Lupin Healthcare (UK) Ltd
"
24678011000001109,"Munalea 150microgram/30microgram tablets 63 tablet - Lupin Healthcare (UK) Ltd
"
28006411000001100,"Alenini 150microgram/20microgram tablets - Actavis UK Ltd
"
28006511000001101,"Alenini 150microgram/20microgram tablets 63 tablet - Actavis UK Ltd
"
17348811000001102,"Gedarel 30microgram/150microgram tablets - Consilient Health Ltd
"
17349111000001102,"Gedarel 30microgram/150microgram tablets 63 tablet - Consilient Health Ltd
"
18591611000001105,"Marvelon tablets - DE Pharmaceuticals
"
18591711000001101,"Marvelon tablets 63 tablet - DE Pharmaceuticals
"
208311000001105,"Mercilon 150microgram/20microgram tablets - Organon Pharma (UK) Ltd
"
2619611000001105,"Mercilon 150microgram/20microgram tablets 63 tablet - Organon Pharma (UK) Ltd
"
22214911000001101,"Mercilon 150microgram/20microgram tablets - Waymade Healthcare Plc
"
22215011000001101,"Mercilon 150microgram/20microgram tablets 63 tablet - Waymade Healthcare Plc
"
24678111000001105,"Munalea 150microgram/20microgram tablets - Lupin Healthcare (UK) Ltd
"
24678311000001107,"Munalea 150microgram/20microgram tablets 63 tablet - Lupin Healthcare (UK) Ltd
"
21930311000001102,"Lestramyl 30microgram/150microgram tablets - Mylan
"
21930411000001109,"Lestramyl 30microgram/150microgram tablets 63 tablet - Mylan
"
18062611000001103,"Marvelon tablets - Lexon (UK) Ltd
"
18062711000001107,"Marvelon tablets 63 tablet - Lexon (UK) Ltd
"
5386411000001105,"Marvelon tablets - Waymade Healthcare Plc
"
5386511000001109,"Marvelon tablets 63 tablet - Waymade Healthcare Plc
"
21933611000001103,"Lestramyl 20microgram/150microgram tablets - Mylan
"
21933811000001104,"Lestramyl 20microgram/150microgram tablets 63 tablet - Mylan
"
10493611000001103,"Marvelon tablets - Dowelhurst Ltd
"
10493711000001107,"Marvelon tablets 63 tablet - Dowelhurst Ltd
"
29910811000001108,"Bimizza 150microgram/20microgram tablets - Morningside Healthcare Ltd
"
29911111000001107,"Bimizza 150microgram/20microgram tablets 63 tablet - Morningside Healthcare Ltd
"
17346911000001108,"Gedarel 20microgram/150microgram tablets - Consilient Health Ltd
"
17347011000001107,"Gedarel 20microgram/150microgram tablets 63 tablet - Consilient Health Ltd
"
13930711000001105,"Mercilon 150microgram/20microgram tablets - DE Pharmaceuticals
"
13930811000001102,"Mercilon 150microgram/20microgram tablets 63 tablet - DE Pharmaceuticals
"
37542811000001100,"Mercilon 150microgram/20microgram tablets - Mawdsley-Brooks & Company Ltd
"
37542911000001105,"Mercilon 150microgram/20microgram tablets 63 tablet - Mawdsley-Brooks & Company Ltd
"
24684111000001107,"Alenvona 150microgram/30microgram tablets - Teva UK Ltd
"
24684211000001101,"Alenvona 150microgram/30microgram tablets 63 tablet - Teva UK Ltd
"
21730911000001106,"Cimizt 30microgram/150microgram tablets - Morningside Healthcare Ltd
"
21731311000001100,"Cimizt 30microgram/150microgram tablets 63 tablet - Morningside Healthcare Ltd
"
16553211000001105,"Marvelon tablets - Mawdsley-Brooks & Company Ltd
"
16553311000001102,"Marvelon tablets 63 tablet - Mawdsley-Brooks & Company Ltd
"
524211000001108,"Marvelon tablets - Organon Pharma (UK) Ltd
"
2620511000001105,"Marvelon tablets 63 tablet - Organon Pharma (UK) Ltd
"
17569411000001101,"Marvelon tablets - Sigma Pharmaceuticals Plc
"
17569511000001102,"Marvelon tablets 63 tablet - Sigma Pharmaceuticals Plc
"
326310001,"Ethinylestradiol 30microgram / Desogestrel 150microgram tablets
"
1015611000001103,"Ethinylestradiol 30microgram / Desogestrel 150microgram tablets 63 tablet
"
326309006,"Ethinylestradiol 20microgram / Desogestrel 150microgram tablets
"
1235811000001101,"Ethinylestradiol 20microgram / Desogestrel 150microgram tablets 63 tablet
"
3352511000001109,"Estradiol valerate 1mg / Levonorgestrel 250microgram tablets - Mylan
"
3352611000001108,"Estradiol valerate 1mg / Levonorgestrel 250microgram tablets 10 tablet - Mylan
"
7113611000001106,"Estradiol valerate 2mg / Levonorgestrel 75microgram tablets - Dowelhurst Ltd
"
7114211000001107,"Estradiol valerate 2mg / Levonorgestrel 75microgram tablets 36 tablet - Dowelhurst Ltd
"
4522911000001100,"Estradiol valerate 2mg / Levonorgestrel 75microgram tablets - Merck Serono Ltd
"
4523011000001109,"Estradiol valerate 2mg / Levonorgestrel 75microgram tablets 36 tablet - Merck Serono Ltd
"
17443911000001107,"Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets - Consilient Health Ltd
"
17562311000001100,"Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets 30 tablet - Consilient Health Ltd
"
17444011000001105,"Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets 10 tablet - Consilient Health Ltd
"
24593011000001100,"Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets - Waymade Healthcare Plc
"
24593111000001104,"Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets 30 tablet - Waymade Healthcare Plc
"
17443411000001104,"Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets - Consilient Health Ltd
"
17562511000001106,"Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets 15 tablet - Consilient Health Ltd
"
17443511000001100,"Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets 5 tablet - Consilient Health Ltd
"
24592511000001101,"Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets - Waymade Healthcare Plc
"
24592611000001102,"Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets 18 tablet - Waymade Healthcare Plc
"
3206011000001103,"Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets - Bayer Plc
"
3206211000001108,"Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets 18 tablet - Bayer Plc
"
17442911000001100,"Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets - Consilient Health Ltd
"
17562411000001107,"Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets 18 tablet - Consilient Health Ltd
"
17443011000001108,"Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets 6 tablet - Consilient Health Ltd
"
24592711000001106,"Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets - Waymade Healthcare Plc
"
24592811000001103,"Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets 15 tablet - Waymade Healthcare Plc
"
3197811000001106,"Estradiol valerate 2mg / Levonorgestrel 75microgram tablets - Bayer Plc
"
3198111000001103,"Estradiol valerate 2mg / Levonorgestrel 75microgram tablets 36 tablet - Bayer Plc
"
3410711000001102,"Estradiol valerate 1mg / Levonorgestrel 250microgram tablets
"
3352311000001103,"Estradiol valerate 1mg / Levonorgestrel 250microgram tablets 10 tablet
"
3408011000001100,"Estradiol valerate 2mg / Levonorgestrel 75microgram tablets
"
3197311000001102,"Estradiol valerate 2mg / Levonorgestrel 75microgram tablets 36 tablet
"
14610711000001101,"Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets
"
400585003,"Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets
"
3210211000001108,"Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets 30 tablet
"
17443611000001101,"Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets 10 tablet
"
14610611000001105,"Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets
"
400824006,"Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets
"
3208511000001107,"Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets 15 tablet
"
17443111000001109,"Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets 5 tablet
"
14610511000001106,"Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets
"
400613007,"Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets
"
3205511000001104,"Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets 18 tablet
"
17442811000001105,"Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets 6 tablet
"
3210711000001101,"Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets - Bayer Plc
"
3210811000001109,"Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets 30 tablet - Bayer Plc
"
3211211000001102,"Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets - Pfizer Ltd
"
3211511000001104,"Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets 30 tablet - Pfizer Ltd
"
3207011000001100,"Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets - Pfizer Ltd
"
3207511000001108,"Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets 18 tablet - Pfizer Ltd
"
3209111000001105,"Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets - Bayer Plc
"
3209411000001100,"Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets 15 tablet - Bayer Plc
"
3209711000001106,"Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets - Pfizer Ltd
"
3209911000001108,"Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets 15 tablet - Pfizer Ltd
"
24684511000001103,"Erlibelle 30microgram/150microgram tablets - Actavis UK Ltd
"
24684611000001104,"Erlibelle 30microgram/150microgram tablets 63 tablet - Actavis UK Ltd
"
34104511000001102,"Leandra 30microgram/150microgram tablets - Genesis Pharmaceuticals Ltd
"
34104611000001103,"Leandra 30microgram/150microgram tablets 63 tablet - Genesis Pharmaceuticals Ltd
"
4547311000001103,"Ovran tablets - Wyeth Pharmaceuticals
"
4547411000001105,"Ovran tablets 21 tablet - Wyeth Pharmaceuticals
"
326324002,"Ethinylestradiol 30microgram / Levonorgestrel 150microgram tablets
"
961711000001104,"Ethinylestradiol 30microgram / Levonorgestrel 150microgram tablets 63 tablet
"
1010411000001108,"Ethinylestradiol 30microgram / Levonorgestrel 150microgram tablets 21 tablet
"
4546411000001108,"Levonorgestrel 250microgram / Ethinylestradiol 50microgram tablets 4 tablet
"
4546511000001107,"Levonorgestrel 250microgram / Ethinylestradiol 50microgram tablets 21 tablet
"
492611000001103,"Ovranette 150microgram/30microgram tablets - Pfizer Ltd
"
1974811000001100,"Ovranette 150microgram/30microgram tablets 63 tablet - Pfizer Ltd
"
17346711000001106,"Rigevidon tablets - Consilient Health Ltd
"
17346811000001103,"Rigevidon tablets 63 tablet - Consilient Health Ltd
"
769711000001106,"Eugynon 30 tablets - Schering Health Care Ltd
"
1969911000001103,"Eugynon 30 tablets 63 tablet - Schering Health Care Ltd
"
4546611000001106,"Eugynon 50 tablets - Schering Health Care Ltd
"
4547011000001101,"Eugynon 50 tablets 21 tablet - Schering Health Care Ltd
"
17505311000001105,"FemSeven Sequi Phase 2 patches - Mawdsley-Brooks & Company Ltd
"
17505411000001103,"FemSeven Sequi Phase 2 patches 2 patch - Mawdsley-Brooks & Company Ltd
"
3207611000001107,"Nuvelle TS Phase II patches - Bayer Plc
"
3207811000001106,"Nuvelle TS Phase II patches 4 patch - Bayer Plc
"
38738111000001100,"Ambelina 150microgram/30microgram tablets - Crescent Pharma Ltd
"
17220611000001108,"Levest 150/30 tablets - Actavis UK Ltd
"
38738411000001105,"Ambelina 150microgram/30microgram tablets 63 tablet - Crescent Pharma Ltd
"
17220711000001104,"Levest 150/30 tablets 63 tablet - Actavis UK Ltd
"
326325001,"Levonorgestrel 250microgram / Ethinylestradiol 30microgram tablets
"
1227411000001107,"Levonorgestrel 250microgram / Ethinylestradiol 30microgram tablets 63 tablet
"
326326000,"Levonorgestrel 250microgram / Ethinylestradiol 50microgram tablets
"
4725711000001100,"Estradiol 50micrograms/24hours / Levonorgestrel 10micrograms/24hours transdermal patches
"
4709811000001107,"Estradiol 50micrograms/24hours / Levonorgestrel 10micrograms/24hours transdermal patches 2 patch
"
4709911000001102,"Estradiol 50micrograms/24hours / Levonorgestrel 10micrograms/24hours transdermal patches 6 patch
"
3406511000001107,"Estradiol 50micrograms/24hours / Levonorgestrel 20micrograms/24hours transdermal patches
"
3207211000001105,"Estradiol 50micrograms/24hours / Levonorgestrel 20micrograms/24hours transdermal patches 4 patch
"
42111000001107,"Microgynon 30 tablets - Bayer Plc
"
18221211000001106,"Microgynon 30 tablets - Mawdsley-Brooks & Company Ltd
"
3050411000001108,"Microgynon 30 tablets 63 tablet - Bayer Plc
"
1974011000001106,"Microgynon 30 tablets 21 tablet - Bayer Plc
"
18221311000001103,"Microgynon 30 tablets 63 tablet - Mawdsley-Brooks & Company Ltd
"
16178811000001106,"FemSeven Sequi Phase 2 patches - Lexon (UK) Ltd
"
19964411000001100,"FemSeven Conti patches - Lexon (UK) Ltd
"
18358111000001100,"Elevin 150microgram/30microgram tablets - MedRx Licences Ltd
"
16614111000001103,"Levest 150/30 tablets - Morningside Healthcare Ltd
"
10856511000001108,"Mirena 20micrograms/24hours intrauterine device 1 device - Waymade Healthcare Plc
"
16178911000001101,"FemSeven Sequi Phase 2 patches 2 patch - Lexon (UK) Ltd
"
19964911000001108,"FemSeven Conti patches 4 patch - Lexon (UK) Ltd
"
18358211000001106,"Elevin 150microgram/30microgram tablets 63 tablet - MedRx Licences Ltd
"
22223511000001100,"Elevin 150microgram/30microgram tablets 21 tablet - MedRx Licences Ltd
"
166144110000011081,"Levest 150/30 tablets 63 tablet - Morningside Healthcare Ltd
"
16614211000001109,"Levest 150/30 tablets 21 tablet - Morningside Healthcare Ltd
"
24677511000001100,"Maexeni 150microgram/30microgram tablets - Lupin Healthcare (UK) Ltd
"
37719111000001106,"FemSeven Sequi Phase 2 patches - Pilsco Ltd
"
4710211000001102,"FemSeven Sequi Phase 2 patches - Teva UK Ltd
"
37404211000001107,"FemSeven Conti patches - CST Pharma Ltd
"
24677611000001101,"Maexeni 150microgram/30microgram tablets 63 tablet - Lupin Healthcare (UK) Ltd
"
37719211000001100,"FemSeven Sequi Phase 2 patches 6 patch - Pilsco Ltd
"
4710411000001103,"FemSeven Sequi Phase 2 patches 6 patch - Teva UK Ltd
"
4710311000001105,"FemSeven Sequi Phase 2 patches 2 patch - Teva UK Ltd
"
37404411000001106,"FemSeven Conti patches 12 patch - CST Pharma Ltd
"
37404311000001104,"FemSeven Conti patches 4 patch - CST Pharma Ltd
"
4338711000001100,"FemSeven Conti patches - Theramex HQ UK Ltd
"
37754511000001106,"FemSeven Sequi Phase 2 patches - CST Pharma Ltd
"
17956511000001108,"FemSeven Sequi Phase 2 patches - Waymade Healthcare Plc
"
4338911000001103,"FemSeven Conti patches 12 patch - Theramex HQ UK Ltd
"
4338811000001108,"FemSeven Conti patches 4 patch - Theramex HQ UK Ltd
"
37754711000001101,"FemSeven Sequi Phase 2 patches 6 patch - CST Pharma Ltd
"
37754611000001105,"FemSeven Sequi Phase 2 patches 2 patch - CST Pharma Ltd
"
17956611000001107,"FemSeven Sequi Phase 2 patches 2 patch - Waymade Healthcare Plc
"
326324002,"Ethinylestradiol 30microgram / Levonorgestrel 150microgram tablets
"
4725711000001106,"Estradiol 50micrograms/24hours / Levonorgestrel 10micrograms/24hours transdermal patches
"
4339811000001101,"Estradiol 50micrograms/24hours / Levonorgestrel 7micrograms/24hours transdermal patches
"
4338611000001109,"Estradiol 50micrograms/24hours / Levonorgestrel 7micrograms/24hours transdermal patches 12 patch
"
4338511000001105,"Estradiol 50micrograms/24hours / Levonorgestrel 7micrograms/24hours transdermal patches 4 patch
"
37482211000001104,"Estradiol 1mg / Norethisterone acetate 1mg tablets - Mawdsley-Brooks & Company Ltd
"
3366711000001109,"Estradiol 1mg / Norethisterone acetate 1mg tablets - Mylan
"
37482311000001107,"Estradiol 1mg / Norethisterone acetate 1mg tablets 36 tablet - Mawdsley-Brooks & Company Ltd
"
3366811000001101,"Estradiol 1mg / Norethisterone acetate 1mg tablets 36 tablet - Mylan
"
3455211000001106,"Estradiol 2mg / Norethisterone acetate 1mg tablets - Mylan
"
3448111000001108,"Estradiol 2mg / Norethisterone acetate 1mg tablets - Novo Nordisk Ltd
"
7121711000001106,"Estradiol 2mg / Norethisterone acetate 1mg tablets - Dowelhurst Ltd
"
3455311000001103,"Estradiol 2mg / Norethisterone acetate 1mg tablets 36 tablet - Mylan
"
3448211000001102,"Estradiol 2mg / Norethisterone acetate 1mg tablets 30 tablet - Novo Nordisk Ltd
"
7124411000001103,"Estradiol 2mg / Norethisterone acetate 1mg tablets 30 tablet - Dowelhurst Ltd
"
7122111000001100,"Estradiol 2mg / Norethisterone acetate 1mg tablets - Waymade Healthcare Plc
"
4498811000001107,"Estradiol 1mg / Norethisterone acetate 1mg tablets - Novo Nordisk Ltd
"
18483411000001100,"Elleste Duet Conti tablets - Mawdsley-Brooks & Company Ltd
"
4501811000001107,"FemTab Continuous tablets - Merck Serono Ltd
"
7124611000001100,"Estradiol 2mg / Norethisterone acetate 1mg tablets 30 tablet - Waymade Healthcare Plc
"
4498911000001100,"Estradiol 1mg / Norethisterone acetate 1mg tablets 36 tablet - Novo Nordisk Ltd
"
18483511000001101,"Elleste Duet Conti tablets 84 tablet - Mawdsley-Brooks & Company Ltd
"
4502011000001109,"FemTab Continuous tablets 84 tablet - Merck Serono Ltd
"
5378511000001101,"Kliofem tablets - Waymade Healthcare Plc
"
3049911000001108,"Nuvelle Continuous tablets - Bayer Plc
"
3038811000001109,"Kliovance tablets - Novo Nordisk Ltd
"
3043111000001107,"Kliofem tablets - Novo Nordisk Ltd
"
5378711000001106,"Kliofem tablets 84 tablet - Waymade Healthcare Plc
"
3050111000001103,"Nuvelle Continuous tablets 84 tablet - Bayer Plc
"
3039611000001101,"Kliovance tablets 84 tablet - Novo Nordisk Ltd
"
3079811000001104,"Kliofem tablets 84 tablet - Novo Nordisk Ltd
"
3219611000001104,"Estrapak 50 - Novartis Pharmaceuticals UK Ltd
"
14735811000001104,"Kliovance tablets - Sigma Pharmaceuticals Plc
"
3049511000001101,"Elleste Duet Conti tablets - Mylan
"
5551311000001101,"Kliofem tablets - Dowelhurst Ltd
"
3219811000001100,"Estrapak 50 3 month supply - Novartis Pharmaceuticals UK Ltd
"
3219711000001108,"Estrapak 50 1 month supply - Novartis Pharmaceuticals UK Ltd
"
2943111000001105,"Estraderm TTS 50 patches 8 patch - Novartis Pharmaceuticals UK Ltd
"
2943311000001107,"Estraderm TTS 50 patches 24 patch - Novartis Pharmaceuticals UK Ltd
"
14736111000001100,"Kliovance tablets 28 tablet - Sigma Pharmaceuticals Plc
"
3049811000001103,"Elleste Duet Conti tablets 84 tablet - Mylan
"
5551711000001102,"Kliofem tablets 84 tablet - Dowelhurst Ltd
"
18271511000001105,"Kliofem tablets - Necessity Supplies Ltd
"
3058111000001101,"Loestrin 20 tablets - Galen Ltd
"
3058411000001106,"Loestrin 30 tablets - Galen Ltd
"
18271611000001109,"Kliofem tablets 84 tablet - Necessity Supplies Ltd
"
