ProdCodeId,Description
1000341000033112,oestradiol tablets 2 mg
1000441000033118,oestradiol benzoate tablets 1 mg
1000541000033117,oestradiol benzoate tablets 2 mg
1000641000033116,oestriol tablets 1 mg
1000741000033113,oestradiol tablets 1 mg
1000841000033115,oestriol tablets 250 micrograms
1000941000033111,oestradiol valerate tablets 1 mg
1001041000033118,oestradiol valerate tablets 2 mg
1001141000033119,oestradiol transdermal patches 100 micrograms/24 hrs
1001241000033114,oestradiol transdermal patches 25 micrograms/24 hrs
1001341000033116,oestradiol transdermal patches 50 micrograms/24 hrs
1001441000033110,oestradiol transdermal patches 75 micrograms/24 hrs
1001541000033111,oestradiol transdermal patches 80 micrograms/24 hrs
1001641000033112,oestradiol transdermal patches 37.5 micrograms/24 hrs
1001741000033115,oestradiol transdermal patches 40 micrograms/24 hrs
1001841000033113,oestradiol transdermal patches (7 days) 100 micrograms/24 hrs
1001941000033117,oestradiol transdermal patches (7 days) 50 micrograms/24 hrs
1002041000033111,oestradiol transdermal patches (7 days) 75 micrograms/24 hrs
1021841000033117,ovestin 1mg tablets (organon laboratories ltd)
1091341000033119,piperazine oestrone sulfate tablets 1.5 mg
1132341000033110,premarin 1.25mg tablets (pfizer ltd)
1132441000033116,premarin 0.625mg tablets (pfizer ltd)
1134041000033118,progynova 1mg tablets (bayer plc)
1134141000033119,progynova 2mg tablets (bayer plc)
1140041000033113,premarin 2.5mg tablets (wyeth pharmaceuticals)
1141041000033116,progynova ts transdermal patches (7 days) 50 micrograms/24 hrs
1141141000033117,progynova ts forte transdermal patches (7 days) 100 micrograms/24 hrs
1239041000033116,sandrena 1mg gel sachets (orion pharma (uk) ltd)
1239141000033117,sandrena 500microgram gel sachets (orion pharma (uk) ltd)
13451141000033114,estradiol 1.53mg/dose transdermal spray
13451441000033118,lenzetto 1.53mg/dose transdermal spray (gedeon richter (uk) ltd)
1563841000033112,zumenon 2mg tablets (mylan)
1563941000033116,zumenon 1mg tablets (mylan)
1594241000033112,conjugated oestrogens 2.5mg tablets
1798141000033113,estraderm mx 75 patches (norgine pharmaceuticals ltd)
2173841000033114,adgyn estro 2mg tablets (kyowa kirin ltd)
2216941000033118,oestradiol transdermal patches (7 days) 25 micrograms/24 hrs
2217041000033117,dermestril - septem 50 patches (kyowa kirin ltd)
2217141000033118,dermestril - septem 75 patches (kyowa kirin ltd)
2289141000033111,oestradiol hemihydrate nasal spray 150 micrograms/metered spray
2289241000033116,aerodiol 150micrograms/dose nasal spray (servier laboratories ltd)
2484341000033114,*oestriol tablets
2484441000033115,*oestriol granules
2484541000033119,*oestriol liquid
2484641000033118,*oestriol powder
2484741000033110,*oestriol pills (sucrose)
2739341000033112,progynova ts 50micrograms/24hours transdermal patches (bayer plc)
2739441000033118,progynova ts 100micrograms/24hours transdermal patches (bayer plc)
287741000033116,climaval 1mg tablets (novartis pharmaceuticals uk ltd)
287841000033114,climaval 2mg tablets (novartis pharmaceuticals uk ltd)
2950941000033111,femtab 1mg tablets (merck serono ltd)
2951041000033118,femtab 2mg tablets (merck serono ltd)
2951241000033114,femtab continuous tablets (merck serono ltd)
3015141000033113,ethinyloestradiol tablets 2 micrograms
3090041000033118,ethinylestradiol 10microgram tablets
3090141000033119,ethinylestradiol 50microgram tablets
3090241000033114,ethinylestradiol 1mg tablets
3090341000033116,ethinylestradiol 2microgram tablets
3097641000033113,estradiol 0.06% gel (750microgram per actuation)
3097741000033116,estradiol 100mg implant
3097841000033114,estradiol 25mg implant
3097941000033118,estradiol 50mg implant
3098041000033115,estradiol 1mg tablets
3098141000033116,estradiol 2mg tablets
3098341000033118,estradiol 100micrograms/24hours transdermal patches
3098441000033112,estradiol 25micrograms/24hours transdermal patches
3098541000033113,estradiol 40micrograms/24hours transdermal patches
3098641000033114,estradiol 50micrograms/24hours transdermal patches
3098741000033117,estradiol 75micrograms/24hours transdermal patches
3098841000033110,estradiol 80micrograms/24hours transdermal patches
3099041000033111,estradiol transdermal patches (7 days) 100 micrograms/24 hrs
3099141000033110,estradiol transdermal patches (7 days) 50 micrograms/24 hrs
3099241000033115,estradiol transdermal patches (7 days) 75 micrograms/24 hrs
3099541000033118,estradiol 1mg gel sachets
3099641000033117,estradiol 500microgram gel sachets
3099741000033114,estradiol 150micrograms/dose nasal spray
3099941000033112,estradiol valerate 1mg tablets
3100041000033111,estradiol valerate 2mg tablets
3100441000033119,estriol 1mg tablets
3101741000033116,*estriol granules
3101841000033114,*estriol liquid
3102041000033112,*estriol pills (sucrose)
3102141000033111,*estriol powder
3102241000033116,*estriol tablets
3191941000033116,estradiol 50micrograms/24hours transdermal patches and norethisterone 1mg tablets
3192041000033110,estradiol 40micrograms/24hours transdermal patches and dydrogesterone 10mg tablets
3192141000033114,estradiol 80micrograms/24hours transdermal patches and dydrogesterone 10mg tablets
3225741000033112,estradiol 37.5micrograms/24hours transdermal patches
3225841000033119,estradot 25micrograms/24hours patches (novartis pharmaceuticals uk ltd)
3225941000033110,estradot 37.5micrograms/24hours patches (novartis pharmaceuticals uk ltd)
3226041000033117,estradot 50micrograms/24hours patches (novartis pharmaceuticals uk ltd)
3226141000033118,estradot 75micrograms/24hours patches (novartis pharmaceuticals uk ltd)
3226241000033113,estradot 100micrograms/24hours patches (novartis pharmaceuticals uk ltd)
374341000033111,conjugated oestrogens 1.25mg tablets
374441000033117,conjugated oestrogens 625microgram tablets
