SNOMEDCTCodes,Description
27992111000001109,Estriol 0.01% cream with applicator - Marlborough Pharmaceuticals Ltd
27992211000001103,Estriol 0.01% cream with applicator 1 pack - Marlborough Pharmaceuticals Ltd
27992011000001108,Estriol vaginal applicator type 1
28090811000001102,Estriol 0.01% cream - A A H Pharmaceuticals Ltd
27327411000001100,Estriol 0.01% cream - Marlborough Pharmaceuticals Ltd
27327611000001102,Estriol 0.01% cream 80 gram - Marlborough Pharmaceuticals Ltd
28091111000001103,Estriol 0.01% cream with applicator - A A H Pharmaceuticals Ltd
28091211000001109,Estriol 0.01% cream with applicator 1 pack - A A H Pharmaceuticals Ltd
28091311000001101,Estriol vaginal applicator type 1
28090911000001107,Estriol 0.01% cream
27925011000001107,Estriol 0.01% cream - Alliance Healthcare (Distribution) Ltd
37757411000001102,Estriol 0.01% cream - DE Pharmaceuticals
38900911000001102,Estriol 0.01% cream - Medihealth (Northern) Ltd
38901111000001106,Estriol 0.01% cream 80 gram - Medihealth (Northern) Ltd
26733511000001107,Estriol 0.01% cream - Waymade Healthcare Plc
27993411000001108,Estriol 0.01% cream with applicator - Alliance Healthcare (Distribution) Ltd
27993611000001106,Estriol 0.01% cream with applicator 1 pack - Alliance Healthcare (Distribution) Ltd
27993711000001102,Estriol vaginal applicator type 1
27925111000001108,Estriol 0.01% cream
37758611000001100,Estriol 0.01% cream with applicator - DE Pharmaceuticals
37758711000001109,Estriol 0.01% cream with applicator 1 pack - DE Pharmaceuticals
37757711000001108,Estriol vaginal applicator type 1
37757511000001103,Estriol 0.01% cream
26733811000001105,Estriol 0.01% cream with applicator - Waymade Healthcare Plc
26734111000001101,Estriol 0.01% cream with applicator 1 pack - Waymade Healthcare Plc
26733311000001101,Estriol vaginal applicator type 1
26733611000001106,Estriol 0.01% cream
38898711000001105,Estriol 0.01% cream with applicator - Medihealth (Northern) Ltd
38901211000001100,Estriol 0.01% cream with applicator 1 pack - Medihealth (Northern) Ltd
38900611000001108,Estriol vaginal applicator type 1
28091011000001104,Estriol vaginal applicator type 1 - A A H Pharmaceuticals Ltd
3193211000001101,Gynest 0.01% cream - Marlborough Pharmaceuticals Ltd
