SNOMEDCTCodes,Description
900111000001107,Penicillamine 125mg tablets (A A H Pharmaceuticals Ltd)
2458911000001104,Penicillamine 125mg tablets (A A H Pharmaceuticals Ltd) 56 tablet
939011000001105,Penicillamine 250mg tablets (Kent Pharma (UK) Ltd)
2460511000001101,Penicillamine 250mg tablets (Kent Pharma (UK) Ltd) 56 tablet
39887311000001107,Penicillamine 125mg tablets (Medihealth (Northern) Ltd)
39887411000001100,Penicillamine 125mg tablets (Medihealth (Northern) Ltd) 56 tablet
366611000001106,Penicillamine 250mg tablets (Teva UK Ltd)
2460311000001107,Penicillamine 250mg tablets (Teva UK Ltd) 56 tablet
41411000001107,Penicillamine 250mg tablets (Viatris UK Healthcare Ltd)
2460411000001100,Penicillamine 250mg tablets (Viatris UK Healthcare Ltd) 56 tablet
21842911000001107,Penicillamine 250mg tablets (Waymade Healthcare Plc)
21843111000001103,Penicillamine 250mg tablets (Waymade Healthcare Plc) 56 tablet
13235611000001105,Penicillamine 125mg tablets (Dowelhurst Ltd)
13235811000001109,Penicillamine 125mg tablets (Dowelhurst Ltd) 56 tablet
498611000001101,Penicillamine 125mg tablets (Kent Pharma (UK) Ltd)
2459711000001105,Penicillamine 125mg tablets (Kent Pharma (UK) Ltd) 56 tablet
30074911000001106,Penicillamine 250mg tablets (DE Pharmaceuticals)
30075011000001106,Penicillamine 250mg tablets (DE Pharmaceuticals) 56 tablet
17954111000001106,Penicillamine 250mg tablets (Phoenix Healthcare Distribution Ltd)
17954211000001100,Penicillamine 250mg tablets (Phoenix Healthcare Distribution Ltd) 56 tablet
841011000001102,Penicillamine 125mg tablets (Actavis UK Ltd)
2459111000001109,Penicillamine 125mg tablets (Actavis UK Ltd) 56 tablet
483011000001100,Penicillamine 125mg tablets (Alliance Healthcare (Distribution) Ltd)
2459811000001102,Penicillamine 125mg tablets (Alliance Healthcare (Distribution) Ltd) 56 tablet
30074711000001109,Penicillamine 125mg tablets (DE Pharmaceuticals)
30074811000001101,Penicillamine 125mg tablets (DE Pharmaceuticals) 56 tablet
29983111000001105,Penicillamine 125mg tablets (Sigma Pharmaceuticals Plc)
29983211000001104,Penicillamine 125mg tablets (Sigma Pharmaceuticals Plc) 56 tablet
690211000001104,Penicillamine 125mg tablets (Teva UK Ltd)
2459411000001104,Penicillamine 125mg tablets (Teva UK Ltd) 56 tablet
745811000001108,Penicillamine 125mg tablets (Viatris UK Healthcare Ltd)
2459611000001101,Penicillamine 125mg tablets (Viatris UK Healthcare Ltd) 56 tablet
336111000001109,Penicillamine 250mg tablets (A A H Pharmaceuticals Ltd)
2460011000001109,Penicillamine 250mg tablets (A A H Pharmaceuticals Ltd) 56 tablet
764611000001101,Penicillamine 250mg tablets (Alliance Healthcare (Distribution) Ltd)
