SNOMEDCTCodes,Description
778946004,Product containing only desogestrel in oral dose form (medicinal product form)
400419002,Product containing precisely desogestrel 75 microgram/1 each conventional release oral tablet (clinical drug)
775492009,Product containing only desogestrel (medicinal product)
41874011000001100,Desogestrel 75microgram tablets (product)
21701011000001100,Aizea 75microgram tablets (Marlborough Pharmaceuticals Ltd) (product)
19731511000001100,Cerazette 75microgram tablets (Mawdsley-Brooks & Company Ltd) (product)
3411311000001100,Cerazette 75microgram tablets (Organon Pharma (UK) Ltd) (product)
10848911000001100,Cerazette 75microgram tablets (PI) (Waymade Ltd) (product)
22263411000001100,Cerelle 75microgram tablets (Gedeon Richter (UK) Ltd) (product)
21732311000001100,Desogestrel 75microgram tablets (A A H Pharmaceuticals Ltd) (product)
22665311000001100,Desogestrel 75microgram tablets (Actavis UK Ltd) (product)
21695811000001100,Desogestrel 75microgram tablets (Alliance Healthcare (Distribution) Ltd) (product)
34551611000001100,Desogestrel 75microgram tablets (Crescent Pharma Ltd) (product)
23968111000001100,Desogestrel 75microgram tablets (DE Pharmaceuticals) (product)
41436811000001100,Desogestrel 75microgram tablets (Key Pharmaceuticals Ltd) (product)
35102211000001100,Desogestrel 75microgram tablets (Lupin (Europe) Ltd) (product)
30021211000001100,Desogestrel 75microgram tablets (Mawdsley-Brooks & Company Ltd) (product)
38867011000001100,Desogestrel 75microgram tablets (Medihealth (Northern) Ltd) (product)
38829211000001100,Desogestrel 75microgram tablets (Morningside Healthcare Ltd) (product)
29802211000001100,Desogestrel 75microgram tablets (Sigma Pharmaceuticals Plc) (product)
29760711000001100,Desogestrel 75microgram tablets (Zentiva Pharma UK Ltd) (product)
22502911000001100,Desomono 75microgram tablets (MedRx Developments Ltd) (product)
21706911000001100,Desorex 75microgram tablets (Somex Pharma) (product)
24677711000001100,Feanolla 75microgram tablets (Lupin (Europe) Ltd) (product)
42331511000001100,Lovima 75microgram tablets (Maxwellia Ltd) (product)
36546611000001100,Moonia 75microgram tablets (Kent Pharma (UK) Ltd) (product)
21520611000001100,Nacrez 75microgram tablets (Teva UK Ltd) (product)
23269711000001100,Zelleta 75microgram tablets (Morningside Healthcare Ltd) (product)
778997007,Product containing only dienogest in oral dose form (medicinal product form)
703727000,Product containing precisely dienogest 2 milligram/1 each conventional release oral tablet (clinical drug)
785088001,Product containing precisely etonogestrel 68 milligram/1 each prolonged-release subcutaneous implant (clinical drug)
779218002,Product containing only etonogestrel in parenteral dose form (medicinal product form)
786973001,Product containing etonogestrel in parenteral dose form (medicinal product form)
18030711000001100,Nexplanon 68mg implant (Organon Pharma (UK) Ltd) (product)
38155711000001100,Nexplanon 68mg implant (DE Pharmaceuticals) (product)
677611000001106,Implanon 68mg implant (Organon Laboratories Ltd) (product)
39711411000001100,Etonogestrel 68mg implant (product)
775899008,Product containing only etonogestrel (medicinal product)
326421006,Product containing precisely etynodiol diacetate 500 microgram/1 each conventional release oral tablet (clinical drug)
779223002,Product containing only etynodiol in oral dose form (medicinal product form)
462011000001107,Femulen 500microgram tablets (Pfizer Ltd) (product)
