CTV3Codes,Description
fg...,Progestogen product
ga8A.,Desogestrel 75micrograms tablet
ga8B.,Cerazette 75micrograms tablet
ga81.,DESOREX 75micrograms tablets
ga82.,NACREZ 75micrograms tablets
ga8C.,CERELLE 75micrograms tablets
ga8D.,AIZEA 75micrograms tablets
ga8E.,DESOMONO 75micrograms tablets
ga8G.,FEANOLLA 75micrograms tablets
fg2..,Dydrogesterone
fg2z.,Dydrogesterone 10mg tablet
fg21.,Duphaston 10mg tablet
fg22.,Duphaston-HRT 10mg tablet
x02ME,Etynodiol diacetate
ga12.,Etynodiol diacetate 500micrograms tablet
ga11.,Femulen tablet
ga1..,Etynodiol diacetate [progestogen oral contraceptive]
ga7..,Etonogestrel
ga71.,Etonogestrel 68mg subdermal implant
ga72.,Implanon 68mg subdermal implant
x01M7,Hydroxyprogesterone
fg3y.,Hydroxyprogesterone caproate 250mg/1mL oily injection
fg31.,Proluton Depot 250mg/1mL oily injection
fg3z.,Hydroxyprogesterone hexanoate 500mg/2mL oily injection
fg32.,Proluton Depot 500mg/2mL oily injection
fg3..,Hydroxyprogesterone caproate
x02MF,Levonorgestrel product
ga23.,Levonorgestrel 30micrograms tablet
ga21.,Microval tablet
ga22.,Norgeston tablet
ga42.,Levonorgestrel 37.5micrograms tablet
ga41.,Neogest tablet
ga28.,Levonorgestrel 750micrograms tablet
ga2A.,Levonelle 750micrograms tablet
ga29.,Levonelle-2 tablet
ga2B.,Levonorgestrel 1.5mg tablet
ga2D.,Levonelle 1500micrograms tablet
ga2C.,Levonelle One Step 1.5mg tablet
ga25.,Levonorgestrel 38mg subdermal implant
ga24.,Norplant 38mg subdermal implant
ga26.,Levonorgestrel 52mg intrauterine system
ga27.,Mirena 52mg intrauterine system
ga2..,Levonorgestrel [progestogen contraceptive]
ga2E.,UPOSTELLE 1500micrograms tablets
ga2F.,JAYDESS 13.5mg intrauterine system
ga2G.,LEVONORGESTREL 13.5mg intrauterine system
ga2H.,ISTERANDA 1.5mg tablets
ga2I.,LEVOSERT 20micrograms/24hours intrauterine system
ga2J.,EMERRES 1.5mg tablets
ga2K.,EMERRES UNA 1.5mg tablets
x02MG,Medroxyprogesterone
x01M8,Oral medroxyprogesterone
fg48.,Medroxyprogesterone 2.5mg tablet
fg47.,Provera 2.5mg tablet
fg4z.,Medroxyprogesterone acetate 5mg tablet
fg4A.,Adgyn Medro 5mg tablet
fg4B.,Climanor 5mg tablet
fg44.,Provera 5mg tablet
fg46.,Medroxyprogesterone acetate 10mg tablet
fg45.,Provera 10mg tablet
hc2x.,Medroxyprogesterone acetate 100mg tablet
hc22.,Farlutal 100mg tablet
hc27.,Provera 100mg tablet
hc2y.,Medroxyprogesterone acetate 200mg tablet
hc28.,Provera 200mg tablet
hc2t.,Medroxyprogesterone acetate 250mg tablet
hc23.,Farlutal 250mg tablet
hc2z.,Medroxyprogesterone acetate 400mg tablet
hc29.,Provera 400mg tablet
hc2u.,Medroxyprogesterone acetate 500mg tablet
hc24.,Farlutal 500mg tablet
x01M9,Medroxyprogesterone 80mg/1mL suspension
hc2a.,Provera 80mg/mL suspension
hc2r.,Medroxyprogest 80mg/mL suspension 100mL
x01MB,Provera 100mg/mL suspension
hc2b.,Provera 100mg/mL suspension 100mL
x01MC,Parenteral medroxyprogesterone
ga3z.,Medroxyprogesterone 50mg/1mL injection
fg41.,Depo-Provera 50mg/1mL injection
ga34.,Medroxyprogesterone acetate 150mg/1mL injection
ga32.,Depo-Provera 150mg/1mL injection
fg4x.,Medroxyprogesterone acetate 150mg/3mL injection
fg49.,Depo-Provera 150mg/3mL injection
fg42.,Depo-Provera 150mg injection
fg4w.,Medroxyprogesterone 50mg/mL injection
fg4y.,Medroxyprogesterone acetate 250mg/5mL injection
fg43.,Depo-Provera 250mg/5mL injection
hc2s.,Medroxyprogesterone acetate 450mg/3mL injection
hc21.,Depo-Provera 450mg/3mL injection
hc2v.,Medroxyprogesterone acetate 500mg/2.5mL injection
hc25.,Farlutal 500mg/2.5mL injection
hc2d.,Medroxyprogesterone acetate 495mg/3.3mL injection
hc2c.,Depo-Provera Oncology 495mg/3.3mL injection
hc2w.,Medroxyprogesterone acetate 1g/5mL injection
hc26.,Farlutal 1g/5mL injection
ga35.,Medroxyprogesterone acetate 150mg/1mL prefilled syringe
ga36.,Depo-Provera 150mg/1mL prefilled syringe
fg4..,Medroxyprogest ac [endocrine]
ga3..,Medroxyprogest acetate [progestogen oral contraceptive]
ga37.,SAYANA 104mg/0.65mL susp for injection prefilled syringe
ga38.,MEDROXYPROGESTERONE ACET 104mg/0.65mL susp for injection pfs
hc2..,Medroxyprogest ac [malignancy]
x02MA,Norethisterone product
ga5z.,Norethisterone 350mcg tablet
ga51.,Micronor tablet
x0260,Noriday tablet
ga52.,Noriday tablet 28CP
ga53.,Noriday tablet 84CP
fg57.,Norethisterone 1mg tablet
fg56.,Micronor.HRT 1mg tablet
fg51.,Norethisterone 5mg tablet
fg52.,Primolut-N 5mg tablet
fg53.,Utovlan 5mg tablet
x00ZD,Menzol 8-day 5mg Planapack tablets
fg54.,Menzol 8-day 5mg tablets x72
x00ZC,Menzol 20-day 5mg Planapack tablets
fg55.,Menzol 20-day 5mg tablets x180
hc5z.,Norethisterone 10mg tablet
hc51.,SH-420 10mg tablet
ga6z.,Norethisterone oenanthate 200mg/1mL oily injection
ga61.,Noristerat 200mg/1mL oily injection
fg5..,Norethisterone [endocrine]
ga5..,Norethisterone [progestogen oral contraceptive]
ga6..,Norethisterone enanthate
hc4..,Norethisterone [malignancy]
hc5..,Norethisterone ac [malignancy]
fg6..,Progesterone product
x01ME,Parenteral progesterone
fg6w.,Progesterone 10mg/1mL injection
fg63.,Gestone 10mg/1mL injection
fg6x.,Progesterone 25mg/1mL injection
fg64.,Gestone 25mg/1mL injection
fg6y.,Progesterone 50mg/1mL injection
fg65.,Gestone 50mg/1mL injection
fg67.,Progesterone 100mg/2mL injection
fg66.,Gestone 100mg/2mL injection
fg6s.,PROGESTERONE MICRONISED 200mg capsules
fg6D.,UTROGESTAN 200mg capsules
fg6t.,PROGESTERONE MICRONISED 100mg capsules
fg6C.,UTROGESTAN 100mg capsules
x01MF,Rectal/vaginal progesterone
fg6u.,Progesterone 200mg pessary
fg61.,Cyclogest 200mg pessary
fg6v.,Progesterone 400mg pessary
fg62.,Cyclogest 400mg pessary
fg68.,Progesterone 4% vaginal gel
fg6A.,Crinone 4% vaginal gel
fg69.,Progesterone 8% vaginal gel
fg6B.,Crinone 8% vaginal gel
fg6E.,UTROGESTAN 200mg vaginal capsules+applicators
fg6F.,LUBION 25mg/1.119mL solution for injection
fg6G.,LUTIGEST 100mg vaginal tablets+applicator
fg6p.,PROGESTERONE 100mg vaginal tablets+applicator
fg6q.,PROGESTERONE 25mg/1.119mL solution for injection
fg6r.,PROGESTERONE MICRONISED 200mg vaginal capsules+applicators
ga...,Progesterone - only contraceptives
ga4..,Norgestrel [progestogen oral contraceptive]
ga9..,ULIPRISTAL ACETATE
ga91.,ELLAONE 30mg tablets
ga92.,ESMYA 5mg tablets
ga9y.,ULIPRISTAL ACETATE 5mg tablets
ga9z.,ULIPRISTAL ACETATE 30mg tablets
