V2Codes,Description
fg...,PROGESTOGENS
fg2..,DYDROGESTERONE
fg21.,*DUPHASTON 10mg tablets
fg22.,*DUPHASTON-HRT 10mg tablets
fg2z.,*DYDROGESTERONE 10mg tablets
fg3..,HYDROXYPROGESTERONE CAPROATE
fg31.,PROLUTON DEPOT 250mg/1mL injection
fg32.,PROLUTON DEPOT 500mg/2mL injection
fg3y.,HYDROXYPROGESTERONE CAPROATE 250mg/1mL injection
fg3z.,HYDROXYPROGESTERONE HEXANOATE 500mg/2mL injection
fg4..,MEDROXYPROGEST AC [ENDOCRINE]
fg41.,DEPO-PROVERA 50mg/1mL injection
fg42.,*DEPO-PROVERA 150mg injection
fg43.,DEPO-PROVERA 250mg/5mL injection
fg44.,PROVERA 5mg tablets
fg45.,PROVERA 10mg tablets
fg46.,MEDROXYPROGESTERONE 10mg tablets
fg47.,PROVERA 2.5mg tablets
fg48.,MEDROXYPROGESTERONE 2.5mg tablets
fg49.,DEPO-PROVERA 150mg/3mL injection
fg4A.,*ADGYN MEDRO 5mg tablets
fg4B.,CLIMANOR 5mg tablets
fg4w.,MEDROXYPROGESTERONE 50mg/mL injection
fg4x.,MEDROXYPROGESTERONE 150mg/3mL injection
fg4y.,MEDROXYPROGESTERONE 250mg/5mL injection
fg4z.,MEDROXYPROGESTERONE 5mg tablets
fg5..,NORETHISTERONE [ENDOCRINE]
fg51.,NORETHISTERONE 5mg tablets
fg52.,PRIMOLUT N 5mg tablets
fg53.,UTOVLAN 5mg tablets
fg54.,*MENZOL-8 DAY 5mg tablets x72
fg55.,MENZOL-20 DAY 5mg tablets x180
fg56.,*MICRONOR.HRT 1mg tablets
fg57.,*NORETHISTERONE 1mg tablets
fg6..,PROGESTERONE
fg61.,CYCLOGEST 200mg suppositories
fg62.,CYCLOGEST 400mg suppositories
fg63.,*GESTONE 10mg/1mL injection
fg64.,*GESTONE 25mg/1mL injection
fg65.,GESTONE 50mg/1mL injection
fg66.,GESTONE 100mg/2mL injection
fg67.,PROGESTERONE 100mg/2mL injection
fg68.,*PROGESTERONE 4% vaginal gel
fg69.,PROGESTERONE 8% vaginal gel
fg6A.,*CRINONE 4% vaginal gel
fg6B.,CRINONE 8% vaginal gel
fg6C.,UTROGESTAN 100mg capsules
fg6D.,*UTROGESTAN 200mg capsules
fg6E.,UTROGESTAN 200mg vaginal capsules+applicators
fg6F.,LUBION 25mg/1.119mL solution for injection
fg6G.,LUTIGEST 100mg vaginal tablets+applicator
fg6p.,PROGESTERONE 100mg vaginal tablets+applicator
fg6q.,PROGESTERONE 25mg/1.119mL solution for injection
fg6r.,PROGESTERONE MICRONISED 200mg vaginal capsules+applicators
fg6s.,PROGESTERONE MICRONISED 200mg capsules
fg6t.,PROGESTERONE MICRONISED 100mg capsules
fg6u.,PROGESTERONE 200mg suppositories
fg6v.,PROGESTERONE 400mg suppositories
fg6w.,PROGESTERONE 10mg/1mL injection
fg6x.,PROGESTERONE 25mg/1mL injection
fg6y.,PROGESTERONE 50mg/1mL injection
