SNOMEDCTCodes,Description
30863211000001105,Raloxifene 60mg tablets (Mawdsley-Brooks & Company Ltd)
30863411000001109,Raloxifene 60mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
21960811000001102,Raloxifene 60mg tablets (Alliance Healthcare (Distribution) Ltd)
21961011000001104,Raloxifene 60mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet
35428311000001104,Raloxifene 60mg tablets (Alliance Healthcare (Distribution) Ltd) 84 tablet
28996211000001107,Raloxifene 60mg tablets (Dr Reddy's Laboratories (UK) Ltd)
28996311000001104,Raloxifene 60mg tablets (Dr Reddy's Laboratories (UK) Ltd) 28 tablet 2 x 14 tablets
22109311000001101,Raloxifene 60mg tablets (Teva UK Ltd)
22109411000001108,Raloxifene 60mg tablets (Teva UK Ltd) 28 tablet 2 x 14 tablets
22109511000001107,Raloxifene 60mg tablets (Teva UK Ltd) 84 tablet 6 x 14 tablets
30086311000001109,Raloxifene 60mg tablets (DE Pharmaceuticals)
30086411000001102,Raloxifene 60mg tablets (DE Pharmaceuticals) 28 tablet
30086511000001103,Raloxifene 60mg tablets (DE Pharmaceuticals) 84 tablet
39205211000001101,Raloxifene 60mg tablets (Medihealth (Northern) Ltd)
39205311000001109,Raloxifene 60mg tablets (Medihealth (Northern) Ltd) 28 tablet
14617011000001102,Raloxifene 60mg tablets (Sigma Pharmaceuticals Plc)
14617111000001101,Raloxifene 60mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
38744511000001103,Raloxifene 60mg tablets (Aspire Pharma Ltd)
38744611000001104,Raloxifene 60mg tablets (Aspire Pharma Ltd) 28 tablet 2 x 14 tablets
34444711000001101,Raloxifene 60mg tablets (Bristol Laboratories Ltd)
34444811000001109,Raloxifene 60mg tablets (Bristol Laboratories Ltd) 28 tablet 2 x 14 tablets
34444911000001104,Raloxifene 60mg tablets (Bristol Laboratories Ltd) 84 tablet 6 x 14 tablets
22517711000001102,Raloxifene 60mg tablets (Consilient Health Ltd)
22517811000001105,Raloxifene 60mg tablets (Consilient Health Ltd) 28 tablet 4 x 7 tablets
33612911000001100,Raloxifene 60mg tablets (Viatris UK Healthcare Ltd)
33613011000001108,Raloxifene 60mg tablets (Viatris UK Healthcare Ltd) 28 tablet
33613111000001109,Raloxifene 60mg tablets (Viatris UK Healthcare Ltd) 84 tablet
22567411000001107,Raloxifene 60mg tablets (A A H Pharmaceuticals Ltd)
22567611000001105,Raloxifene 60mg tablets (A A H Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
22786111000001104,Raloxifene 60mg tablets (A A H Pharmaceuticals Ltd) 84 tablet
24559611000001104,Raloxifene 60mg tablets (Accord-UK Ltd)
24559711000001108,Raloxifene 60mg tablets (Accord-UK Ltd) 28 tablet 2 x 14 tablets
10485311000001105,Raloxifene 60mg tablets (Dowelhurst Ltd)
10485411000001103,Raloxifene 60mg tablets (Dowelhurst Ltd) 28 tablet
24110811000001107,Raloxifene 60mg tablets (Sandoz Ltd)
24110911000001102,Raloxifene 60mg tablets (Sandoz Ltd) 28 tablet 2 x 14 tablets
33971011000001100,Raloxifene 60mg tablets (Somex Pharma)
33971811000001106,Raloxifene 60mg tablets (Somex Pharma) 28 tablet
18258711000001108,Evista 60mg tablets (Necessity Supplies Ltd)
18258811000001100,Evista 60mg tablets (Necessity Supplies Ltd) 28 tablet
16573411000001106,Evista 60mg tablets (Mawdsley-Brooks & Company Ltd)
16573511000001105,Evista 60mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
22358811000001101,Razylan 60mg tablets (Aspire Pharma Ltd)
22359211000001107,Razylan 60mg tablets (Aspire Pharma Ltd) 28 tablet 2 x 14 tablets
239811000001103,Evista 60mg tablets (Daiichi Sankyo UK Ltd)
1918711000001108,Evista 60mg tablets (Daiichi Sankyo UK Ltd) 28 tablet 2 x 14 tablets
1918911000001105,Evista 60mg tablets (Daiichi Sankyo UK Ltd) 84 tablet 6 x 14 tablets
14229711000001104,Evista 60mg tablets (Sigma Pharmaceuticals Plc)
14229811000001107,Evista 60mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
32460211000001101,Evirex 60mg tablets (Somex Pharma)
32460311000001109,Evirex 60mg tablets (Somex Pharma) 28 tablet 2 x 14 tablets
19999311000001105,Evista 60mg tablets (DE Pharmaceuticals)
19999411000001103,Evista 60mg tablets (DE Pharmaceuticals) 28 tablet
10511811000001107,Evista 60mg tablets (Dowelhurst Ltd)
10511911000001102,Evista 60mg tablets (Dowelhurst Ltd) 28 tablet
5362611000001109,Evista 60mg tablets (Waymade Healthcare Plc)
5362711000001100,Evista 60mg tablets (Waymade Healthcare Plc) 28 tablet
5362811000001108,Evista 60mg tablets (Waymade Healthcare Plc) 84 tablet
24676811000001104,Ostiral 60mg tablets (Lupin Healthcare (UK) Ltd)
24677011000001108,Ostiral 60mg tablets (Lupin Healthcare (UK) Ltd) 28 tablet
42088011000001101,Raloxifene 60mg tablets
326075007,Raloxifene 60mg tablets
1238711000001102,Raloxifene 60mg tablets 28 tablet
1142811000001107,Raloxifene 60mg tablets 84 tablet
