CTV3Codes,Description
da9..,Citalopram
da93.,Citalopram 10mg tablet
da94.,Cipramil 10mg tablet
da98.,Paxoran 10mg tablet
da91.,Citalopram 20mg tablet
da92.,Cipramil 20mg tablet
da99.,Paxoran 20mg tablet
da95.,Citalopram 40mg tablet
da96.,Cipramil 40mg tablet
da9A.,Paxoran 40mg tablet
da9z.,Citalopram 40mg/mL oral drops
x054r,Cipramil 40mg/mL oral drops
da97.,Cipramil 40mg/mL oral drops 15mL
gm1..,DAPOXETINE
gm11.,PRILIGY 30mg tablets
gm12.,DAPOXETINE 30mg tablets
gm13.,PRILIGY 60mg tablets
gm14.,DAPOXETINE 60mg tablets
daC..,Escitalopram
daC5.,Escitalopram 5mg tablet
daC6.,Cipralex 5mg tablet
daC7.,ESCITALOPRAM 10mg/mL oral drops
daC8.,CIPRALEX 10mg/mL oral drops
daC1.,Escitalopram 10mg tablet
daC2.,Cipralex 10mg tablet
daC3.,Escitalopram 20mg tablet
daC4.,Cipralex 20mg tablet
daC9.,CIPRALEX 20mg/mL oral drops
daCA.,ESCITALOPRAM 20mg/mL oral drops
x01Ar,Fluoxetine
da41.,Fluoxetine 20mg capsule
da48.,Felicium 20mg capsule
da49.,Oxactin 20mg capsule
da45.,Prozac 20mg capsule
da42.,Prozac 20mg capsules x30
da4A.,Ranflutin 20mg capsule
da46.,Fluoxetine 60mg capsule
da47.,Prozac 60mg capsule
da43.,Fluoxetine 20mg/5mL oral liquid
da44.,Prozac 20mg/5mL liquid
da4C.,PROZEP 20mg/5mL oral solution
da4B.,Prozit 20mg/5mL oral solution
da4..,Fluoxetine hydrochloride
da4D.,OLENA 20mg dispersible tablets
da4E.,FLUOXETINE 20mg dispersible tablets
x01As,Fluvoxamine
da32.,Fluvoxamine maleate 50mg tablet
da31.,Faverin 50mg tablet
da34.,Fluvoxamine maleate 100mg tablet
da33.,Faverin 100mg tablet
da3..,Fluvoxamine maleate
da6..,Paroxetine
da67.,PAROXETINE 10mg tablets
da68.,SEROXAT 10mg tablets
da61.,Paroxetine 20mg tablet
x00fz,Seroxat 20mg tablet
da62.,Seroxat 20mg tablets x30
da63.,Paroxetine 30mg tablet
x00g0,Seroxat 30mg tablet
da64.,Seroxat 30mg tablets x30
da65.,Paroxetine 10mg/5mL s/f liquid
da66.,Seroxat 10mg/5mL s/f liquid
da5..,Sertraline
da51.,Sertraline 50mg tablet
da53.,Lustral 50mg tablet
da52.,Sertraline 100mg tablet
da54.,Lustral 100mg tablet
daE..,VORTIOXETINE
daE1.,BRINTELLIX 5mg tablets
daE2.,VORTIOXETINE 5mg tablets
daE3.,BRINTELLIX 10mg tablets
daE4.,VORTIOXETINE 10mg tablets
daE5.,BRINTELLIX 20mg tablets
daE6.,VORTIOXETINE 20mg tablets
