MedCodeID,Description
6097601000006116,Product containing fluvoxamine maleate 50 mg/1 each oral tablet
6097591000006112,Fluvoxamine 50mg tablets
12235801000006113,Product containing precisely fluvoxamine maleate 50 milligram/1 each conventional release oral tablet
6097611000006118,Fluvoxamine maleate 50 mg oral tablet
11811081000006113,Product containing only fluvoxamine maleate 50 mg/1 each oral tablet
11811091000006111,Product containing only fluvoxamine maleate 100 mg/1 each oral tablet
6097621000006114,Fluvoxamine 100mg tablets
12235811000006111,Product containing precisely fluvoxamine maleate 100 milligram/1 each conventional release oral tablet
6097641000006119,Fluvoxamine maleate 100 mg oral tablet
6097631000006112,Product containing fluvoxamine maleate 100 mg/1 each oral tablet
12235821000006115,Fluoxetine (as fluoxetine hydrochloride) 20 mg oral capsule
6097671000006110,Product containing fluoxetine 20 mg/1 each oral capsule
12235831000006117,Product containing precisely fluoxetine (as fluoxetine hydrochloride) 20 milligram/1 each conventional release oral capsule
6097651000006117,Fluoxetine 20mg capsules
6097661000006115,Fluoxetine 20 mg/1 each oral capsule
11872991000006110,Product containing only fluoxetine 20 mg/1 each oral capsule
12235841000006110,Fluoxetine (as fluoxetine hydrochloride) 4 mg/mL oral solution
6097701000006111,Fluoxetine hydrochloride 20mg/5mL solution
6097681000006113,Fluoxetine 20mg/5ml oral solution
6097691000006111,Fluoxetine 20mg/5mL oral liquid
12235851000006112,Product containing precisely fluoxetine (as fluoxetine hydrochloride) 4 milligram/1 milliliter conventional release oral solution
6097731000006115,Product containing fluoxetine 60 mg/1 each oral capsule
6097711000006114,Fluoxetine 60mg capsules
12235871000006119,Fluoxetine (as fluoxetine hydrochloride) 60 mg oral capsule
12235861000006114,Product containing precisely fluoxetine (as fluoxetine hydrochloride) 60 milligram/1 each conventional release oral capsule
11818951000006114,Product containing only fluoxetine 60 mg/1 each oral capsule
6097721000006118,Fluoxetine 60 mg/1 each oral capsule
6097791000006116,Sertraline 50 mg oral tablet
6097771000006117,Sertraline 50mg tablets
6097781000006119,Product containing sertraline 50 mg/1 each oral tablet
11818961000006111,Product containing only sertraline 50 mg/1 each oral tablet
12235901000006119,Product containing precisely sertraline 50 milligram/1 each conventional release oral tablet
12235911000006116,Product containing precisely sertraline 100 milligram/1 each conventional release oral tablet
11818971000006116,Product containing only sertraline 100 mg/1 each oral tablet
6097801000006115,Sertraline 100mg tablets
6097821000006113,Sertraline 100 mg oral tablet
6097811000006117,Product containing sertraline 100 mg/1 each oral tablet
12235941000006117,Product containing precisely paroxetine 20 milligram/1 each conventional release oral tablet
6097871000006114,Paroxetine 20 mg oral tablet
6097861000006119,Product containing paroxetine 20 mg/1 each oral tablet
11818981000006118,Product containing only paroxetine 20 mg/1 each oral tablet
6097851000006116,Paroxetine 20mg tablets
6097901000006114,Paroxetine 30 mg oral tablet
6097891000006110,Product containing paroxetine 30 mg/1 each oral tablet
6097881000006112,Paroxetine 30mg tablets
12235951000006115,Product containing precisely paroxetine 30 milligram/1 each conventional release oral tablet
11873001000006111,Product containing only paroxetine 30 mg/1 each oral tablet
6097911000006112,Paroxetine 10mg/5ml oral suspension sugar free
6097921000006116,Paroxetine 10mg/5mL s/f liquid
12236031000006119,Citalopram (as citalopram hydrobromide) 20 mg oral tablet
6098161000006112,Citalopram 20mg tablets
11819001000006115,Product containing only citalopram 20 mg/1 each oral tablet
12236041000006112,Product containing precisely citalopram (as citalopram hydrobromide) 20 milligram/1 each conventional release oral tablet
6098181000006119,Citalopram 20 mg oral tablet
6098171000006117,Product containing citalopram 20 mg/1 each oral tablet
6098191000006116,Citalopram 10mg tablets
12236061000006111,Product containing precisely citalopram (as citalopram hydrobromide) 10 milligram/1 each conventional release oral tablet
11781821000006115,Product containing only citalopram 10 mg/1 each oral tablet
6098201000006118,Product containing citalopram 10 mg/1 each oral tablet
12236051000006114,Citalopram (as citalopram hydrobromide) 10 mg oral tablet
6098211000006115,Citalopram 10 mg oral tablet
12236071000006116,Product containing precisely citalopram (as citalopram hydrobromide) 40 milligram/1 each conventional release oral tablet
6098221000006111,Citalopram 40mg tablets
11819011000006117,Product containing only citalopram 40 mg/1 each oral tablet
6098231000006114,Product containing citalopram 40 mg/1 each oral tablet
12236081000006118,Citalopram (as citalopram hydrobromide) 40 mg oral tablet
6098241000006116,Citalopram 40 mg oral tablet
12236101000006114,Citalopram (as citalopram hydrochloride) 40 mg/mL oral drops
6098251000006119,Citalopram 40mg/ml oral drops sugar free
12236091000006115,Product containing precisely citalopram (as citalopram hydrochloride) 40 milligram/1 milliliter conventional release oral drops
6098261000006117,Citalopram 40mg/mL oral drops
12277221000006113,Product containing precisely fluoxetine (as fluoxetine hydrochloride) 10 milligram/1 each conventional release oral capsule
6387141000006114,Fluoxetine 10 mg/1 each oral capsule
12277231000006111,Fluoxetine (as fluoxetine hydrochloride) 10 mg oral capsule
6387131000006116,Product containing fluoxetine 10 mg/1 each oral capsule
11783231000006119,Product containing only fluoxetine 10 mg/1 each oral capsule
6387121000006119,Fluoxetine 10mg capsules
6387181000006115,Product containing fluoxetine hydrochloride 10 mg/1 each oral tablet
11783241000006112,Product containing only fluoxetine hydrochloride 10 mg/1 each oral tablet
12277261000006119,Fluoxetine (as fluoxetine hydrochloride) 10 mg oral tablet
6387171000006118,Fluoxetine 10mg tablets
6387191000006117,Fluoxetine hydrochloride 10 mg oral tablet
12277251000006116,Product containing precisely fluoxetine (as fluoxetine hydrochloride) 10 milligram/1 each conventional release oral tablet
6414881000006113,Fluoxetine hydrochloride 40 mg/1 each oral capsule
12287911000006116,Product containing precisely fluoxetine (as fluoxetine hydrochloride) 40 milligram/1 each conventional release oral capsule
6414861000006115,Fluoxetine 40mg capsules
12287901000006119,Fluoxetine (as fluoxetine hydrochloride) 40 mg oral capsule
11831561000006117,Product containing only fluoxetine hydrochloride 40 mg/1 each oral capsule
6414871000006110,Product containing fluoxetine hydrochloride 40 mg/1 each oral capsule
12304511000006110,Escitalopram (as escitalopram oxalate) 10 mg oral tablet
6754761000006111,Escitalopram 10 mg oral tablet
12304521000006119,Product containing precisely escitalopram (as escitalopram oxalate) 10 milligram/1 each conventional release oral tablet
11852891000006117,Product containing only escitalopram 10 mg/1 each oral tablet
6754741000006112,Escitalopram 10mg tablets
6754751000006114,Product containing escitalopram 10 mg/1 each oral tablet
12305001000006115,Escitalopram (as escitalopram oxalate) 20 mg oral tablet
6756361000006115,Escitalopram 20mg tablets
6756371000006110,Product containing escitalopram 20 mg/1 each oral tablet
11880541000006115,Product containing only escitalopram 20 mg/1 each oral tablet
