V2Codes,Description
da9..,CITALOPRAM
da91.,CITALOPRAM 20mg tablets
da92.,CIPRAMIL 20mg tablets
da93.,CITALOPRAM 10mg tablets
da94.,*CIPRAMIL 10mg tablets
da95.,CITALOPRAM 40mg tablets
da96.,*CIPRAMIL 40mg tablets
da97.,CIPRAMIL 40mg/mL oral drops 15mL
da98.,*PAXORAN 10mg tablets
da99.,*PAXORAN 20mg tablets
da9A.,*PAXORAN 40mg tablets
da9z.,CITALOPRAM 40mg/mL oral drops
gde..,DULOXETINE
gde1.,YENTREVE 20mg gastro-resistant capsules
gde2.,YENTREVE 40mg gastro-resistant capsules
gde3.,CYMBALTA 30mg gastro-resistant capsules
gde4.,CYMBALTA 60mg gastro-resistant capsules
gdew.,DULOXETINE 60mg gastro-resistant capsules
gdex.,DULOXETINE 30mg gastro-resistant capsules
gdey.,DULOXETINE 20mg gastro-resistant capsules
gdez.,DULOXETINE 40mg gastro-resistant capsules
daC..,ESCITALOPRAM
daC1.,ESCITALOPRAM 10mg tablets
daC2.,CIPRALEX 10mg tablets
daC3.,ESCITALOPRAM 20mg tablets
daC4.,CIPRALEX 20mg tablets
daC5.,ESCITALOPRAM 5mg tablets
daC6.,CIPRALEX 5mg tablets
daC7.,ESCITALOPRAM 10mg/mL oral drops
daC8.,*CIPRALEX 10mg/mL oral drops
daC9.,CIPRALEX 20mg/mL oral drops
da4..,FLUOXETINE HYDROCHLORIDE
da41.,FLUOXETINE 20mg capsules
da42.,*PROZAC 20mg capsules x30
da43.,FLUOXETINE 20mg/5mL oral liquid
da44.,PROZAC 20mg/5mL oral liquid
da45.,PROZAC 20mg capsules
da46.,FLUOXETINE 60mg capsules
da47.,*PROZAC 60mg capsules
da48.,*FELICIUM 20mg capsules
da49.,OXACTIN 20mg capsules
da4A.,RANFLUTIN 20mg capsules
da4B.,PROZIT 20mg/5mL oral solution
da4C.,PROZEP 20mg/5mL oral solution
da4D.,OLENA 20mg dispersible tablets
da4E.,FLUOXETINE 20mg dispersible tablets
da3..,FLUVOXAMINE MALEATE
da31.,FAVERIN 50mg tablets
da32.,FLUVOXAMINE MALEATE 50mg tablets
da6..,PAROXETINE HYDROCHLORIDE
da61.,PAROXETINE 20mg tablets
da62.,SEROXAT 20mg tablets x30
da63.,PAROXETINE 30mg tablets
da64.,SEROXAT 30mg tablets x30
da65.,PAROXETINE 10mg/5mL sugar free liquid
da66.,SEROXAT 10mg/5mL sugar free liquid
da67.,PAROXETINE 10mg tablets
da68.,SEROXAT 10mg tablets
da5..,SERTRALINE HYDROCHLORIDE
da51.,SERTRALINE 50mg tablets
da52.,SERTRALINE 100mg tablets
da53.,LUSTRAL 50mg tablets
da54.,LUSTRAL 100mg tablets
da7..,VENLAFAXINE
da71.,VENLAFAXINE 37.5mg tablets
da72.,VENLAFAXINE 75mg tablets
da73.,*EFEXOR 37.5mg tablets
da74.,*EFEXOR 75mg tablets
da75.,*VENLAFAXINE 50mg tablets
da76.,*EFEXOR 50mg tablets
da77.,VENLAFAXINE 75mg m/r capsules
da78.,EFEXOR XL 75mg m/r capsules
da79.,VENLAFAXINE 150mg m/r capsules
da7A.,EFEXOR XL 150mg m/r capsules
da7B.,RODOMEL XL 75mg m/r capsules
da7C.,RODOMEL XL 150mg m/r capsules
da7D.,WINFEX XL 75mg m/r capsules
da7E.,WINFEX XL 150mg m/r capsules
da7F.,TRIXAT XL 75mg m/r capsules
da7G.,TRIXAT XL 150mg m/r capsules
da7H.,VIEPAX XL 75mg m/r tablets
da7I.,VENLAFAXINE 75mg m/r tablets
da7J.,VIEPAX XL 150mg m/r tablets
da7K.,VENLAFAXINE 150mg m/r tablets
da7L.,*TARDCAPS XL 75mg m/r capsules
da7M.,*TARDCAPS XL 150mg m/r capsule
da7N.,VIEPAX 37.5mg tablets
da7O.,VIEPAX 75mg tablets
da7P.,VENSIR XL 75mg m/r capsules
da7Q.,VENSIR XL 150mg m/r capsules
da7R.,TIFAXIN XL 75mg m/r capsules
da7S.,TIFAXIN XL 150mg m/r capsules
da7T.,VEXARIN XL 75mg m/r capsules
da7U.,VEXARIN XL 150mg m/r capsules
da7V.,VENLALIC XL 75mg m/r tablets
da7W.,VENLALIC XL 150mg m/r tablets
da7X.,VENLALIC XL 225mg m/r tablets
da7Y.,VENLAFAXINE 225mg m/r tablets
da7Z.,VENAXX XL 75mg m/r capsules
da7a.,VENAXX XL 150mg m/r capsules
