SNOMEDCTCodes,Description
494311000001101,Myocrisin 20mg/0.5ml solution for injection ampoules (Sanofi)
2759511000001106,Myocrisin 20mg/0.5ml solution for injection ampoules (Sanofi) 10 ampoule
679611000001101,Myocrisin 10mg/0.5ml solution for injection ampoules (Sanofi)
2759411000001107,Myocrisin 10mg/0.5ml solution for injection ampoules (Sanofi) 10 ampoule
786611000001108,Myocrisin 50mg/0.5ml solution for injection ampoules (Sanofi)
2759811000001109,Myocrisin 50mg/0.5ml solution for injection ampoules (Sanofi) 10 ampoule
35924611000001101,Sodium aurothiomalate 20mg/0.5ml solution for injection ampoules
330022009,Sodium aurothiomalate 20mg/0.5ml solution for injection ampoules
1187611000001103,Sodium aurothiomalate 20mg/0.5ml solution for injection ampoules 10 ampoule
35924511000001100,Sodium aurothiomalate 10mg/0.5ml solution for injection ampoules
330021002,Sodium aurothiomalate 10mg/0.5ml solution for injection ampoules
1250811000001106,Sodium aurothiomalate 10mg/0.5ml solution for injection ampoules 10 ampoule
35924711000001105,Sodium aurothiomalate 50mg/0.5ml solution for injection ampoules
330023004,Sodium aurothiomalate 50mg/0.5ml solution for injection ampoules
1237311000001102,Sodium aurothiomalate 50mg/0.5ml solution for injection ampoules 10 ampoule
