ProdCodeId,Description
1355741000033111,sodium aurothiomalate injection 1 mg/0.5 ml
1355841000033118,sodium aurothiomalate 10mg/0.5ml solution for injection ampoules
1355941000033114,sodium aurothiomalate 20mg/0.5ml solution for injection ampoules
1356041000033116,sodium aurothiomalate injection 5 mg/0.5 ml
1356141000033117,sodium aurothiomalate 50mg/0.5ml solution for injection ampoules
945541000033114,myocrisin injection 1 mg/0.5 ml
945641000033110,myocrisin 10mg/0.5ml solution for injection ampoules (sanofi)
945741000033118,myocrisin 20mg/0.5ml solution for injection ampoules (sanofi)
945841000033111,myocrisin injection 5 mg/0.5 ml
945941000033115,myocrisin 50mg/0.5ml solution for injection ampoules (sanofi)
