CTV3Codes,Description
x02L9,Sulfasalazine
x019y,Oral sulphasalazine
aa6v.,Sulfasalazine 500mg tablet
aa61.,Salazopyrin 500mg tablet
aa67.,Ucine 500mg tablet
j55z.,Sulfasalazine 500mg e/c tablet
j551.,Salazopyrin EN 500mg e/c tablet
j552.,Sulazine EC 500mg e/c tablet
aa6u.,Sulfasalazine 250mg/5mL oral suspension
aa65.,Salazopyrin 250mg/5mL oral suspension
x019z,Rectal sulphasalazine
aa6y.,Sulfasalazine 500mg suppository
aa63.,Salazopyrin 500mg suppository
aa6z.,Sulfasalazine 3g/100mL retention enema
aa64.,Salazopyrin 3g/100mL retention enema
aa6..,Sulfasalazine [gastro-intestinal use]
aa6t.,SULFASALAZINE 250mg/5mL sugar free suspension
j55..,Sulfasalazine [musculoskeletal use]
