SNOMEDCTCodes,Description
11427611000001108,Sulfasalazine 500mg tablets (Almus Pharmaceuticals Ltd)
11427711000001104,Sulfasalazine 500mg tablets (Almus Pharmaceuticals Ltd) 112 tablet
13725511000001102,Sulfasalazine 500mg tablets (Sun Pharma UK Ltd)
13725611000001103,Sulfasalazine 500mg tablets (Sun Pharma UK Ltd) 112 tablet
245311000001106,Sulfasalazine 500mg tablets (Actavis UK Ltd)
7395311000001106,Sulfasalazine 500mg tablets (Actavis UK Ltd) 112 tablet
1888411000001109,Sulfasalazine 500mg tablets (Actavis UK Ltd) 500 tablet
13389111000001101,Sulfasalazine 125mg/5ml oral suspension (Special Order)
13389211000001107,Sulfasalazine 125mg/5ml oral suspension (Special Order) 1 ml
20143911000001101,Sulfasalazine 250mg/5ml oral suspension (Special Order)
20144011000001103,Sulfasalazine 250mg/5ml oral suspension (Special Order) 1 ml
140911000001101,Sulfasalazine 500mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
10274811000001107,Sulfasalazine 500mg gastro-resistant tablets (A A H Pharmaceuticals Ltd) 56 tablet
1887011000001101,Sulfasalazine 500mg gastro-resistant tablets (A A H Pharmaceuticals Ltd) 100 tablet
1887111000001100,Sulfasalazine 500mg gastro-resistant tablets (A A H Pharmaceuticals Ltd) 112 tablet
21902411000001104,Sulfasalazine 500mg gastro-resistant tablets (Waymade Healthcare Plc)
21902811000001102,Sulfasalazine 500mg gastro-resistant tablets (Waymade Healthcare Plc) 100 tablet
21902911000001107,Sulfasalazine 500mg gastro-resistant tablets (Waymade Healthcare Plc) 112 tablet
13389411000001106,Sulfasalazine 200mg/5ml oral suspension (Special Order)
13389511000001105,Sulfasalazine 200mg/5ml oral suspension (Special Order) 1 ml
15177111000001102,Sulfasalazine 500mg gastro-resistant tablets (Sigma Pharmaceuticals Plc)
15177211000001108,Sulfasalazine 500mg gastro-resistant tablets (Sigma Pharmaceuticals Plc) 112 tablet
39894911000001103,Sulfasalazine 250mg/5ml oral suspension sugar free (Medihealth (Northern) Ltd)
39895011000001103,Sulfasalazine 250mg/5ml oral suspension sugar free (Medihealth (Northern) Ltd) 500 ml
