ProdCodeId,Description
1237441000033116,salazopyrin en-tabs 500mg (pfizer ltd)
1251941000033115,salazopyrin retention enema 3 g/enema
1256241000033119,salazopyrin 250mg/5ml oral suspension (pfizer ltd)
1256841000033115,salazopyrin 500mg suppositories (pfizer ltd)
1257341000033114,salazopyrin 500mg tablets (pfizer ltd)
1394141000033119,sulfasalazine 3g/100ml retention enema
3103941000033119,sulfasalazine 500mg gastro-resistant tablets
3104141000033118,sulfasalazine 500mg suppositories
3104341000033115,sulfasalazine 250mg/5ml oral suspension
3104541000033110,sulfasalazine 500mg tablets
5896141000033114,sulfasalazine 250mg/5ml oral suspension sugar free
8299241000033114,sulazine ec 500mg tablets (genesis pharmaceuticals ltd)
