ProdCodeId,Description
10332441000033118,amitriptyline 10mg/5ml oral solution sugar free
11072841000033114,nortriptyline 10mg/5ml oral solution
1111541000033117,prothiaden 25mg capsules (teofarma)
1111641000033116,prepadine 25mg capsules (teva uk ltd)
1135541000033110,prothiaden 75mg tablets (teofarma)
1135641000033111,protriptyline hydrochloride tablets 10 mg
1135741000033119,protriptyline hydrochloride tablets 5 mg
1135941000033116,prepadine 75mg tablets (teva uk ltd)
12257841000033117,nortriptyline 10mg/5ml oral suspension
12292341000033116,nortriptyline 50mg tablets
1294541000033115,sinequan 10mg capsules (pfizer ltd)
1294641000033119,sinequan 25mg capsules (pfizer ltd)
1294741000033111,sinequan 50mg capsules (pfizer ltd)
1294841000033118,sinequan 75mg capsules (pfizer ltd)
13300841000033111,nortriptyline 10mg/5ml oral solution sugar free
13300941000033115,nortriptyline 25mg/5ml oral solution sugar free
1389441000033112,surmontil 50mg capsules (sanofi)
1396741000033112,surmontil 10mg tablets (sanofi)
1396841000033119,surmontil 25mg tablets (sanofi)
1450741000033110,tofranil tablets 10 mg
1450841000033117,tofranil 25mg tablets (novartis pharmaceuticals uk ltd)
1454741000033115,trimipramine 50mg capsules
1471341000033116,trimipramine 10mg tablets
1471441000033110,trimipramine 25mg tablets
1473341000033117,triptafen tablets (advanz pharma)
1473441000033111,triptafen-m tablets (mercury pharma group ltd)
2078841000033114,lomont 70mg/5ml oral suspension (rosemont pharmaceuticals ltd)
2215541000033118,feprapax 70mg tablets (ashbourne pharmaceuticals ltd)
262041000033115,clomipramine 10mg capsules
262141000033116,clomipramine 25mg capsules
262241000033111,clomipramine 50mg capsules
275441000033113,clomipramine hydrochloride injection 12.5mg/ml
284741000033110,clomipramine 25mg/5ml oral solution
285741000033111,clomipramine 75mg modified-release tablets
3088941000033118,dosulepin 25mg capsules
3089041000033110,dosulepin 75mg tablets
3089141000033114,dosulepin 25mg/5ml oral solution
3089241000033119,dosulepin 75mg/5ml oral solution
3179941000033111,nortriptyline 10mg / fluphenazine 500microgram tablets
3180441000033118,amitriptyline 25mg / perphenazine 2mg tablets
3180541000033117,amitriptyline 10mg / perphenazine 2mg tablets
38741000033119,allegron 10mg tablets (king pharmaceuticals ltd)
38841000033112,allegron 25mg tablets (king pharmaceuticals ltd)
4010441000033114,sinepin 25mg capsules (marlborough pharmaceuticals ltd)
4010541000033110,sinepin 50mg capsules (marlborough pharmaceuticals ltd)
43441000033118,amitriptyline sr capsules 75 mg
43541000033117,amitriptyline hydrochloride capsules 25 mg
43641000033116,amitriptyline hydrochloride capsules 50 mg
43741000033113,amitriptyline hydrochloride capsules 75 mg
4431541000033115,clomipramine 50mg/5ml oral suspension
45841000033119,amitriptyline 25mg modified-release capsules
45941000033110,amitriptyline 50mg modified-release capsules
472141000033110,dothapax 25 capsules (ashbourne pharmaceuticals ltd)
473041000033119,doxepin 10mg capsules
473141000033115,doxepin 25mg capsules
473241000033110,doxepin 50mg capsules
473341000033117,doxepin 75mg capsules
479641000033111,dothapax 75 tablets (ashbourne pharmaceuticals ltd)
4954041000033114,doxepin 50mg/5ml oral solution
50041000033116,amitriptyline hydrochloride injection 10mg/ml
51941000033114,amitriptyline hydrochloride mixture sugar free 10 mg/5 ml
5328741000033117,imipramine 25mg/5ml oral solution
5454141000033118,imipramine 25mg/5ml oral solution sugar free
5490141000033118,amitriptyline 10mg/5ml oral solution
55441000033119,amitriptyline 25mg/5ml oral solution sugar free
55541000033118,amitriptyline 50mg/5ml oral solution sugar free
5888641000033118,amitriptyline 10mg/5ml oral suspension
5891041000033116,dosulepin 25mg/5ml oral suspension
5992241000033114,dosulepin 75mg/5ml oral suspension
5996641000033111,lofepramine 70mg/5ml oral solution
5996741000033119,lofepramine 70mg/5ml oral suspension
60441000033116,amitriptyline 10mg tablets
60541000033115,amitriptyline 50mg tablets
60641000033119,amitriptyline 25mg tablets
60841000033118,amoxapine tablets 25 mg
60941000033114,amoxapine 50mg tablets
61041000033116,amoxapine 100mg tablets
61141000033117,amoxapine tablets 150 mg
61941000033115,anafranil 10mg capsules (novartis pharmaceuticals uk ltd)
62041000033114,anafranil 25mg capsules (novartis pharmaceuticals uk ltd)
62141000033113,anafranil 50mg capsules (novartis pharmaceuticals uk ltd)
626241000033115,gamanil 70mg tablets (merck serono ltd)
64241000033110,anafranil injection 12.5mg/ml
70241000033114,anafranil sr 75mg tablets (novartis pharmaceuticals uk ltd)
754241000033115,imipramine 25mg tablets
755541000033119,imipramine 10mg tablets
819741000033117,lentizol 25mg modified-release capsules (pfizer ltd)
819841000033110,lentizol 50mg modified-release capsules (pfizer ltd)
849241000033115,lofepramine 70mg/5ml oral suspension sugar free
850141000033116,lofepramine 70mg tablets
87641000033116,asendis 100mg tablets (mercury pharma group ltd)
87741000033113,asendis tablets 150 mg
87841000033115,asendis tablets 25 mg
87941000033111,asendis 50mg tablets (mercury pharma group ltd)
938841000033118,motipress tablets (sanofi-synthelabo ltd)
938941000033114,motival 10mg/500microgram tablets (sanofi)
979241000033110,nortriptyline 10mg capsules
979341000033117,nortriptyline 25mg capsules
983141000033114,nortriptyline liquid 10mg/5 ml
989141000033111,nortriptyline 10mg tablets
989241000033116,nortriptyline 25mg tablets
