SNOMEDCTCodes,Description
893811000001100,Allegron 10mg tablets - King Pharmaceuticals Ltd
16136611000001109,Allegron 10mg tablets - Lexon (UK) Ltd
16259011000001109,Allegron 10mg tablets - Mawdsley-Brooks & Company Ltd
17532311000001107,Allegron 10mg tablets - Sigma Pharmaceuticals Plc
2391711000001106,Allegron 10mg tablets 100 tablet - King Pharmaceuticals Ltd
16136711000001100,Allegron 10mg tablets 100 tablet - Lexon (UK) Ltd
16259111000001105,Allegron 10mg tablets 100 tablet - Mawdsley-Brooks & Company Ltd
17532411000001100,Allegron 10mg tablets 100 tablet - Sigma Pharmaceuticals Plc
18544911000001108,Allegron 25mg tablets - DE Pharmaceuticals
629711000001106,Allegron 25mg tablets - King Pharmaceuticals Ltd
16136811000001108,Allegron 25mg tablets - Lexon (UK) Ltd
16259211000001104,Allegron 25mg tablets - Mawdsley-Brooks & Company Ltd
17579111000001104,Allegron 25mg tablets - Necessity Supplies Ltd
14053811000001100,Allegron 25mg tablets - Sigma Pharmaceuticals Plc
18545011000001108,Allegron 25mg tablets 100 tablet - DE Pharmaceuticals
2392811000001107,Allegron 25mg tablets 100 tablet - King Pharmaceuticals Ltd
16136911000001103,Allegron 25mg tablets 100 tablet - Lexon (UK) Ltd
16259311000001107,Allegron 25mg tablets 100 tablet - Mawdsley-Brooks & Company Ltd
17579611000001107,Allegron 25mg tablets 100 tablet - Necessity Supplies Ltd
17532511000001101,Allegron 25mg tablets 100 tablet - Sigma Pharmaceuticals Plc
14053911000001105,Allegron 25mg tablets 25 tablet - Sigma Pharmaceuticals Plc
11711211000001100,Amitriptyline 1.25mg/5ml oral solution
11682311000001109,Amitriptyline 1.25mg/5ml oral solution - Special Order
11682211000001101,Amitriptyline 1.25mg/5ml oral solution 1 ml
11682411000001102,Amitriptyline 1.25mg/5ml oral solution 1 ml - Special Order
11711311000001108,Amitriptyline 100mg/5ml oral solution
11682611000001104,Amitriptyline 100mg/5ml oral solution - Special Order
11682511000001103,Amitriptyline 100mg/5ml oral solution 1 ml
11682711000001108,Amitriptyline 100mg/5ml oral solution 1 ml - Special Order
310911000001104,Amitriptyline 10mg tablets - A A H Pharmaceuticals Ltd
18457211000001101,Amitriptyline 10mg tablets - Accord Healthcare Ltd
179011000001109,Amitriptyline 10mg tablets - Alliance Healthcare (Distribution) Ltd
9784511000001105,Amitriptyline 10mg tablets - Almus Pharmaceuticals Ltd
20438711000001109,Amitriptyline 10mg tablets - Arrow Generics Ltd
36612511000001100,Amitriptyline 10mg tablets - Bristol Laboratories Ltd
22589711000001107,Amitriptyline 10mg tablets - DE Pharmaceuticals
13109811000001104,Amitriptyline 10mg tablets - Dowelhurst Ltd
34103511000001100,Amitriptyline 10mg tablets - Genesis Pharmaceuticals Ltd
105411000001106,Amitriptyline 10mg tablets - IVAX Pharmaceuticals UK Ltd
47511000001100,Amitriptyline 10mg tablets - Kent Pharmaceuticals Ltd
29991511000001104,Amitriptyline 10mg tablets - Mawdsley-Brooks & Company Ltd
38784611000001108,Amitriptyline 10mg tablets - Medihealth (Northern) Ltd
34966211000001108,Amitriptyline 10mg tablets - NorthStar Healthcare Unlimited Company
17778011000001106,Amitriptyline 10mg tablets - Phoenix Healthcare Distribution Ltd
29763811000001106,Amitriptyline 10mg tablets - Sigma Pharmaceuticals Plc
865611000001103,Amitriptyline 10mg tablets - Teva UK Ltd
21762711000001103,Amitriptyline 10mg tablets - Waymade Healthcare Plc
13059111000001107,Amitriptyline 10mg tablets - Wockhardt UK Ltd
1420111000001102,Amitriptyline 10mg tablets 28 tablet - A A H Pharmaceuticals Ltd
18457311000001109,Amitriptyline 10mg tablets 28 tablet - Accord Healthcare Ltd'
1420411000001107,Amitriptyline 10mg tablets 28 tablet - Actavis UK Ltd
1421611000001100,Amitriptyline 10mg tablets 28 tablet - Alliance Healthcare (Distribution) Ltd
9784611000001109,Amitriptyline 10mg tablets 28 tablet - Almus Pharmaceuticals Ltd
20438811000001101,Amitriptyline 10mg tablets 28 tablet - Arrow Generics Ltd
36612611000001101,Amitriptyline 10mg tablets 28 tablet - Bristol Laboratories Ltd
22589811000001104,Amitriptyline 10mg tablets 28 tablet - DE Pharmaceuticals
13109911000001109,Amitriptyline 10mg tablets 28 tablet - Dowelhurst Ltd
34103611000001101,Amitriptyline 10mg tablets 28 tablet - Genesis Pharmaceuticals Ltd
1421911000001106,Amitriptyline 10mg tablets 28 tablet - IVAX Pharmaceuticals UK Ltd
1421211000001102,Amitriptyline 10mg tablets 28 tablet - Kent Pharmaceuticals Ltd
29991611000001100,Amitriptyline 10mg tablets 28 tablet - Mawdsley-Brooks & Company Ltd
38784711000001104,Amitriptyline 10mg tablets 28 tablet - Medihealth (Northern) Ltd
34966311000001100,Amitriptyline 10mg tablets 28 tablet - NorthStar Healthcare Unlimited Company
17778311000001109,Amitriptyline 10mg tablets 28 tablet - Phoenix Healthcare Distribution Ltd
29763911000001101,Amitriptyline 10mg tablets 28 tablet - Sigma Pharmaceuticals Plc
1420711000001101,Amitriptyline 10mg tablets 28 tablet - Teva UK Ltd
21762911000001101,Amitriptyline 10mg tablets 28 tablet - Waymade Healthcare Plc
13059211000001101,Amitriptyline 10mg tablets 28 tablet - Wockhardt UK Ltd
13892411000001104,Amitriptyline 10mg/5ml oral solution
13879011000001108,Amitriptyline 10mg/5ml oral solution - Special Order
13878911000001104,Amitriptyline 10mg/5ml oral solution 1 ml
13879911000001107,Amitriptyline 10mg/5ml oral solution 1 ml - Special Order
19593711000001103,Amitriptyline 10mg/5ml oral solution 150 ml
19593811000001106,Amitriptyline 10mg/5ml oral solution 150 ml - Special Order
29686711000001103,Amitriptyline 10mg/5ml oral solution sugar free
30125611000001108,Amitriptyline 10mg/5ml oral solution sugar free - A A H Pharmaceuticals Ltd
30800511000001103,Amitriptyline 10mg/5ml oral solution sugar free - Alliance Healthcare (Distribution) Ltd
37105611000001109,Amitriptyline 10mg/5ml oral solution sugar free - DE Pharmaceuticals
38783611000001105,Amitriptyline 10mg/5ml oral solution sugar free - Medihealth (Northern) Ltd
32871411000001108,Amitriptyline 10mg/5ml oral solution sugar free - Sigma Pharmaceuticals Plc
29496211000001107,Amitriptyline 10mg/5ml oral solution sugar free - Thame Laboratories Ltd
29681411000001103,Amitriptyline 10mg/5ml oral solution sugar free - Wockhardt UK Ltd
29495711000001108,Amitriptyline 10mg/5ml oral solution sugar free 150 ml
30125711000001104,Amitriptyline 10mg/5ml oral solution sugar free 150 ml - A A H Pharmaceuticals Ltd
268711000001108,Amitriptyline 10mg/5ml oral solution sugar free 150 ml - A A H Pharmaceuticals Ltd
30800611000001104,Amitriptyline 10mg/5ml oral solution sugar free 150 ml - Alliance Healthcare (Distribution) Ltd
37105711000001100,Amitriptyline 10mg/5ml oral solution sugar free 150 ml - DE Pharmaceuticals
38783911000001104,Amitriptyline 10mg/5ml oral solution sugar free 150 ml - Medihealth (Northern) Ltd
32871611000001106,Amitriptyline 10mg/5ml oral solution sugar free 150 ml - Sigma Pharmaceuticals Plc
29497511000001107,Amitriptyline 10mg/5ml oral solution sugar free 150 ml - Thame Laboratories Ltd
29681811000001101,Amitriptyline 10mg/5ml oral solution sugar free 150 ml - Wockhardt UK Ltd
8277811000001102,Amitriptyline 10mg/5ml oral suspension
8242611000001100,Amitriptyline 10mg/5ml oral suspension - Special Order
8242311000001105,Amitriptyline 10mg/5ml oral suspension 1 ml
8242811000001101,Amitriptyline 10mg/5ml oral suspension 1 ml - Special Order
19593911000001101,Amitriptyline 10mg/5ml oral suspension 100 ml
19594011000001103,Amitriptyline 10mg/5ml oral suspension 100 ml - Special Order
11711411000001101,Amitriptyline 150mg/5ml oral solution
11682911000001105,Amitriptyline 150mg/5ml oral solution - Special Order
11682811000001100,Amitriptyline 150mg/5ml oral solution 1 ml
11683011000001102,Amitriptyline 150mg/5ml oral solution 1 ml - Special Order
11711511000001102,Amitriptyline 15mg/5ml oral solution
11683211000001107,Amitriptyline 15mg/5ml oral solution - Special Order
11683111000001101,Amitriptyline 15mg/5ml oral solution 1 ml
11683311000001104,Amitriptyline 15mg/5ml oral solution 1 ml - Special Order
11711611000001103,Amitriptyline 2.5mg/5ml oral solution
11683511000001105,Amitriptyline 2.5mg/5ml oral solution - Special Order
11683411000001106,Amitriptyline 2.5mg/5ml oral solution 1 ml
11683611000001109,Amitriptyline 2.5mg/5ml oral solution 1 ml - Special Order
190511000001102,Amitriptyline 25mg tablets - A A H Pharmaceuticals Ltd
18457411000001102,Amitriptyline 25mg tablets - Accord Healthcare Ltd
78811000001102,Amitriptyline 25mg tablets - Actavis UK Ltd
735211000001108,Amitriptyline 25mg tablets - Alliance Healthcare (Distribution) Ltd
9784711000001100,Amitriptyline 25mg tablets - Almus Pharmaceuticals Ltd
20438911000001106,Amitriptyline 25mg tablets - Arrow Generics Ltd
36613511000001107,Amitriptyline 25mg tablets - Bristol Laboratories Ltd
28978311000001109,Amitriptyline 25mg tablets - Crescent Pharma Ltd
22589911000001109,Amitriptyline 25mg tablets - DE Pharmaceuticals
13110011000001104,Amitriptyline 25mg tablets - Dowelhurst Ltd
34103711000001105,Amitriptyline 25mg tablets - Genesis Pharmaceuticals Ltd
788611000001109,Amitriptyline 25mg tablets - IVAX Pharmaceuticals UK Ltd
440811000001107,Amitriptyline 25mg tablets - Kent Pharmaceuticals Ltd
29991711000001109,Amitriptyline 25mg tablets - Mawdsley-Brooks & Company Ltd
38784011000001101,Amitriptyline 25mg tablets - Medihealth (Northern) Ltd
34966411000001107,Amitriptyline 25mg tablets - NorthStar Healthcare Unlimited Company
17778711000001108,Amitriptyline 25mg tablets - Phoenix Healthcare Distribution Ltd
666511000001101,Amitriptyline 25mg tablets - Ranbaxy (UK) Ltd
5162711000001107,Amitriptyline 25mg tablets - Sandoz Ltd
15051511000001109,Amitriptyline 25mg tablets - Sigma Pharmaceuticals Plc
40611000001100,Amitriptyline 25mg tablets - Teva UK Ltd
