CTV3Codes,Description
x01Aw,Amitriptyline
d711.,Amitriptyline hydrochloride 10mg tablet
d714.,Domical 10mg tablet
d717.,Elavil 10mg tablet
d71c.,Tryptizol 10mg tablet
d712.,Amitriptyline hydrochloride 25mg tablet
d715.,Domical 25mg tablet
d718.,Elavil 25mg tablet
d71d.,Tryptizol 25mg tablet
d713.,Amitriptyline hydrochloride 50mg tablet
d716.,Domical 50mg tablet
d71e.,Tryptizol 50mg tablet
d71u.,Amitriptyline hydrochloride 25mg m/r capsule
d719.,Lentizol 25mg m/r capsule
d71v.,Amitriptyline hydrochloride 50mg m/r capsule
d71a.,Lentizol 50mg m/r capsule
d71w.,Amitriptyline hydrochloride 75mg m/r capsule
d71b.,Tryptizol 75mg m/r capsule
d71y.,Amitriptyline 10mg/5mL oral suspension
d71f.,Tryptizol 10mg/5mL mixture
d71h.,Amitriptyline 25mg/5mL s/f oral solution
d71i.,Amitriptyline 50mg/5mL s/f oral solution
d71z.,Amitriptyline hydrochloride 100mg/10mL injection
d71g.,Tryptizol 100mg/10mL injection
d71..,Amitriptyline hydrochloride [antidepressant]
d71j.,AMITRIPTYLINE 10mg/5mL sugar free oral solution
gd1..,Amitriptyline hydrochloride [enuresis - no drugs here]
x01Ax,Clomipramine
d73s.,Clomipramine hydrochloride 10mg tablet
d73t.,Clomipramine hydrochloride 25mg tablet
d73r.,Clomipramine hydrochloride 50mg tablet
d73u.,Clomipramine hydrochloride 10mg capsule
d731.,Anafranil 10mg capsule
d737.,Tranquax 10mg capsule
d73v.,Clomipramine hydrochloride 25mg capsule
d732.,Anafranil 25mg capsule
d738.,Tranquax 25mg capsule
d73w.,Clomipramine hydrochloride 50mg capsule
d733.,Anafranil 50mg capsule
d739.,Tranquax 50mg capsule
d73z.,Clomipramine hydrochloride 75mg m/r tablet
d736.,Anafranil SR 75mg tablet
d73x.,Clomipramine hydrochloride 25mg/5mL syrup
d734.,Anafranil 25mg/5mL syrup
d73y.,Clomipramine hydrochloride 25mg/2mL injection
d735.,Anafranil 25mg/2mL injection
d73..,Clomipramine hydrochloride
d76..,Doxepin
d76w.,Doxepin 10mg capsule
x00E9,Sinequan 10mg capsule
d761.,Sinequan 10mg capsules x56CP
d76x.,Doxepin 25mg capsule
d765.,SINEPIN 25mg capsules
x00EA,Sinequan 25mg capsule
d762.,Sinequan 25mg capsules x28CP
d76y.,Doxepin 50mg capsule
d766.,SINEPIN 50mg capsules
x00EB,Sinequan 50mg capsule
d763.,Sinequan 50mg capsules x28CP
d76z.,Doxepin 75mg capsule
x00EC,Sinequan 75mg capsule
d764.,Sinequan 75mg capsules x28CP
x01B0,Imipramine
