V2Codes,Description
d71..,AMITRIPTYLINE HYDROCHLORIDE [ANTIDEPRESSANT]
d711.,AMITRIPTYLINE 10mg tablets
d712.,AMITRIPTYLINE 25mg tablets
d713.,AMITRIPTYLINE 50mg tablets
d714.,*DOMICAL 10mg tablets
d715.,*DOMICAL 25mg tablets
d716.,*DOMICAL 50mg tablets
d717.,ELAVIL 10mg tablets
d718.,ELAVIL 25mg tablets
d719.,*LENTIZOL 25mg m/r capsules
d71a.,*LENTIZOL 50mg m/r capsules
d71b.,*TRYPTIZOL 75mg m/r capsules
d71c.,*TRYPTIZOL 10mg tablets
d71d.,*TRYPTIZOL 25mg tablets
d71e.,*TRYPTIZOL 50mg tablets
d71f.,*TRYPTIZOL 10mg/5mL syrup
d71g.,TRYPTIZOL 100mg/10mL injection
d71h.,AMITRIPTYLINE 25mg/5mL sugar free solution
d71i.,AMITRIPTYLINE 50mg/5mL sugar free solution
d71u.,AMITRIPTYLINE 25mg m/r capsules
d71v.,AMITRIPTYLINE 50mg m/r capsules
d71w.,AMITRIPTYLINE 75mg m/r capsules
d71y.,*AMITRIPTYLINE 10mg/5mL syrup
d71z.,AMITRIPTYLINE HYDROCHLORIDE 100mg/10mL injection
d73..,CLOMIPRAMINE HYDROCHLORIDE
d731.,*ANAFRANIL 10mg capsules
d732.,*ANAFRANIL 25mg capsules
d733.,*ANAFRANIL 50mg capsules
d734.,*ANAFRANIL 25mg/5mL syrup
d735.,*ANAFRANIL 25mg/2mL injection
d736.,ANAFRANIL SR 75mg m/r tablets
d737.,*TRANQUAX 10mg capsules
d738.,*TRANQUAX 25mg capsules
d739.,TRANQUAX 50mg capsules
d73r.,*CLOMIPRAMINE HCL 50mg tablets
d73s.,*CLOMIPRAMINE HCL 10mg tablets
d73t.,*CLOMIPRAMINE HCL 25mg tablets
d73u.,CLOMIPRAMINE HCL 10mg capsules
d73v.,CLOMIPRAMINE HCL 25mg capsules
d73w.,CLOMIPRAMINE HCL 50mg capsules
d73x.,CLOMIPRAMINE HYDROCHLORIDE 25mg/5mL syrup
d73y.,CLOMIPRAMINE HCL 25mg/2mL injection
d73z.,CLOMIPRAMINE HCL 75mg m/r tabs
d75..,DOSULEPIN HYDROCHLORIDE
d751.,PROTHIADEN 25mg capsules
d752.,PROTHIADEN 75mg tablets
d753.,*PREPADINE 25mg capsules
d754.,*PREPADINE 75mg tablets
d755.,*DOTHAPAX 25mg capsules
d756.,*DOTHAPAX 75mg tablets
d759.,*THADEN 25mg capsules
d75A.,*THADEN 75mg tablets
d75y.,DOSULEPIN HYDROCHLORIDE 25mg capsules
d75z.,DOSULEPIN HYDROCHLORIDE 75mg tablets
d76..,DOXEPIN
d761.,*SINEQUAN 10mg capsules x56CP
d762.,*SINEQUAN 25mg capsules x28CP
d763.,*SINEQUAN 50mg capsules x28CP
d764.,*SINEQUAN 75mg capsules x28CP
d765.,*SINEPIN 25mg capsules
d766.,*SINEPIN 50mg capsules
d76w.,*DOXEPIN 10mg capsules
d76x.,DOXEPIN 25mg capsules
d76y.,DOXEPIN 50mg capsules
d76z.,*DOXEPIN 75mg capsules
