CTV3Codes,Description
he4..,Tamoxifen
he41.,Tamoxifen 10mg tablet
he4b.,Emblon 10mg tablet
he4A.,Fentamox 10 tablet
he43.,Noltam 10mg tablet
he45.,Nolvadex 10mg tablet
he4f.,Oestrifen 10mg tablet
he48.,Tamofen 10mg tablet
he4d.,Tamoxifen citrate CP 10mg tablets
he42.,Tamoxifen 20mg tablet
he4c.,Emblon 20mg tablet
he4B.,Fentamox 20 tablet
he44.,Noltam 20mg tablet
he46.,Nolvadex-D 20mg tablet
he4g.,Oestrifen 20mg tablet
he49.,Tamofen-20 tablet
he4e.,Tamoxifen citrate CP 20mg tablets
he4z.,Tamoxifen 40mg tablet
he47.,Nolvadex Forte 40mg tablet
he4h.,Oestrifen 40mg tablet
he4a.,Tamofen-40 tablet
he4v.,Tamoxifen 10mg/5mL s/f oral solution
he4i.,Soltamox 10mg/5mL s/f oral solution
Xa5h5,Tamoxifen allergy
Xa6Cg,Tamoxifen overdose
Xa6Ch,Accidental tamoxifen overdose
Xa6Ci,Intentional tamoxifen overdose
Xa6Cj,Tamoxifen overdose of undetermined intent
Xa4uD,Tamoxifen poisoning
Xa4uE,Accidental tamoxifen poisoning
Xa4uF,Intentional tamoxifen poisoning
Xa4uG,Tamoxifen poisoning of undetermined intent
XaE6Y,Tamoxifen retinopathy
Xa5Ic,Tamoxifen adverse reaction
