SNOMEDCTCodes,Description
30888311000001107,Tamoxifen 10mg tablets (Mawdsley-Brooks & Company Ltd)
30888411000001100,Tamoxifen 10mg tablets (Mawdsley-Brooks & Company Ltd) 30 tablet
36482211000001103,Tamoxifen 10mg tablets (Tillomed Laboratories Ltd)
36482311000001106,Tamoxifen 10mg tablets (Tillomed Laboratories Ltd) 30 tablet
654411000001100,Tamoxifen 20mg tablets (Alliance Healthcare (Distribution) Ltd)
1519311000001107,Tamoxifen 20mg tablets (Alliance Healthcare (Distribution) Ltd) 30 tablet 3 x 10 tablets
37818811000001109,Tamoxifen 40mg tablets (DE Pharmaceuticals)
37819011000001108,Tamoxifen 40mg tablets (DE Pharmaceuticals) 30 tablet
13283011000001109,Tamoxifen 20mg/5ml oral suspension (Special Order)
13283211000001104,Tamoxifen 20mg/5ml oral suspension (Special Order) 1 ml
20159811000001105,Tamoxifen 20mg/5ml oral suspension (Special Order) 100 ml
34896011000001108,Tamoxifen 10mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)
34896111000001109,Tamoxifen 10mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) 150 ml
444211000001103,Tamoxifen 10mg tablets (IVAX Pharmaceuticals UK Ltd)
1516611000001105,Tamoxifen 10mg tablets (IVAX Pharmaceuticals UK Ltd) 30 tablet 3 x 10 tablets
10417811000001109,Tamoxifen 20mg tablets (Arrow Generics Ltd)
10417911000001104,Tamoxifen 20mg tablets (Arrow Generics Ltd) 30 tablet
856711000001108,Tamoxifen 20mg tablets (Kent Pharma (UK) Ltd)
1519011000001109,Tamoxifen 20mg tablets (Kent Pharma (UK) Ltd) 30 tablet 3 x 10 tablets
39265911000001106,Tamoxifen 20mg tablets (Medihealth (Northern) Ltd)
39266011000001103,Tamoxifen 20mg tablets (Medihealth (Northern) Ltd) 30 tablet
17811311000001109,Tamoxifen 20mg tablets (Phoenix Healthcare Distribution Ltd)
17811411000001102,Tamoxifen 20mg tablets (Phoenix Healthcare Distribution Ltd) 30 tablet
11534611000001107,Tamoxifen 20mg tablets (Sandoz Ltd)
11534711000001103,Tamoxifen 20mg tablets (Sandoz Ltd) 30 tablet
36484411000001106,Tamoxifen 20mg tablets (Tillomed Laboratories Ltd)
36484611000001109,Tamoxifen 20mg tablets (Tillomed Laboratories Ltd) 30 tablet
659711000001107,Tamoxifen 20mg tablets (Wockhardt UK Ltd)
1518411000001108,Tamoxifen 20mg tablets (Wockhardt UK Ltd) 30 tablet 3 x 10 tablets
344411000001106,Tamoxifen 40mg tablets (IVAX Pharmaceuticals UK Ltd)
1520011000001105,Tamoxifen 40mg tablets (IVAX Pharmaceuticals UK Ltd) 30 tablet 3 x 10 tablets
21784811000001103,Tamoxifen 40mg tablets (Waymade Healthcare Plc)
21784911000001108,Tamoxifen 40mg tablets (Waymade Healthcare Plc) 30 tablet
855711000001100,Tamoxifen 10mg tablets (Actavis UK Ltd)
1514511000001100,Tamoxifen 10mg tablets (Actavis UK Ltd) 30 tablet 3 x 10 tablets
13941011000001103,Nolvadex D 20mg tablets (DE Pharmaceuticals)
13941111000001102,Nolvadex D 20mg tablets (DE Pharmaceuticals) 30 tablet
51111000001104,Soltamox 10mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)
2454911000001106,Soltamox 10mg/5ml oral solution (Rosemont Pharmaceuticals Ltd) 150 ml
11924011000001106,Nolvadex D 20mg tablets (Waymade Healthcare Plc)
11924111000001107,Nolvadex D 20mg tablets (Waymade Healthcare Plc) 30 tablet
16565611000001100,Nolvadex D 20mg tablets (Mawdsley-Brooks & Company Ltd)
16565711000001109,Nolvadex D 20mg tablets (Mawdsley-Brooks & Company Ltd) 30 tablet
107511000001101,Tamofen 10 tablets (Pfizer Ltd)
1516911000001104,Tamofen 10 tablets (Pfizer Ltd) 30 tablet
816411000001106,Nolvadex 10mg tablets (AstraZeneca UK Ltd)
1515311000001105,Nolvadex 10mg tablets (AstraZeneca UK Ltd) 30 tablet 3 x 10 tablets
146011000001102,Emblon 10mg tablets (Teva UK Ltd)
1515611000001100,Emblon 10mg tablets (Teva UK Ltd) 30 tablet
528111000001108,Tamofen 40 tablets (Pfizer Ltd)
1520211000001100,Tamofen 40 tablets (Pfizer Ltd) 30 tablet
287511000001104,Tamofen 20 tablets (Pfizer Ltd)
1519111000001105,Tamofen 20 tablets (Pfizer Ltd) 30 tablet
10487811000001106,Nolvadex D 20mg tablets (Dowelhurst Ltd)
10488011000001104,Nolvadex D 20mg tablets (Dowelhurst Ltd) 30 tablet
325911000001102,Nolvadex D 20mg tablets (AstraZeneca UK Ltd)
1518011000001104,Nolvadex D 20mg tablets (AstraZeneca UK Ltd) 30 tablet 3 x 10 tablets
28377411000001108,Tamoxifen 10mg/5ml oral solution sugar free (J M McGill Ltd)
28377511000001107,Tamoxifen 10mg/5ml oral solution sugar free (J M McGill Ltd) 150 ml
27023511000001107,Tamoxifen 10mg/5ml oral solution sugar free (Icarus Pharmaceuticals Ltd)
27024011000001102,Tamoxifen 10mg/5ml oral solution sugar free (Icarus Pharmaceuticals Ltd) 150 ml
21841211000001105,Tamoxifen 10mg/5ml oral solution sugar free (Cubic Pharmaceuticals Ltd)
21841311000001102,Tamoxifen 10mg/5ml oral solution sugar free (Cubic Pharmaceuticals Ltd) 150 ml
35336211000001104,Tamoxifen 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
35336311000001107,Tamoxifen 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) 150 ml
13283811000001103,Tamoxifen 40mg/5ml oral suspension (Special Order)
13284011000001106,Tamoxifen 40mg/5ml oral suspension (Special Order) 1 ml
13282511000001108,Tamoxifen 10mg/5ml oral suspension (Special Order)
13282711000001103,Tamoxifen 10mg/5ml oral suspension (Special Order) 1 ml
24578611000001106,Tamoxifen 10mg/5ml oral suspension (Mawdsley-Brooks & Company Ltd)
24578711000001102,Tamoxifen 10mg/5ml oral suspension (Mawdsley-Brooks & Company Ltd) 150 ml
154711000001107,Tamoxifen 40mg tablets (Viatris UK Healthcare Ltd)
1519911000001108,Tamoxifen 40mg tablets (Viatris UK Healthcare Ltd) 30 tablet 3 x 10 tablets
519011000001109,Tamoxifen 40mg tablets (Teva UK Ltd)
1519611000001102,Tamoxifen 40mg tablets (Teva UK Ltd) 30 tablet
665711000001103,Tamoxifen 40mg tablets (Alliance Healthcare (Distribution) Ltd)
1520311000001108,Tamoxifen 40mg tablets (Alliance Healthcare (Distribution) Ltd) 30 tablet
267011000001105,Tamoxifen 40mg tablets (A A H Pharmaceuticals Ltd)
1519511000001101,Tamoxifen 40mg tablets (A A H Pharmaceuticals Ltd) 30 tablet
297111000001109,Tamoxifen 20mg tablets (Viatris UK Healthcare Ltd)
1518711000001102,Tamoxifen 20mg tablets (Viatris UK Healthcare Ltd) 30 tablet 3 x 10 tablets
199611000001109,Tamoxifen 10mg tablets (Kent Pharma (UK) Ltd)
1516811000001109,Tamoxifen 10mg tablets (Kent Pharma (UK) Ltd) 30 tablet 3 x 10 tablets
264311000001104,Tamoxifen 10mg tablets (Viatris UK Healthcare Ltd)
1516411000001107,Tamoxifen 10mg tablets (Viatris UK Healthcare Ltd) 30 tablet 3 x 10 tablets
394211000001101,Tamoxifen 10mg tablets (Wockhardt UK Ltd)
1516211000001108,Tamoxifen 10mg tablets (Wockhardt UK Ltd) 30 tablet 3 x 10 tablets
573611000001108,Tamoxifen 20mg tablets (A A H Pharmaceuticals Ltd)
1517311000001102,Tamoxifen 20mg tablets (A A H Pharmaceuticals Ltd) 30 tablet
30119911000001105,Tamoxifen 20mg tablets (DE Pharmaceuticals)
30120011000001107,Tamoxifen 20mg tablets (DE Pharmaceuticals) 30 tablet
36925011000001105,Tamoxifen 20mg tablets (Relonchem Ltd)
36925111000001106,Tamoxifen 20mg tablets (Relonchem Ltd) 30 tablet
388311000001100,Tamoxifen 20mg tablets (Teva UK Ltd)
1517711000001103,Tamoxifen 20mg tablets (Teva UK Ltd) 30 tablet 3 x 10 tablets
21784611000001102,Tamoxifen 20mg tablets (Waymade Healthcare Plc)
21784711000001106,Tamoxifen 20mg tablets (Waymade Healthcare Plc) 30 tablet
41969411000001107,Tamoxifen 20mg tablets (Milpharm Ltd)
41969511000001106,Tamoxifen 20mg tablets (Milpharm Ltd) 30 tablet 3 x 10 tablets
37268911000001105,Tamoxifen 20mg tablets (Mawdsley-Brooks & Company Ltd)
37269011000001101,Tamoxifen 20mg tablets (Mawdsley-Brooks & Company Ltd) 30 tablet
488311000001105,Tamoxifen 10mg tablets (Teva UK Ltd)
1514711000001105,Tamoxifen 10mg tablets (Teva UK Ltd) 30 tablet 3 x 10 tablets
17811111000001107,Tamoxifen 10mg tablets (Phoenix Healthcare Distribution Ltd)
17811211000001101,Tamoxifen 10mg tablets (Phoenix Healthcare Distribution Ltd) 30 tablet
39265711000001109,Tamoxifen 10mg tablets (Medihealth (Northern) Ltd)
39265811000001101,Tamoxifen 10mg tablets (Medihealth (Northern) Ltd) 30 tablet
30119711000001108,Tamoxifen 10mg tablets (DE Pharmaceuticals)
30119811000001100,Tamoxifen 10mg tablets (DE Pharmaceuticals) 30 tablet
29855311000001107,Tamoxifen 10mg/5ml oral solution sugar free (Niche Pharma Ltd)
29855411000001100,Tamoxifen 10mg/5ml oral solution sugar free (Niche Pharma Ltd) 150 ml
28037211000001106,Tamoxifen 10mg/5ml oral solution sugar free (Ennogen Healthcare Ltd)
28037311000001103,Tamoxifen 10mg/5ml oral solution sugar free (Ennogen Healthcare Ltd) 150 ml
30119511000001103,Tamoxifen 10mg/5ml oral solution sugar free (DE Pharmaceuticals)
30119611000001104,Tamoxifen 10mg/5ml oral solution sugar free (DE Pharmaceuticals) 150 ml
599211000001100,Tamoxifen 40mg tablets (Wockhardt UK Ltd)
1519711000001106,Tamoxifen 40mg tablets (Wockhardt UK Ltd) 30 tablet
35040211000001101,Tamoxifen 10mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
35040311000001109,Tamoxifen 10mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) 150 ml
22607811000001101,Tamoxifen 10mg/5ml oral solution sugar free (Colorama Pharmaceuticals Ltd)
22607911000001106,Tamoxifen 10mg/5ml oral solution sugar free (Colorama Pharmaceuticals Ltd) 150 ml
39895311000001100,Tamoxifen 10mg/5ml oral solution sugar free (Medihealth (Northern) Ltd)
39895411000001107,Tamoxifen 10mg/5ml oral solution sugar free (Medihealth (Northern) Ltd) 150 ml
290711000001109,Tamoxifen 10mg tablets (A A H Pharmaceuticals Ltd)
1513911000001105,Tamoxifen 10mg tablets (A A H Pharmaceuticals Ltd) 30 tablet 3 x 10 tablets
1517011000001100,Tamoxifen 10mg tablets (Alliance Healthcare (Distribution) Ltd)
10417611000001105,Tamoxifen 10mg tablets (Arrow Generics Ltd)
10417711000001101,Tamoxifen 10mg tablets (Arrow Generics Ltd) 30 tablet
21784411000001100,Tamoxifen 10mg tablets (Waymade Healthcare Plc)
21784511000001100,Tamoxifen 10mg tablets (Waymade Healthcare Plc) 30 tablet
842311000001108,Tamoxifen 20mg tablets (Accord-UK Ltd)
1517511000001108,Tamoxifen 20mg tablets (Accord-UK Ltd) 30 tablet 3 x 10 tablets
13285411000001101,Tamoxifen 40mg/5ml oral solution (Special Order)
13285511000001102,Tamoxifen 40mg/5ml oral solution (Special Order) 1 ml
13284811000001100,Tamoxifen 20mg/5ml oral solution (Special Order)
13284911000001105,Tamoxifen 20mg/5ml oral solution (Special Order) 1 ml
28162311000001104,Tamoxifen 10mg/5ml oral suspension (Pharma-z Ltd)
28162411000001106,Tamoxifen 10mg/5ml oral suspension (Pharma-z Ltd) 150 ml
32809811000001103,Tamoxifen 20mg tablets (Genesis Pharmaceuticals Ltd)
32812311000001101,Tamoxifen 20mg tablets (Genesis Pharmaceuticals Ltd) 30 tablet 3 x 10 tablets
193311000001102,Tamoxifen 20mg tablets (IVAX Pharmaceuticals UK Ltd)
1518811000001105,Tamoxifen 20mg tablets (IVAX Pharmaceuticals UK Ltd) 30 tablet 3 x 10 tablets
10418011000001102,Tamoxifen 40mg tablets (Arrow Generics Ltd)
10418111000001101,Tamoxifen 40mg tablets (Arrow Generics Ltd) 30 tablet
414611000001107,Tamoxifen 40mg tablets (Kent Pharma (UK) Ltd)
1520111000001106,Tamoxifen 40mg tablets (Kent Pharma (UK) Ltd) 30 tablet
13284311000001109,Tamoxifen 10mg/5ml oral solution (Special Order)
13284411000001102,Tamoxifen 10mg/5ml oral solution (Special Order) 1 ml
22482811000001102,Tamoxifen 10mg/5ml oral suspension (DE Pharmaceuticals)
22482911000001107,Tamoxifen 10mg/5ml oral suspension (DE Pharmaceuticals) 150 ml
39704411000001107,Tamoxifen 10mg tablets
327312004,Tamoxifen 10mg tablets
1103611000001105,Tamoxifen 10mg tablets 30 tablet
39704511000001106,Tamoxifen 20mg tablets
327313009,Tamoxifen 20mg tablets
1300011000001101,Tamoxifen 20mg tablets 30 tablet
39704611000001105,Tamoxifen 40mg tablets
327335001,Tamoxifen 40mg tablets
1100311000001106,Tamoxifen 40mg tablets 30 tablet
13301711000001103,Tamoxifen 10mg/5ml oral suspension
13282411000001109,Tamoxifen 10mg/5ml oral suspension 1 ml
22482711000001105,Tamoxifen 10mg/5ml oral suspension 150 ml
13302111000001109,Tamoxifen 40mg/5ml oral suspension
13283511000001101,Tamoxifen 40mg/5ml oral suspension 1 ml
35914711000001101,Tamoxifen 10mg/5ml oral solution sugar free
327332003,Tamoxifen 10mg/5ml oral solution sugar free
1008311000001102,Tamoxifen 10mg/5ml oral solution sugar free 150 ml
13301911000001101,Tamoxifen 20mg/5ml oral suspension
13282911000001101,Tamoxifen 20mg/5ml oral suspension 1 ml
20159711000001102,Tamoxifen 20mg/5ml oral suspension 100 ml
13301611000001107,Tamoxifen 10mg/5ml oral solution
13284111000001107,Tamoxifen 10mg/5ml oral solution 1 ml
13301811000001106,Tamoxifen 20mg/5ml oral solution
13284711000001108,Tamoxifen 20mg/5ml oral solution 1 ml
13302011000001108,Tamoxifen 40mg/5ml oral solution
13285311000001108,Tamoxifen 40mg/5ml oral solution 1 ml
