V2Codes,Description
he4..,TAMOXIFEN
he41.,TAMOXIFEN 10mg tablets
he42.,TAMOXIFEN 20mg tablets
he43.,*NOLTAM 10mg tablets
he44.,*NOLTAM 20mg tablets
he45.,*NOLVADEX 10mg tablets
he46.,*NOLVADEX-D 20mg tablets
he47.,*NOLVADEX-FORTE 40mg tablets
he48.,*TAMOFEN 10mg tablets
he49.,*TAMOFEN-20 20mg tablets
he4A.,*FENTAMOX-10 tablets
he4B.,*FENTAMOX-20 tablets
he4a.,*TAMOFEN-40 40mg tablets
he4b.,*EMBLON 10mg tablets
he4c.,*EMBLON 20mg tablets
he4d.,TAMOXIFEN CITRATE CP 10mg tablets
he4e.,TAMOXIFEN CITRATE CP 20mg tablets
he4f.,*OESTRIFEN 10mg tablets
he4g.,*OESTRIFEN 20mg tablets
he4h.,*OESTRIFEN 40mg tablets
he4i.,SOLTAMOX 10mg/5mL sugar free oral solution
he4v.,TAMOXIFEN 10mg/5mL sugar free solution
he4x.,*TAMOXIFEN 10mg tablets
he4y.,*TAMOXIFEN 20mg tablets
he4z.,TAMOXIFEN 40mg tablets
