ProdCodeId,Description
1408141000033119,tamoxifen citrate tablets 10 mg
1408241000033114,tamoxifen 40mg tablets
1408541000033111,tamofen 10 tablets (pfizer ltd)
1408641000033112,tamofen 20 tablets (pfizer ltd)
1408741000033115,tamofen 40 tablets (pfizer ltd)
1408841000033113,tamoxifen citrate tablets 20 mg
1409141000033113,tamoxifen 10mg tablets
1409241000033118,tamoxifen 20mg tablets
1900841000033113,tamoxifen 10mg/5ml oral solution sugar free
1900941000033117,soltamox 10mg/5ml oral solution (rosemont pharmaceuticals ltd)
514541000033113,emblon 10mg tablets (teva uk ltd)
514641000033114,emblon tablets 20 mg
986741000033119,nolvadex 10mg tablets (astrazeneca uk ltd)
986841000033112,nolvadex forte tablets 40 mg
988741000033118,nolvadex d 20mg tablets (astrazeneca uk ltd)
988841000033111,nolvadex-forte tablets 40 mg
