SNOMEDCTCodes,Description
42265811000001106,Tibolone 2.5mg tablets (Strides Pharma UK Ltd)
42266211000001104,Tibolone 2.5mg tablets (Strides Pharma UK Ltd) 28 tablet
42266711000001106,Tibolone 2.5mg tablets (Strides Pharma UK Ltd) 84 tablet
5419611000001105,Tibolone 2.5mg tablets (Waymade Healthcare Plc)
5419811000001109,Tibolone 2.5mg tablets (Waymade Healthcare Plc) 84 tablet
24418911000001104,Tibolone 2.5mg tablets (A A H Pharmaceuticals Ltd)
24419011000001108,Tibolone 2.5mg tablets (A A H Pharmaceuticals Ltd) 28 tablet
24419111000001109,Tibolone 2.5mg tablets (A A H Pharmaceuticals Ltd) 84 tablet
13992111000001102,Tibolone 2.5mg tablets (DE Pharmaceuticals)
13992211000001108,Tibolone 2.5mg tablets (DE Pharmaceuticals) 28 tablet
37363111000001108,Tibolone 2.5mg tablets (NorthStar Healthcare Unlimited Company)
37363411000001103,Tibolone 2.5mg tablets (NorthStar Healthcare Unlimited Company) 28 tablet
37363911000001106,Tibolone 2.5mg tablets (NorthStar Healthcare Unlimited Company) 84 tablet
38039411000001100,Tibolone 2.5mg tablets (Accord-UK Ltd)
38039511000001101,Tibolone 2.5mg tablets (Accord-UK Ltd) 28 tablet
37088911000001100,Tibolone 2.5mg tablets (Advanz Pharma)
37089011000001109,Tibolone 2.5mg tablets (Advanz Pharma) 28 tablet
37089211000001104,Tibolone 2.5mg tablets (Advanz Pharma) 84 tablet
24195511000001100,Tibolone 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
24195611000001101,Tibolone 2.5mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet
24195811000001102,Tibolone 2.5mg tablets (Alliance Healthcare (Distribution) Ltd) 84 tablet
37241411000001102,Tibolone 2.5mg tablets (Aristo Pharma Ltd)
37241511000001103,Tibolone 2.5mg tablets (Aristo Pharma Ltd) 28 tablet 2 x 14 tablets
37244111000001105,Tibolone 2.5mg tablets (Aristo Pharma Ltd) 84 tablet 6 x 14 tablets
37825511000001106,Tibolone 2.5mg tablets (DE Pharmaceuticals)
37825611000001105,Tibolone 2.5mg tablets (DE Pharmaceuticals) 28 tablet
37825711000001101,Tibolone 2.5mg tablets (DE Pharmaceuticals) 84 tablet
5510711000001103,Tibolone 2.5mg tablets (Dowelhurst Ltd)
5510811000001106,Tibolone 2.5mg tablets (Dowelhurst Ltd) 28 tablet
5510911000001101,Tibolone 2.5mg tablets (Dowelhurst Ltd) 84 tablet
39907111000001102,Tibolone 2.5mg tablets (Medihealth (Northern) Ltd)
39907211000001108,Tibolone 2.5mg tablets (Medihealth (Northern) Ltd) 28 tablet
39907311000001100,Tibolone 2.5mg tablets (Medihealth (Northern) Ltd) 84 tablet
14312911000001108,Livial 2.5mg tablets (Sigma Pharmaceuticals Plc)
14313011000001100,Livial 2.5mg tablets (Sigma Pharmaceuticals Plc) 30 tablet
17513811000001102,Livial 2.5mg tablets (Mawdsley-Brooks & Company Ltd)
17514511000001102,Livial 2.5mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
18296811000001105,Livial 2.5mg tablets (Mawdsley-Brooks & Company Ltd) 84 tablet
13923711000001103,Livial 2.5mg tablets (DE Pharmaceuticals)
13923811000001106,Livial 2.5mg tablets (DE Pharmaceuticals) 28 tablet
40460711000001103,Livial 2.5mg tablets (DE Pharmaceuticals) 30 tablet
38146911000001109,Livial 2.5mg tablets (DE Pharmaceuticals) 84 tablet
5559411000001109,Livial 2.5mg tablets (Dowelhurst Ltd)
5586311000001101,Livial 2.5mg tablets (Dowelhurst Ltd) 28 tablet
5559711000001103,Livial 2.5mg tablets (Dowelhurst Ltd) 30 tablet
5586411000001108,Livial 2.5mg tablets (Dowelhurst Ltd) 84 tablet
18493711000001105,Livial 2.5mg tablets (Necessity Supplies Ltd)
18493811000001102,Livial 2.5mg tablets (Necessity Supplies Ltd) 28 tablet
521411000001105,Livial 2.5mg tablets (Organon Pharma (UK) Ltd)
2322011000001107,Livial 2.5mg tablets (Organon Pharma (UK) Ltd) 28 tablet
2322111000001108,Livial 2.5mg tablets (Organon Pharma (UK) Ltd) 84 tablet 3 x 28 tablets
5384211000001101,Livial 2.5mg tablets (Waymade Healthcare Plc)
5384611000001104,Livial 2.5mg tablets (Waymade Healthcare Plc) 28 tablet
10546511000001109,Livial 2.5mg tablets (Waymade Healthcare Plc) 30 tablet
11385211000001100,Livial 2.5mg tablets (Waymade Healthcare Plc) 84 tablet
41882911000001100,Tibolone 2.5mg tablets
325568008,Tibolone 2.5mg tablets
1205011000001104,Tibolone 2.5mg tablets 28 tablet
5559511000001108,Tibolone 2.5mg tablets 30 tablet
1224111000001107,Tibolone 2.5mg tablets 84 tablet
